counter,variant,n_samples,min_pct,p50_pct,p90_pct,p99_pct,max_pct,avg_pct
ALU Utilization,occupancy_heavy,60703,0.0,0.0,2.39,34.407,78.935,1.59
Buffer Load Utilization,occupancy_heavy,60703,0.0,0.0,0.228,2.206,8.958,0.098
Buffer Read Limiter,occupancy_heavy,60703,0.0,0.0,0.229,2.222,8.962,0.098
Buffer Store Utilization,occupancy_heavy,60703,0.0,0.0,0.0,0.0,0.387,0.0
Buffer Write Limiter,occupancy_heavy,60703,0.0,0.0,0.0,0.0,0.387,0.0
Compute Occupancy,occupancy_heavy,60703,0.0,0.0,0.0,0.0,98.337,0.026
F16 Utilization,occupancy_heavy,60703,0.0,0.0,0.0,8.754,24.787,0.347
F32 Utilization,occupancy_heavy,60703,0.0,0.0,1.262,6.77,38.44,0.456
Fragment Interp Limiter,occupancy_heavy,60703,0.0,0.0,0.496,11.484,24.402,0.51
Fragment Interp Utilization,occupancy_heavy,60703,0.0,0.0,0.18,6.646,17.807,0.286
Fragment Occupancy,occupancy_heavy,60703,0.0,0.0,2.394,90.11,100.0,3.929
GPU Read Bandwidth,occupancy_heavy,60703,0.0,0.001,0.547,28.066,44.678,1.046
GPU Write Bandwidth,occupancy_heavy,60703,0.0,0.017,0.432,23.959,53.739,0.79
LLC Limiter,occupancy_heavy,60703,0.0,0.009,1.071,44.297,52.898,1.607
LLC Utilization,occupancy_heavy,60703,0.0,0.009,1.052,24.627,38.78,1.151
MMU Limiter,occupancy_heavy,60703,0.0,0.009,0.698,30.111,47.01,1.184
MMU Utilization,occupancy_heavy,60703,0.0,0.009,0.69,23.876,37.625,0.961
Partial Renders,occupancy_heavy,60703,0.0,0.0,0.0,0.0,0.0,0.0
TG/IB Load Limiter,occupancy_heavy,60703,0.0,0.0,0.035,5.54,18.152,0.198
TG/IB Load Utilization,occupancy_heavy,60703,0.0,0.0,0.035,4.447,11.729,0.168
TG/IB Store Limiter,occupancy_heavy,60703,0.0,0.0,0.035,5.54,18.152,0.198
TG/IB Store Utilization,occupancy_heavy,60703,0.0,0.0,0.085,12.633,19.107,0.475
Texture Cache Limiter,occupancy_heavy,60703,0.0,0.0,0.313,27.251,99.557,1.108
Texture Filtering Limiter,occupancy_heavy,60703,0.0,0.0,1.162,24.426,41.594,1.053
Texture Sample Limiter,occupancy_heavy,60703,0.0,0.0,1.116,40.847,99.07,1.649
Texture Sample Utilization,occupancy_heavy,60703,0.0,0.0,1.116,24.258,41.771,1.054
Texture Write Limiter,occupancy_heavy,60703,0.0,0.0,0.902,48.671,100.0,1.99
Texture Write Utilization,occupancy_heavy,60703,0.0,0.0,0.902,34.569,81.705,1.621
Top Performance Limiter,occupancy_heavy,60700,0.0,0.009,4.58,67.274,100.0,3.054
Total Occupancy,occupancy_heavy,14941,0.0,1.916,72.534,94.257,100.081,16.147
Vertex Occupancy,occupancy_heavy,60703,0.0,0.0,0.016,0.625,4.024,0.02
