variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,41200000,206000.000000,201.171875000,10779883706199008131
threadgroup_heavy,160,1024,34691000,216818.750000,211.737060547,13743158577290188387
occupancy_heavy,160,1024,35740000,223375.000000,218.139648438,14337981411528687150
register_pressure,200,1024,43508000,217540.000000,212.441406250,480914064531870774
