variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,1,1024,618000,618000.000000,603.515625000,10779883706199008131
threadgroup_heavy,1,1024,641000,641000.000000,625.976562500,6744561641481749327
occupancy_heavy,1,1024,674000,674000.000000,658.203125000,14337981411528687150
register_pressure,1,1024,701000,701000.000000,684.570312500,480914064531870774
