variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,1,1024,910000,910000.000000,888.671875000,10779883706199008131
threadgroup_heavy,1,1024,966000,966000.000000,943.359375000,12927937599667727422
threadgroup_minimal,1,1024,978000,978000.000000,955.078125000,1806622991180656120
occupancy_heavy,1,1024,889000,889000.000000,868.164062500,14337981411528687150
register_pressure,1,1024,942000,942000.000000,919.921875000,480914064531870774
