variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,52747000,263735.000000,257.553710938,10779883706199008131
threadgroup_heavy,160,1024,35017000,218856.250000,213.726806641,15078923339883341510
threadgroup_minimal,192,1024,39132000,203812.500000,199.035644531,1806622991180656120
occupancy_heavy,160,1024,32228000,201425.000000,196.704101562,14337981411528687150
register_pressure,200,1024,46356000,231780.000000,226.347656250,480914064531870774
