lane,backend,format,bit_width,metric,unit,median,p90,warmup_excluded,artifact,notes
cpu,aarch64_scalar,int32,32,latency_per_op,cycles,1.56,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,`add_dep_u64`; interpreted as 1-cycle integer ADD latency on M-series.
cpu,aarch64_scalar,float64,64,latency_per_op,cycles,3.94,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,`fadd_dep_f64`.
cpu,aarch64_scalar,float64,64,latency_per_op,cycles,4.15,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,`fmadd_dep_f64`.
cpu,aarch64_atomic,uint64,64,latency_per_op,cycles,6.12,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,`atomic_add_relaxed_u64`.
cpu,aarch64_cache,uint64,64,l1_to_slc_boundary,working_set_kb,128,256,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/cache_hierarchy_analysis.md,Promoted cache knee range.
cpu,aarch64_cache,uint64,64,slc_to_dram_boundary,working_set_mb,8,16,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/cache_hierarchy_analysis.md,Promoted cache knee range.
cpu,neon_convert,float16,16,latency_per_op,cycles,3.0,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/fp16_latency.md,`fcvt_f32_f16_roundtrip`; approximate per-FCVT latency.
cpu,neon_fp16,float16,16,latency_per_op,cycles,3.0,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/fp16_latency.md,`fadd_dep_f16_scalar`.
cpu,neon_fp16,float16,16,latency_per_op,cycles,4.1,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/fp16_latency.md,`fmla_dep_f16x8_simd`.
cpu,aarch64_mul,uint64,64,latency_per_op,cycles,3.0,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/integer_multiply_latency.md,`MUL/MADD/MSUB/UMULH` family summarized as ~3 cycles.
metal,agx_dispatch,float32,32,cpu_wall_time_ns_per_element,ns,196.704101562,,no,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_timing.csv,`occupancy_heavy`; includes host dispatch and wait costs.
metal,agx_dispatch,float32,32,gpu_time_ns_per_element,ns,9.1,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_commandbuffer_timing.md,`occupancy_heavy`; GPUStartTime/GPUEndTime.
metal,agx_dispatch,float32,32,cpu_gpu_ratio,ratio,22.5,,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_commandbuffer_timing.md,`occupancy_heavy`; CPU wait dominates.
