lane,backend,format,bit_width,metric,unit,median,p90,warmup_excluded,artifact,notes
metal,agx_counters,float32,32,alu_utilization_peak,pct,78.94,34.41,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_hardware_counters.md,Peak and P99 for `occupancy_heavy`.
metal,agx_counters,float32,32,fragment_occupancy_peak,pct,100.0,90.11,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_hardware_counters.md,Apple TBDR compute-routing signal.
metal,agx_counters,float32,32,gpu_read_bandwidth_peak,pct,44.68,28.07,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_hardware_counters.md,Not memory-saturated.
metal,agx_counters,float32,32,gpu_write_bandwidth_peak,pct,53.74,23.96,yes,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_hardware_counters.md,Not memory-saturated.
neural,pytorch_cpu,float32,32,gemm_512_ms,ms,0.511,,no,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,PyTorch CPU matmul.
neural,pytorch_mps,float32,32,gemm_512_ms,ms,0.633,,no,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,PyTorch MPS matmul.
neural,pytorch_mps,float16,16,gemm_512_ms,ms,4.405,,no,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,Anomalous f16 slowdown; must be re-measured with warmup exclusion.
neural,pytorch_cpu,float32,32,vector_add_1m_ms,ms,0.213,,no,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,Elementwise add.
neural,pytorch_mps,float32,32,vector_add_1m_ms,ms,3.141,,no,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,Dispatch-overhead dominated.
neural,mlx_gpu,float32,32,gemm_512_ms,ms,1.91,,no,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,MLX sidecar comparison.
neural,pytorch_cpu,float16,16,gemm_1024_ms,ms,714.2547920011566,716.7116872020415,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,float16,16,gemm_2048_ms,ms,9583.433083498676,10018.269746396983,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,float32,32,gemm_1024_ms,ms,2.572687495558057,2.9010537968133576,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,float32,32,gemm_2048_ms,ms,24.535916505556088,25.28954590379726,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,float64,64,gemm_1024_ms,ms,10.302500493708067,10.76422080222983,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,float64,64,gemm_2048_ms,ms,90.40297950559761,92.2200165950926,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,bfloat16,16,gemm_1024_ms,ms,826.7134580019047,861.5144743947894,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,bfloat16,16,gemm_2048_ms,ms,8559.807207995618,8786.372820792894,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,int8,8,gemm_1024_ms,ms,47.419458504009526,50.73767019493971,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,int8,8,gemm_2048_ms,ms,375.24129200028256,385.0043295053183,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,uint8,8,gemm_1024_ms,ms,46.83193800156005,47.88845349976327,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_cpu,uint8,8,gemm_2048_ms,ms,371.45466699439567,379.5278336969204,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=cpu
neural,pytorch_mps,float16,16,gemm_1024_ms,ms,2.011728996876627,2.3947252964717336,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,float16,16,gemm_2048_ms,ms,9.315937495557591,9.57112470350694,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,float32,32,gemm_1024_ms,ms,2.1475624962477013,2.540425304323435,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,float32,32,gemm_2048_ms,ms,10.828438003954943,11.096291705325712,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,bfloat16,16,gemm_1024_ms,ms,2.772937004920095,3.007383394287899,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,bfloat16,16,gemm_2048_ms,ms,18.923979499959387,19.669645310204942,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,int8,8,gemm_1024_ms,ms,8.506250000209548,8.599667300586589,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,int8,8,gemm_2048_ms,ms,61.970479000592604,62.91567850712454,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,uint8,8,gemm_1024_ms,ms,8.510874999046791,8.712158698472194,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,pytorch_mps,uint8,8,gemm_2048_ms,ms,61.87233349919552,62.707696403958835,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,device=mps
neural,mlx_gpu,float16,16,gemm_256_ms,ms,0.23383300140267238,0.25073390133911744,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
neural,mlx_gpu,float16,16,gemm_1024_ms,ms,1.4441874955082312,1.8188122048741207,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
neural,mlx_gpu,float16,16,gemm_2048_ms,ms,8.51829149905825,8.824474694847595,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
neural,mlx_gpu,float16,16,reduce_1m_ms,ms,0.27077099366579205,0.2830743993399665,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
neural,mlx_gpu,float32,32,gemm_256_ms,ms,0.30216600134735927,0.3287750048912131,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
neural,mlx_gpu,float32,32,gemm_1024_ms,ms,1.4592089937650599,1.5029159956611693,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
neural,mlx_gpu,float32,32,gemm_2048_ms,ms,10.540750001382548,11.011836901889183,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
neural,mlx_gpu,float32,32,reduce_1m_ms,ms,0.29479099612217396,0.3226413973607123,yes,../apple_re/results/typed_neural_suite_20260401_203656/neural_timing_matrix.csv,"default_device=Device(gpu, 0)"
cpu,apple_cpu_reference,uint32,32,dep_chain_ns_per_op,ns,0.362279,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_u32.csv,"native_aarch64_w_register_add_dep_chain, iters=50000000, unroll=32, elapsed_ns=579645875, approx_gops=2.760306"
cpu,apple_cpu_reference,int64,64,dep_chain_ns_per_op,ns,0.374252,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_i64.csv,"native_aarch64_x_register_add_dep_chain, iters=50000000, unroll=32, elapsed_ns=598803709, approx_gops=2.671994"
cpu,apple_cpu_reference,int16,16,dep_chain_ns_per_op,ns,0.368164,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_i16.csv,"aarch64_add_plus_sxth_lowering_chain, iters=50000000, unroll=32, elapsed_ns=589062708, approx_gops=2.716179"
cpu,apple_cpu_reference,int8,8,dep_chain_ns_per_op,ns,0.363749,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_i8.csv,"aarch64_add_plus_sxtb_lowering_chain, iters=50000000, unroll=32, elapsed_ns=581998000, approx_gops=2.749150"
cpu,apple_cpu_reference,uint16,16,dep_chain_ns_per_op,ns,0.368626,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_u16.csv,"aarch64_add_plus_uxth_lowering_chain, iters=50000000, unroll=32, elapsed_ns=589801625, approx_gops=2.712777"
cpu,apple_cpu_reference,uint8,8,dep_chain_ns_per_op,ns,0.364959,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/add_dep_u8.csv,"aarch64_add_plus_uxtb_lowering_chain, iters=50000000, unroll=32, elapsed_ns=583933875, approx_gops=2.740036"
cpu,apple_cpu_reference,float32,32,dep_chain_ns_per_op,ns,1.094337,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/fadd_dep_f32.csv,"native_aarch64_scalar_fadd_dep_chain, iters=1000000, unroll=32, elapsed_ns=35018792, approx_gops=0.913795"
cpu,apple_cpu_reference,bfloat16,16,roundtrip_proxy_ns_per_op,ns,5.244027,,no,../apple_re/results/typed_cpu_probe_suite_20260401/cpu_runs/bf16_f32_roundtrip_proxy.csv,"host_bfloat16_quantize_roundtrip_proxy, iters=1000000, unroll=32, elapsed_ns=167808875, approx_gops=0.190693"
metal,agx_format_trace,bfloat16,16,trace_duration_s,s,10.291833,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=bfloat16, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,float16,16,trace_duration_s,s,10.420794,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=float16, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,float32,32,trace_duration_s,s,10.282853,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=float32, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,bfloat16,16,trace_duration_s,s,0.852653,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_bfloat16, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,float16,16,trace_duration_s,s,0.916784,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_float16, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,float32,32,trace_duration_s,s,0.986077,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_float32, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,fp8_e4m3,8,trace_duration_s,s,0.897471,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_fp8_e4m3, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,fp8_e5m2,8,trace_duration_s,s,2.180122,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_fp8_e5m2, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,int8,8,trace_duration_s,s,0.823071,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_int8, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,mxfp4,4,trace_duration_s,s,0.930458,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_mxfp4, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,mxfp6,6,trace_duration_s,s,1.166666,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_mxfp6, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,mxfp8,8,trace_duration_s,s,3.427208,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_mxfp8, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,mxint8,8,trace_duration_s,s,1.389123,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_mxint8, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,tf32,19,trace_duration_s,s,2.012499,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_tf32, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,uint8,8,trace_duration_s,s,1.006274,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fmt_uint8, template=Metal System Trace, end_reason=Target app exited, target_exit_status=0"
metal,agx_format_trace,fp8_e4m3,8,trace_duration_s,s,10.291642,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fp8_e4m3, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,fp8_e5m2,8,trace_duration_s,s,10.294585,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=fp8_e5m2, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,int8,8,trace_duration_s,s,10.286879,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=int8, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,mxfp4,4,trace_duration_s,s,10.290464,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=mxfp4, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,mxfp6,6,trace_duration_s,s,10.281509,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=mxfp6, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,mxfp8,8,trace_duration_s,s,10.295803,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=mxfp8, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,mxint8,8,trace_duration_s,s,10.284054,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=mxint8, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,tf32,19,trace_duration_s,s,10.300037,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=tf32, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,uint8,8,trace_duration_s,s,10.283399,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_trace_health.csv,"format_variant=uint8, template=Blank, end_reason=Time limit reached, target_exit_status=9"
metal,agx_format_trace,bfloat16,16,metal_application_encoders_list_rows,rows,255,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_bfloat16, export_file=xctrace_gpu_fmt_bfloat16_metal-application-encoders-list.xml"
metal,agx_format_trace,bfloat16,16,metal_command_buffer_completed_rows,rows,280,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_bfloat16, export_file=xctrace_gpu_fmt_bfloat16_metal-command-buffer-completed.xml"
metal,agx_format_trace,bfloat16,16,metal_driver_intervals_rows,rows,737,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_bfloat16, export_file=xctrace_gpu_fmt_bfloat16_metal-driver-intervals.xml"
metal,agx_format_trace,bfloat16,16,metal_gpu_intervals_rows,rows,646,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_bfloat16, export_file=xctrace_gpu_fmt_bfloat16_metal-gpu-intervals.xml"
metal,agx_format_trace,bfloat16,16,metal_gpu_state_intervals_rows,rows,1235,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_bfloat16, export_file=xctrace_gpu_fmt_bfloat16_metal-gpu-state-intervals.xml"
metal,agx_format_trace,float16,16,metal_application_encoders_list_rows,rows,256,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float16, export_file=xctrace_gpu_fmt_float16_metal-application-encoders-list.xml"
metal,agx_format_trace,float16,16,metal_command_buffer_completed_rows,rows,270,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float16, export_file=xctrace_gpu_fmt_float16_metal-command-buffer-completed.xml"
metal,agx_format_trace,float16,16,metal_driver_intervals_rows,rows,673,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float16, export_file=xctrace_gpu_fmt_float16_metal-driver-intervals.xml"
metal,agx_format_trace,float16,16,metal_gpu_intervals_rows,rows,538,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float16, export_file=xctrace_gpu_fmt_float16_metal-gpu-intervals.xml"
metal,agx_format_trace,float16,16,metal_gpu_state_intervals_rows,rows,1041,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float16, export_file=xctrace_gpu_fmt_float16_metal-gpu-state-intervals.xml"
metal,agx_format_trace,float32,32,metal_application_encoders_list_rows,rows,256,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float32, export_file=xctrace_gpu_fmt_float32_metal-application-encoders-list.xml"
metal,agx_format_trace,float32,32,metal_command_buffer_completed_rows,rows,297,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float32, export_file=xctrace_gpu_fmt_float32_metal-command-buffer-completed.xml"
metal,agx_format_trace,float32,32,metal_driver_intervals_rows,rows,683,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float32, export_file=xctrace_gpu_fmt_float32_metal-driver-intervals.xml"
metal,agx_format_trace,float32,32,metal_gpu_intervals_rows,rows,577,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float32, export_file=xctrace_gpu_fmt_float32_metal-gpu-intervals.xml"
metal,agx_format_trace,float32,32,metal_gpu_state_intervals_rows,rows,1118,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_float32, export_file=xctrace_gpu_fmt_float32_metal-gpu-state-intervals.xml"
metal,agx_format_trace,fp8_e4m3,8,metal_application_encoders_list_rows,rows,256,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e4m3, export_file=xctrace_gpu_fmt_fp8_e4m3_metal-application-encoders-list.xml"
metal,agx_format_trace,fp8_e4m3,8,metal_command_buffer_completed_rows,rows,290,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e4m3, export_file=xctrace_gpu_fmt_fp8_e4m3_metal-command-buffer-completed.xml"
metal,agx_format_trace,fp8_e4m3,8,metal_driver_intervals_rows,rows,648,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e4m3, export_file=xctrace_gpu_fmt_fp8_e4m3_metal-driver-intervals.xml"
metal,agx_format_trace,fp8_e4m3,8,metal_gpu_intervals_rows,rows,454,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e4m3, export_file=xctrace_gpu_fmt_fp8_e4m3_metal-gpu-intervals.xml"
metal,agx_format_trace,fp8_e4m3,8,metal_gpu_state_intervals_rows,rows,891,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e4m3, export_file=xctrace_gpu_fmt_fp8_e4m3_metal-gpu-state-intervals.xml"
metal,agx_format_trace,fp8_e5m2,8,metal_application_encoders_list_rows,rows,256,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e5m2, export_file=xctrace_gpu_fmt_fp8_e5m2_metal-application-encoders-list.xml"
metal,agx_format_trace,fp8_e5m2,8,metal_command_buffer_completed_rows,rows,384,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e5m2, export_file=xctrace_gpu_fmt_fp8_e5m2_metal-command-buffer-completed.xml"
metal,agx_format_trace,fp8_e5m2,8,metal_driver_intervals_rows,rows,1205,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e5m2, export_file=xctrace_gpu_fmt_fp8_e5m2_metal-driver-intervals.xml"
metal,agx_format_trace,fp8_e5m2,8,metal_gpu_intervals_rows,rows,1345,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e5m2, export_file=xctrace_gpu_fmt_fp8_e5m2_metal-gpu-intervals.xml"
metal,agx_format_trace,fp8_e5m2,8,metal_gpu_state_intervals_rows,rows,2568,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_fp8_e5m2, export_file=xctrace_gpu_fmt_fp8_e5m2_metal-gpu-state-intervals.xml"
metal,agx_format_trace,int8,8,metal_application_encoders_list_rows,rows,256,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_int8, export_file=xctrace_gpu_fmt_int8_metal-application-encoders-list.xml"
metal,agx_format_trace,int8,8,metal_command_buffer_completed_rows,rows,289,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_int8, export_file=xctrace_gpu_fmt_int8_metal-command-buffer-completed.xml"
metal,agx_format_trace,int8,8,metal_driver_intervals_rows,rows,704,,no,../apple_re/results/typed_metal_suite_20260401_apple_sync/typed_format_agx_20260401/xctrace_metric_row_counts.csv,"format_variant=fmt_int8, export_file=xctrace_gpu_fmt_int8_metal-driver-intervals.xml"
