probe,mnemonic,count
probe_4bit_formats,BRA,8
probe_4bit_formats,BSSY,3
probe_4bit_formats,BSYNC,3
probe_4bit_formats,EXIT,7
probe_4bit_formats,F2I.TRUNC.NTZ,41
probe_4bit_formats,FADD.FTZ,40
probe_4bit_formats,FADD.FTZ.RZ,41
probe_4bit_formats,FFMA.FTZ,76
probe_4bit_formats,FMUL.FTZ,82
probe_4bit_formats,FSETP.GEU.FTZ.AND,15
probe_4bit_formats,I2FP.F32.S32,41
probe_4bit_formats,IADD3,25
probe_4bit_formats,IMAD,5
probe_4bit_formats,IMAD.IADD,16
probe_4bit_formats,IMAD.MOV.U32,24
probe_4bit_formats,IMAD.SHL.U32,28
probe_4bit_formats,IMAD.WIDE,5
probe_4bit_formats,IMAD.WIDE.U32,1
probe_4bit_formats,IMMA.8832.S4.S4,1
probe_4bit_formats,IMNMX,82
probe_4bit_formats,ISETP.EQ.AND,32
probe_4bit_formats,ISETP.GE.AND,25
probe_4bit_formats,ISETP.GT.U32.AND,20
probe_4bit_formats,ISETP.NE.AND,1
probe_4bit_formats,LDC,3
probe_4bit_formats,LDG.E,6
probe_4bit_formats,LDG.E.S8,20
probe_4bit_formats,LDG.E.U8,1
probe_4bit_formats,LEA,4
probe_4bit_formats,LEA.HI,1
probe_4bit_formats,LEA.HI.X,4
probe_4bit_formats,LEA.HI.X.SX32,23
probe_4bit_formats,LOP3.LUT,105
probe_4bit_formats,MOV,2
probe_4bit_formats,NOP,78
probe_4bit_formats,PRMT,7
probe_4bit_formats,S2R,12
probe_4bit_formats,SHF.L.U32,2
probe_4bit_formats,SHF.R.S32.HI,2
probe_4bit_formats,SHF.R.U32.HI,22
probe_4bit_formats,STG.E,7
probe_4bit_formats,STG.E.64,1
probe_4bit_formats,STG.E.U8,21
probe_4bit_formats,ULDC.64,7
probe_async_copy,BAR.SYNC.DEFER_BLOCKING,13
probe_async_copy,BRA,3
probe_async_copy,DEPBAR.LE,8
probe_async_copy,EXIT,3
probe_async_copy,FADD.FTZ,4
probe_async_copy,FFMA.FTZ,6
probe_async_copy,IADD3,16
probe_async_copy,IMAD,1
probe_async_copy,IMAD.MOV.U32,5
probe_async_copy,IMAD.SHL.U32,1
probe_async_copy,IMAD.U32,2
