probe,iters,unroll,elapsed_ns,ns_per_op,approx_gops
add_dep_u64,5000,32,81791,0.511194,1.956205
fadd_dep_f64,5000,32,245416,1.533850,0.651954
fmadd_dep_f64,5000,32,328958,2.055988,0.486384
load_store_chain_u64,5000,96,392708,0.818142,1.222282
shuffle_lane_cross_u64,5000,32,331000,2.068750,0.483384
atomic_add_relaxed_u64,5000,32,538542,3.365887,0.297098
transcendental_sin_cos_f64,5000,8,1242375,31.059375,0.032196
