variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,34428000,172140.000000,168.105468750,10779883706199008131
threadgroup_heavy,160,1024,31497000,196856.250000,192.242431641,14636718920422320608
occupancy_heavy,160,1024,30262000,189137.500000,184.704589844,14337981411528687150
register_pressure,200,1024,39458000,197290.000000,192.666015625,480914064531870774
