variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,1,1024,788000,788000.000000,769.531250000,10779883706199008131
threadgroup_heavy,1,1024,828000,828000.000000,808.593750000,5840872233434991213
threadgroup_minimal,1,1024,1048000,1048000.000000,1023.437500000,1806622991180656120
occupancy_heavy,1,1024,1411000,1411000.000000,1377.929687500,14337981411528687150
register_pressure,1,1024,824000,824000.000000,804.687500000,480914064531870774
