variant_trace,schema,baseline_rows,variant_rows,delta_rows,delta_pct
gpu_occupancy_heavy.trace,metal-application-encoders-list,1000,800,-200,-20.00%
gpu_occupancy_heavy.trace,metal-command-buffer-completed,1340,977,-363,-27.09%
gpu_occupancy_heavy.trace,metal-driver-intervals,3779,2322,-1457,-38.56%
gpu_occupancy_heavy.trace,metal-gpu-intervals,3839,1865,-1974,-51.42%
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,6815,3334,-3481,-51.08%
gpu_register_pressure.trace,metal-application-encoders-list,1000,800,-200,-20.00%
gpu_register_pressure.trace,metal-command-buffer-completed,1340,928,-412,-30.75%
gpu_register_pressure.trace,metal-driver-intervals,3779,1958,-1821,-48.19%
gpu_register_pressure.trace,metal-gpu-intervals,3839,1252,-2587,-67.39%
gpu_register_pressure.trace,metal-gpu-state-intervals,6815,2363,-4452,-65.33%
gpu_threadgroup_heavy.trace,metal-application-encoders-list,1000,799,-201,-20.10%
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,1340,892,-448,-33.43%
gpu_threadgroup_heavy.trace,metal-driver-intervals,3779,2168,-1611,-42.63%
gpu_threadgroup_heavy.trace,metal-gpu-intervals,3839,1745,-2094,-54.55%
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,6815,3140,-3675,-53.93%
gpu_threadgroup_minimal.trace,metal-application-encoders-list,1000,799,-201,-20.10%
gpu_threadgroup_minimal.trace,metal-command-buffer-completed,1340,955,-385,-28.73%
gpu_threadgroup_minimal.trace,metal-driver-intervals,3779,2276,-1503,-39.77%
gpu_threadgroup_minimal.trace,metal-gpu-intervals,3839,1817,-2022,-52.67%
gpu_threadgroup_minimal.trace,metal-gpu-state-intervals,6815,3359,-3456,-50.71%
