variant_trace,schema,baseline_density_rps,variant_density_rps,delta_density_rps
gpu_occupancy_heavy.trace,metal-application-encoders-list,470.8343985961601,587.245181469772,116.41078287361188
gpu_occupancy_heavy.trace,metal-command-buffer-completed,630.9180941188546,717.173177869959,86.2550837511044
gpu_occupancy_heavy.trace,metal-driver-intervals,1779.2831922948892,1704.479139216013,-74.80405307887622
gpu_occupancy_heavy.trace,metal-gpu-intervals,1807.5332562106587,1369.015329301406,-438.51792690925276
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,3208.736426432831,2447.3442937752743,-761.3921326575569
gpu_register_pressure.trace,metal-application-encoders-list,470.8343985961601,826.9186839175686,356.0842853214085
gpu_register_pressure.trace,metal-command-buffer-completed,630.9180941188546,959.2256733443796,328.30757922552505
gpu_register_pressure.trace,metal-driver-intervals,1779.2831922948892,2023.8834788882493,244.60028659336012
gpu_register_pressure.trace,metal-gpu-intervals,1807.5332562106587,1294.127740330995,-513.4055158796637
gpu_register_pressure.trace,metal-gpu-state-intervals,3208.736426432831,2442.5110626215182,-766.225363811313
gpu_threadgroup_heavy.trace,metal-application-encoders-list,470.8343985961601,868.481092873129,397.6466942769689
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,630.9180941188546,969.568379027323,338.6502849084684
gpu_threadgroup_heavy.trace,metal-driver-intervals,1779.2831922948892,2356.5294234655116,577.2462311706224
gpu_threadgroup_heavy.trace,metal-gpu-intervals,1807.5332562106587,1896.7453154738548,89.21205926319612
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,3208.736426432831,3413.054607786765,204.3181813539336
gpu_threadgroup_minimal.trace,metal-application-encoders-list,470.8343985961601,737.537326865651,266.70292826949094
gpu_threadgroup_minimal.trace,metal-command-buffer-completed,630.9180941188546,881.5371053275303,250.61901120867572
gpu_threadgroup_minimal.trace,metal-driver-intervals,1779.2831922948892,2100.9198447387007,321.6366524438115
gpu_threadgroup_minimal.trace,metal-gpu-intervals,1807.5332562106587,1677.2281888797095,-130.3050673309492
gpu_threadgroup_minimal.trace,metal-gpu-state-intervals,3208.736426432831,3100.6106144452087,-108.12581198762246
