trace,schema,rows,export_file
gpu_baseline.trace,metal-application-encoders-list,999,xctrace_gpu_baseline_metal-application-encoders-list.xml
gpu_baseline.trace,metal-command-buffer-completed,1075,xctrace_gpu_baseline_metal-command-buffer-completed.xml
gpu_baseline.trace,metal-driver-intervals,2206,xctrace_gpu_baseline_metal-driver-intervals.xml
gpu_baseline.trace,metal-gpu-intervals,1289,xctrace_gpu_baseline_metal-gpu-intervals.xml
gpu_baseline.trace,metal-gpu-state-intervals,2491,xctrace_gpu_baseline_metal-gpu-state-intervals.xml
gpu_occupancy_heavy.trace,metal-application-encoders-list,798,xctrace_gpu_occupancy_heavy_metal-application-encoders-list.xml
gpu_occupancy_heavy.trace,metal-command-buffer-completed,896,xctrace_gpu_occupancy_heavy_metal-command-buffer-completed.xml
gpu_occupancy_heavy.trace,metal-driver-intervals,2074,xctrace_gpu_occupancy_heavy_metal-driver-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-intervals,1541,xctrace_gpu_occupancy_heavy_metal-gpu-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,2833,xctrace_gpu_occupancy_heavy_metal-gpu-state-intervals.xml
gpu_register_pressure.trace,metal-application-encoders-list,785,xctrace_gpu_register_pressure_metal-application-encoders-list.xml
gpu_register_pressure.trace,metal-command-buffer-completed,870,xctrace_gpu_register_pressure_metal-command-buffer-completed.xml
gpu_register_pressure.trace,metal-driver-intervals,1973,xctrace_gpu_register_pressure_metal-driver-intervals.xml
gpu_register_pressure.trace,metal-gpu-intervals,1399,xctrace_gpu_register_pressure_metal-gpu-intervals.xml
gpu_register_pressure.trace,metal-gpu-state-intervals,2609,xctrace_gpu_register_pressure_metal-gpu-state-intervals.xml
gpu_threadgroup_heavy.trace,metal-application-encoders-list,798,xctrace_gpu_threadgroup_heavy_metal-application-encoders-list.xml
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,906,xctrace_gpu_threadgroup_heavy_metal-command-buffer-completed.xml
gpu_threadgroup_heavy.trace,metal-driver-intervals,2108,xctrace_gpu_threadgroup_heavy_metal-driver-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-intervals,1587,xctrace_gpu_threadgroup_heavy_metal-gpu-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,2934,xctrace_gpu_threadgroup_heavy_metal-gpu-state-intervals.xml
