trace,template_name,duration_s,end_reason,target_process_name,target_pid,target_exit_status,target_termination_reason,schema_count
gpu_baseline.trace,Metal System Trace,1.092278,Target app exited,sm_apple_metal_probe_host,17804,0,exit(0),114
gpu_occupancy_heavy.trace,Metal System Trace,0.990632,Target app exited,sm_apple_metal_probe_host,17892,0,exit(0),114
gpu_register_pressure.trace,Metal System Trace,0.929278,Target app exited,sm_apple_metal_probe_host,17934,0,exit(0),114
gpu_threadgroup_heavy.trace,Metal System Trace,0.976882,Target app exited,sm_apple_metal_probe_host,17853,0,exit(0),114
