trace,schema
gpu_fmt_float32.trace,display-surface-queue
gpu_fmt_float32.trace,display-surface-swap
gpu_fmt_float32.trace,display-vsyncs-interval
gpu_fmt_float32.trace,displayed-surfaces-interval
gpu_fmt_float32.trace,displayed-surfaces-per-second
gpu_fmt_float32.trace,dyld-library-load
gpu_fmt_float32.trace,gpu-aps-stream
gpu_fmt_float32.trace,gpu-counter-info
gpu_fmt_float32.trace,gpu-counter-value
gpu_fmt_float32.trace,gpu-performance-device-state-intervals
gpu_fmt_float32.trace,gpu-performance-state-info
gpu_fmt_float32.trace,gpu-performance-state-intervals
gpu_fmt_float32.trace,gpu-shader-profiler-interval
gpu_fmt_float32.trace,gpu-shader-profiler-sample
gpu_fmt_float32.trace,graphics-compiler-activity-intervals
gpu_fmt_float32.trace,hang-risks
gpu_fmt_float32.trace,kdebug
gpu_fmt_float32.trace,kdebug-strings
gpu_fmt_float32.trace,life-cycle-period
gpu_fmt_float32.trace,metal-application-command-buffer-submissions
gpu_fmt_float32.trace,metal-application-encoders-list
gpu_fmt_float32.trace,metal-application-event-interval
gpu_fmt_float32.trace,metal-application-intervals
gpu_fmt_float32.trace,metal-ar-events
gpu_fmt_float32.trace,metal-command-buffer-completed
gpu_fmt_float32.trace,metal-command-buffer-error
gpu_fmt_float32.trace,metal-command-buffer-frame-assignment
gpu_fmt_float32.trace,metal-command-buffer-to-accelerator-id
gpu_fmt_float32.trace,metal-current-allocated-size
gpu_fmt_float32.trace,metal-driver-event-intervals
gpu_fmt_float32.trace,metal-driver-event-per-thread-intervals
gpu_fmt_float32.trace,metal-driver-intervals
gpu_fmt_float32.trace,metal-gpu-counter-intervals
gpu_fmt_float32.trace,metal-gpu-counter-profile
gpu_fmt_float32.trace,metal-gpu-execution-points
gpu_fmt_float32.trace,metal-gpu-info
gpu_fmt_float32.trace,metal-gpu-intervals
gpu_fmt_float32.trace,metal-gpu-state-intervals
gpu_fmt_float32.trace,metal-gpu-submission-to-command-buffer-id
gpu_fmt_float32.trace,metal-io-surface-access
gpu_fmt_float32.trace,metal-kernel-resource-allocations
gpu_fmt_float32.trace,metal-known-compositor-process
gpu_fmt_float32.trace,metal-object-dependency-chain-app
gpu_fmt_float32.trace,metal-object-dependency-chain-display
gpu_fmt_float32.trace,metal-object-dependency-chain-driver
gpu_fmt_float32.trace,metal-object-dependency-chain-gpu
gpu_fmt_float32.trace,metal-object-label
gpu_fmt_float32.trace,metal-residency-set-interval
gpu_fmt_float32.trace,metal-residency-set-resource-event
gpu_fmt_float32.trace,metal-residency-set-usage-event
gpu_fmt_float32.trace,metal-resource-allocations
gpu_fmt_float32.trace,metal-shader-profiler-intervals
gpu_fmt_float32.trace,metal-shader-profiler-shader-list
gpu_fmt_float32.trace,metal-visual-highlight-chain-app
gpu_fmt_float32.trace,metal-visual-highlight-chain-display
gpu_fmt_float32.trace,metal-visual-highlight-chain-driver
gpu_fmt_float32.trace,metal-visual-highlight-chain-gpu
gpu_fmt_float32.trace,metal-wired-sysmem-level-interval
gpu_fmt_float32.trace,mps-hw-intervals
gpu_fmt_float32.trace,os-log
gpu_fmt_float32.trace,os-signpost
gpu_fmt_float32.trace,os-signpost-arg
gpu_fmt_float32.trace,potential-hangs
gpu_fmt_float32.trace,process-info
gpu_fmt_float32.trace,runloop-events
gpu_fmt_float32.trace,thread-info
gpu_fmt_float32.trace,tick
gpu_fmt_float32.trace,time-info
gpu_fmt_float32.trace,time-profile
gpu_fmt_float32.trace,time-sample
gpu_fmt_float32.trace,visual-chain
gpu_fmt_float32.trace,visual-connection
gpu_fmt_fp8_e4m3.trace,ca-client-buffer-wait-interval
gpu_fmt_fp8_e4m3.trace,ca-client-present-request
gpu_fmt_fp8_e4m3.trace,ca-client-presented-handler
gpu_fmt_fp8_e4m3.trace,device-display-info
gpu_fmt_fp8_e4m3.trace,device-gpu-info
gpu_fmt_fp8_e4m3.trace,device-thermal-state-intervals
gpu_fmt_fp8_e4m3.trace,display-compositor-events-interval
gpu_fmt_fp8_e4m3.trace,display-compositor-interval
gpu_fmt_fp8_e4m3.trace,display-events-interval
gpu_fmt_fp8_e4m3.trace,display-surface-queue
gpu_fmt_fp8_e4m3.trace,display-surface-swap
gpu_fmt_fp8_e4m3.trace,display-vsyncs-interval
gpu_fmt_fp8_e4m3.trace,displayed-surfaces-interval
gpu_fmt_fp8_e4m3.trace,displayed-surfaces-per-second
gpu_fmt_fp8_e4m3.trace,dyld-library-load
gpu_fmt_fp8_e4m3.trace,gpu-aps-stream
gpu_fmt_fp8_e4m3.trace,gpu-counter-info
gpu_fmt_fp8_e4m3.trace,gpu-counter-value
gpu_fmt_fp8_e4m3.trace,gpu-performance-device-state-intervals
gpu_fmt_fp8_e4m3.trace,gpu-performance-state-info
gpu_fmt_fp8_e4m3.trace,gpu-performance-state-intervals
gpu_fmt_fp8_e4m3.trace,gpu-shader-profiler-interval
gpu_fmt_fp8_e4m3.trace,gpu-shader-profiler-sample
gpu_fmt_fp8_e4m3.trace,graphics-compiler-activity-intervals
gpu_fmt_fp8_e4m3.trace,hang-risks
gpu_fmt_fp8_e4m3.trace,kdebug
gpu_fmt_fp8_e4m3.trace,kdebug-strings
gpu_fmt_fp8_e4m3.trace,life-cycle-period
gpu_fmt_fp8_e4m3.trace,metal-application-command-buffer-submissions
gpu_fmt_fp8_e4m3.trace,metal-application-encoders-list
gpu_fmt_fp8_e4m3.trace,metal-application-event-interval
gpu_fmt_fp8_e4m3.trace,metal-application-intervals
gpu_fmt_fp8_e4m3.trace,metal-ar-events
gpu_fmt_fp8_e4m3.trace,metal-command-buffer-completed
gpu_fmt_fp8_e4m3.trace,metal-command-buffer-error
gpu_fmt_fp8_e4m3.trace,metal-command-buffer-frame-assignment
gpu_fmt_fp8_e4m3.trace,metal-command-buffer-to-accelerator-id
gpu_fmt_fp8_e4m3.trace,metal-current-allocated-size
gpu_fmt_fp8_e4m3.trace,metal-driver-event-intervals
gpu_fmt_fp8_e4m3.trace,metal-driver-event-per-thread-intervals
gpu_fmt_fp8_e4m3.trace,metal-driver-intervals
gpu_fmt_fp8_e4m3.trace,metal-gpu-counter-intervals
gpu_fmt_fp8_e4m3.trace,metal-gpu-counter-profile
gpu_fmt_fp8_e4m3.trace,metal-gpu-execution-points
gpu_fmt_fp8_e4m3.trace,metal-gpu-info
gpu_fmt_fp8_e4m3.trace,metal-gpu-intervals
gpu_fmt_fp8_e4m3.trace,metal-gpu-state-intervals
gpu_fmt_fp8_e4m3.trace,metal-gpu-submission-to-command-buffer-id
gpu_fmt_fp8_e4m3.trace,metal-io-surface-access
gpu_fmt_fp8_e4m3.trace,metal-kernel-resource-allocations
gpu_fmt_fp8_e4m3.trace,metal-known-compositor-process
gpu_fmt_fp8_e4m3.trace,metal-object-dependency-chain-app
gpu_fmt_fp8_e4m3.trace,metal-object-dependency-chain-display
gpu_fmt_fp8_e4m3.trace,metal-object-dependency-chain-driver
gpu_fmt_fp8_e4m3.trace,metal-object-dependency-chain-gpu
gpu_fmt_fp8_e4m3.trace,metal-object-label
gpu_fmt_fp8_e4m3.trace,metal-residency-set-interval
gpu_fmt_fp8_e4m3.trace,metal-residency-set-resource-event
gpu_fmt_fp8_e4m3.trace,metal-residency-set-usage-event
gpu_fmt_fp8_e4m3.trace,metal-resource-allocations
gpu_fmt_fp8_e4m3.trace,metal-shader-profiler-intervals
gpu_fmt_fp8_e4m3.trace,metal-shader-profiler-shader-list
gpu_fmt_fp8_e4m3.trace,metal-visual-highlight-chain-app
gpu_fmt_fp8_e4m3.trace,metal-visual-highlight-chain-display
gpu_fmt_fp8_e4m3.trace,metal-visual-highlight-chain-driver
gpu_fmt_fp8_e4m3.trace,metal-visual-highlight-chain-gpu
gpu_fmt_fp8_e4m3.trace,metal-wired-sysmem-level-interval
gpu_fmt_fp8_e4m3.trace,mps-hw-intervals
gpu_fmt_fp8_e4m3.trace,os-log
gpu_fmt_fp8_e4m3.trace,os-signpost
gpu_fmt_fp8_e4m3.trace,os-signpost-arg
gpu_fmt_fp8_e4m3.trace,potential-hangs
gpu_fmt_fp8_e4m3.trace,process-info
gpu_fmt_fp8_e4m3.trace,runloop-events
gpu_fmt_fp8_e4m3.trace,thread-info
gpu_fmt_fp8_e4m3.trace,tick
gpu_fmt_fp8_e4m3.trace,time-info
gpu_fmt_fp8_e4m3.trace,time-profile
gpu_fmt_fp8_e4m3.trace,time-sample
gpu_fmt_fp8_e4m3.trace,visual-chain
gpu_fmt_fp8_e4m3.trace,visual-connection
gpu_fmt_fp8_e5m2.trace,ca-client-buffer-wait-interval
gpu_fmt_fp8_e5m2.trace,ca-client-present-request
gpu_fmt_fp8_e5m2.trace,ca-client-presented-handler
gpu_fmt_fp8_e5m2.trace,device-display-info
gpu_fmt_fp8_e5m2.trace,device-gpu-info
gpu_fmt_fp8_e5m2.trace,device-thermal-state-intervals
gpu_fmt_fp8_e5m2.trace,display-compositor-events-interval
gpu_fmt_fp8_e5m2.trace,display-compositor-interval
gpu_fmt_fp8_e5m2.trace,display-events-interval
gpu_fmt_fp8_e5m2.trace,display-surface-queue
gpu_fmt_fp8_e5m2.trace,display-surface-swap
gpu_fmt_fp8_e5m2.trace,display-vsyncs-interval
gpu_fmt_fp8_e5m2.trace,displayed-surfaces-interval
gpu_fmt_fp8_e5m2.trace,displayed-surfaces-per-second
gpu_fmt_fp8_e5m2.trace,dyld-library-load
gpu_fmt_fp8_e5m2.trace,gpu-aps-stream
gpu_fmt_fp8_e5m2.trace,gpu-counter-info
gpu_fmt_fp8_e5m2.trace,gpu-counter-value
gpu_fmt_fp8_e5m2.trace,gpu-performance-device-state-intervals
gpu_fmt_fp8_e5m2.trace,gpu-performance-state-info
gpu_fmt_fp8_e5m2.trace,gpu-performance-state-intervals
gpu_fmt_fp8_e5m2.trace,gpu-shader-profiler-interval
gpu_fmt_fp8_e5m2.trace,gpu-shader-profiler-sample
gpu_fmt_fp8_e5m2.trace,graphics-compiler-activity-intervals
gpu_fmt_fp8_e5m2.trace,hang-risks
gpu_fmt_fp8_e5m2.trace,kdebug
gpu_fmt_fp8_e5m2.trace,kdebug-strings
gpu_fmt_fp8_e5m2.trace,life-cycle-period
gpu_fmt_fp8_e5m2.trace,metal-application-command-buffer-submissions
gpu_fmt_fp8_e5m2.trace,metal-application-encoders-list
gpu_fmt_fp8_e5m2.trace,metal-application-event-interval
gpu_fmt_fp8_e5m2.trace,metal-application-intervals
gpu_fmt_fp8_e5m2.trace,metal-ar-events
gpu_fmt_fp8_e5m2.trace,metal-command-buffer-completed
gpu_fmt_fp8_e5m2.trace,metal-command-buffer-error
gpu_fmt_fp8_e5m2.trace,metal-command-buffer-frame-assignment
gpu_fmt_fp8_e5m2.trace,metal-command-buffer-to-accelerator-id
gpu_fmt_fp8_e5m2.trace,metal-current-allocated-size
gpu_fmt_fp8_e5m2.trace,metal-driver-event-intervals
gpu_fmt_fp8_e5m2.trace,metal-driver-event-per-thread-intervals
gpu_fmt_fp8_e5m2.trace,metal-driver-intervals
gpu_fmt_fp8_e5m2.trace,metal-gpu-counter-intervals
gpu_fmt_fp8_e5m2.trace,metal-gpu-counter-profile
gpu_fmt_fp8_e5m2.trace,metal-gpu-execution-points
gpu_fmt_fp8_e5m2.trace,metal-gpu-info
gpu_fmt_fp8_e5m2.trace,metal-gpu-intervals
gpu_fmt_fp8_e5m2.trace,metal-gpu-state-intervals
gpu_fmt_fp8_e5m2.trace,metal-gpu-submission-to-command-buffer-id
gpu_fmt_fp8_e5m2.trace,metal-io-surface-access
gpu_fmt_fp8_e5m2.trace,metal-kernel-resource-allocations
gpu_fmt_fp8_e5m2.trace,metal-known-compositor-process
gpu_fmt_fp8_e5m2.trace,metal-object-dependency-chain-app
gpu_fmt_fp8_e5m2.trace,metal-object-dependency-chain-display
gpu_fmt_fp8_e5m2.trace,metal-object-dependency-chain-driver
gpu_fmt_fp8_e5m2.trace,metal-object-dependency-chain-gpu
gpu_fmt_fp8_e5m2.trace,metal-object-label
gpu_fmt_fp8_e5m2.trace,metal-residency-set-interval
gpu_fmt_fp8_e5m2.trace,metal-residency-set-resource-event
gpu_fmt_fp8_e5m2.trace,metal-residency-set-usage-event
gpu_fmt_fp8_e5m2.trace,metal-resource-allocations
gpu_fmt_fp8_e5m2.trace,metal-shader-profiler-intervals
gpu_fmt_fp8_e5m2.trace,metal-shader-profiler-shader-list
gpu_fmt_fp8_e5m2.trace,metal-visual-highlight-chain-app
gpu_fmt_fp8_e5m2.trace,metal-visual-highlight-chain-display
gpu_fmt_fp8_e5m2.trace,metal-visual-highlight-chain-driver
gpu_fmt_fp8_e5m2.trace,metal-visual-highlight-chain-gpu
gpu_fmt_fp8_e5m2.trace,metal-wired-sysmem-level-interval
gpu_fmt_fp8_e5m2.trace,mps-hw-intervals
gpu_fmt_fp8_e5m2.trace,os-log
gpu_fmt_fp8_e5m2.trace,os-signpost
gpu_fmt_fp8_e5m2.trace,os-signpost-arg
gpu_fmt_fp8_e5m2.trace,potential-hangs
gpu_fmt_fp8_e5m2.trace,process-info
gpu_fmt_fp8_e5m2.trace,runloop-events
gpu_fmt_fp8_e5m2.trace,thread-info
gpu_fmt_fp8_e5m2.trace,tick
gpu_fmt_fp8_e5m2.trace,time-info
gpu_fmt_fp8_e5m2.trace,time-profile
gpu_fmt_fp8_e5m2.trace,time-sample
gpu_fmt_fp8_e5m2.trace,visual-chain
gpu_fmt_fp8_e5m2.trace,visual-connection
gpu_fmt_int8.trace,ca-client-buffer-wait-interval
gpu_fmt_int8.trace,ca-client-present-request
gpu_fmt_int8.trace,ca-client-presented-handler
gpu_fmt_int8.trace,device-display-info
gpu_fmt_int8.trace,device-gpu-info
gpu_fmt_int8.trace,device-thermal-state-intervals
gpu_fmt_int8.trace,display-compositor-events-interval
gpu_fmt_int8.trace,display-compositor-interval
gpu_fmt_int8.trace,display-events-interval
gpu_fmt_int8.trace,display-surface-queue
gpu_fmt_int8.trace,display-surface-swap
gpu_fmt_int8.trace,display-vsyncs-interval
gpu_fmt_int8.trace,displayed-surfaces-interval
gpu_fmt_int8.trace,displayed-surfaces-per-second
gpu_fmt_int8.trace,dyld-library-load
gpu_fmt_int8.trace,gpu-aps-stream
gpu_fmt_int8.trace,gpu-counter-info
gpu_fmt_int8.trace,gpu-counter-value
gpu_fmt_int8.trace,gpu-performance-device-state-intervals
gpu_fmt_int8.trace,gpu-performance-state-info
gpu_fmt_int8.trace,gpu-performance-state-intervals
gpu_fmt_int8.trace,gpu-shader-profiler-interval
gpu_fmt_int8.trace,gpu-shader-profiler-sample
gpu_fmt_int8.trace,graphics-compiler-activity-intervals
gpu_fmt_int8.trace,hang-risks
gpu_fmt_int8.trace,kdebug
gpu_fmt_int8.trace,kdebug-strings
gpu_fmt_int8.trace,life-cycle-period
gpu_fmt_int8.trace,metal-application-command-buffer-submissions
gpu_fmt_int8.trace,metal-application-encoders-list
gpu_fmt_int8.trace,metal-application-event-interval
gpu_fmt_int8.trace,metal-application-intervals
gpu_fmt_int8.trace,metal-ar-events
gpu_fmt_int8.trace,metal-command-buffer-completed
gpu_fmt_int8.trace,metal-command-buffer-error
gpu_fmt_int8.trace,metal-command-buffer-frame-assignment
gpu_fmt_int8.trace,metal-command-buffer-to-accelerator-id
gpu_fmt_int8.trace,metal-current-allocated-size
gpu_fmt_int8.trace,metal-driver-event-intervals
gpu_fmt_int8.trace,metal-driver-event-per-thread-intervals
gpu_fmt_int8.trace,metal-driver-intervals
gpu_fmt_int8.trace,metal-gpu-counter-intervals
gpu_fmt_int8.trace,metal-gpu-counter-profile
gpu_fmt_int8.trace,metal-gpu-execution-points
gpu_fmt_int8.trace,metal-gpu-info
gpu_fmt_int8.trace,metal-gpu-intervals
gpu_fmt_int8.trace,metal-gpu-state-intervals
gpu_fmt_int8.trace,metal-gpu-submission-to-command-buffer-id
gpu_fmt_int8.trace,metal-io-surface-access
gpu_fmt_int8.trace,metal-kernel-resource-allocations
gpu_fmt_int8.trace,metal-known-compositor-process
gpu_fmt_int8.trace,metal-object-dependency-chain-app
gpu_fmt_int8.trace,metal-object-dependency-chain-display
gpu_fmt_int8.trace,metal-object-dependency-chain-driver
gpu_fmt_int8.trace,metal-object-dependency-chain-gpu
gpu_fmt_int8.trace,metal-object-label
gpu_fmt_int8.trace,metal-residency-set-interval
gpu_fmt_int8.trace,metal-residency-set-resource-event
gpu_fmt_int8.trace,metal-residency-set-usage-event
gpu_fmt_int8.trace,metal-resource-allocations
gpu_fmt_int8.trace,metal-shader-profiler-intervals
gpu_fmt_int8.trace,metal-shader-profiler-shader-list
gpu_fmt_int8.trace,metal-visual-highlight-chain-app
gpu_fmt_int8.trace,metal-visual-highlight-chain-display
gpu_fmt_int8.trace,metal-visual-highlight-chain-driver
gpu_fmt_int8.trace,metal-visual-highlight-chain-gpu
gpu_fmt_int8.trace,metal-wired-sysmem-level-interval
gpu_fmt_int8.trace,mps-hw-intervals
gpu_fmt_int8.trace,os-log
gpu_fmt_int8.trace,os-signpost
gpu_fmt_int8.trace,os-signpost-arg
gpu_fmt_int8.trace,potential-hangs
gpu_fmt_int8.trace,process-info
gpu_fmt_int8.trace,runloop-events
gpu_fmt_int8.trace,thread-info
gpu_fmt_int8.trace,tick
gpu_fmt_int8.trace,time-info
gpu_fmt_int8.trace,time-profile
gpu_fmt_int8.trace,time-sample
gpu_fmt_int8.trace,visual-chain
gpu_fmt_int8.trace,visual-connection
gpu_fmt_mxfp4.trace,ca-client-buffer-wait-interval
