variant_trace,schema,baseline_density_rps,variant_density_rps,delta_density_rps
gpu_fmt_bfloat16.trace,metal-application-encoders-list,259.61461427454446,299.06656048826426,39.45194621371979
gpu_fmt_bfloat16.trace,metal-command-buffer-completed,301.19351734195203,328.3868115165255,27.193294174573452
gpu_fmt_bfloat16.trace,metal-driver-intervals,692.6436779277886,864.3610003131403,171.71732238535162
gpu_fmt_bfloat16.trace,metal-gpu-intervals,585.1470017047351,757.6352865702695,172.4882848655344
gpu_fmt_bfloat16.trace,metal-gpu-state-intervals,1133.7856982771123,1448.4204007961034,314.63470251899116
gpu_fmt_float16.trace,metal-application-encoders-list,259.61461427454446,279.2369849386551,19.622370664110633
gpu_fmt_float16.trace,metal-command-buffer-completed,301.19351734195203,294.5077575524878,-6.685759789464214
gpu_fmt_float16.trace,metal-driver-intervals,692.6436779277886,734.0878549363863,41.44417700859765
gpu_fmt_float16.trace,metal-gpu-intervals,585.1470017047351,586.8339761601424,1.6869744554072668
gpu_fmt_float16.trace,metal-gpu-state-intervals,1133.7856982771123,1135.491020785703,1.7053225085908252
gpu_fmt_fp8_e4m3.trace,metal-application-encoders-list,259.61461427454446,285.24598566416074,25.631371389616277
gpu_fmt_fp8_e4m3.trace,metal-command-buffer-completed,301.19351734195203,323.1302181351821,21.936700793230045
gpu_fmt_fp8_e4m3.trace,metal-driver-intervals,692.6436779277886,722.0289012124068,29.385223284618178
gpu_fmt_fp8_e4m3.trace,metal-gpu-intervals,585.1470017047351,505.86592770128505,-79.28107400345004
gpu_fmt_fp8_e4m3.trace,metal-gpu-state-intervals,1133.7856982771123,992.7897391670595,-140.9959591100528
gpu_fmt_fp8_e5m2.trace,metal-application-encoders-list,259.61461427454446,117.42462119092419,-142.18999308362027
gpu_fmt_fp8_e5m2.trace,metal-command-buffer-completed,301.19351734195203,176.13693178638627,-125.05658555556576
gpu_fmt_fp8_e5m2.trace,metal-driver-intervals,692.6436779277886,552.7213614650924,-139.92231646269624
gpu_fmt_fp8_e5m2.trace,metal-gpu-intervals,585.1470017047351,616.937951178879,31.790949474143872
gpu_fmt_fp8_e5m2.trace,metal-gpu-state-intervals,1133.7856982771123,1177.9157313214582,44.130033044345964
gpu_fmt_int8.trace,metal-application-encoders-list,259.61461427454446,311.03027563843216,51.41566136388769
gpu_fmt_int8.trace,metal-command-buffer-completed,301.19351734195203,351.1240221074488,49.93050476549678
gpu_fmt_int8.trace,metal-driver-intervals,692.6436779277886,855.3332580056884,162.6895800778998
gpu_fmt_int8.trace,metal-gpu-intervals,585.1470017047351,692.5283481011966,107.38134639646148
gpu_fmt_int8.trace,metal-gpu-state-intervals,1133.7856982771123,1370.4771520318418,236.69145375472954
gpu_fmt_mxfp4.trace,metal-application-encoders-list,259.61461427454446,275.13332143954915,15.518707165004685
gpu_fmt_mxfp4.trace,metal-command-buffer-completed,301.19351734195203,300.9270703245069,-0.2664470174451594
