baseline_variant,variant,counter,baseline_avg_pct,variant_avg_pct,avg_delta_pct,avg_ratio,baseline_p99_pct,variant_p99_pct,p99_delta_pct,baseline_peak_pct,variant_peak_pct,peak_delta_pct
float32,bfloat16,ALU Utilization,0.496,0.626,0.130,1.262,15.229,19.389,4.160,81.699,81.696,-0.003
float32,bfloat16,Compute Occupancy,0.027,0.028,0.001,1.037,0.043,0.049,0.006,5.453,5.467,0.014
float32,bfloat16,F16 Utilization,0.135,0.163,0.028,1.207,3.216,5.486,2.270,25.757,25.719,-0.038
float32,bfloat16,F32 Utilization,0.093,0.114,0.021,1.226,3.027,4.434,1.407,25.093,23.938,-1.155
float32,bfloat16,Fragment Occupancy,0.845,1.065,0.220,1.260,35.375,48.630,13.255,100.000,100.000,0.000
float32,bfloat16,GPU Read Bandwidth,0.232,0.303,0.071,1.306,5.908,11.647,5.739,39.195,38.903,-0.292
float32,bfloat16,GPU Write Bandwidth,0.184,0.232,0.048,1.261,3.927,5.384,1.457,66.851,37.545,-29.306
float32,bfloat16,LLC Utilization,0.299,0.363,0.064,1.214,7.285,11.028,3.743,33.594,38.512,4.918
float32,bfloat16,Top Performance Limiter,0.898,1.075,0.177,1.197,31.994,40.291,8.297,100.000,100.000,0.000
float32,bfloat16,Total Occupancy,0.989,1.275,0.286,1.289,41.973,56.159,14.186,166.221,100.037,-66.184
float32,float16,ALU Utilization,0.496,0.543,0.047,1.095,15.229,16.963,1.734,81.699,81.625,-0.074
float32,float16,Compute Occupancy,0.027,0.027,0.000,1.000,0.043,0.178,0.135,5.453,6.341,0.888
float32,float16,F16 Utilization,0.135,0.148,0.013,1.096,3.216,3.887,0.671,25.757,25.688,-0.069
float32,float16,F32 Utilization,0.093,0.103,0.010,1.108,3.027,3.687,0.660,25.093,23.631,-1.462
float32,float16,Fragment Occupancy,0.845,0.980,0.135,1.160,35.375,43.131,7.756,100.000,100.000,0.000
float32,float16,GPU Read Bandwidth,0.232,0.270,0.038,1.164,5.908,8.737,2.829,39.195,40.606,1.411
float32,float16,GPU Write Bandwidth,0.184,0.204,0.020,1.109,3.927,4.972,1.045,66.851,32.851,-34.000
float32,float16,LLC Utilization,0.299,0.329,0.030,1.100,7.285,9.327,2.042,33.594,34.965,1.371
float32,float16,Top Performance Limiter,0.898,1.006,0.108,1.120,31.994,36.771,4.777,100.000,100.000,0.000
float32,float16,Total Occupancy,0.989,1.186,0.197,1.199,41.973,51.072,9.099,166.221,100.031,-66.190
float32,fp8_e4m3,ALU Utilization,0.496,0.902,0.406,1.819,15.229,19.136,3.907,81.699,81.728,0.029
float32,fp8_e4m3,Compute Occupancy,0.027,0.117,0.090,4.333,0.043,0.288,0.245,5.453,60.281,54.828
float32,fp8_e4m3,F16 Utilization,0.135,0.161,0.026,1.193,3.216,4.931,1.715,25.757,25.783,0.026
float32,fp8_e4m3,F32 Utilization,0.093,0.164,0.071,1.763,3.027,4.043,1.016,25.093,23.882,-1.211
float32,fp8_e4m3,Fragment Occupancy,0.845,1.059,0.214,1.253,35.375,49.305,13.930,100.000,100.000,0.000
float32,fp8_e4m3,GPU Read Bandwidth,0.232,0.304,0.072,1.310,5.908,10.679,4.771,39.195,40.309,1.114
float32,fp8_e4m3,GPU Write Bandwidth,0.184,0.220,0.036,1.196,3.927,5.144,1.217,66.851,66.923,0.072
float32,fp8_e4m3,LLC Utilization,0.299,0.380,0.081,1.271,7.285,11.132,3.847,33.594,40.538,6.944
float32,fp8_e4m3,Top Performance Limiter,0.898,1.337,0.439,1.489,31.994,43.230,11.236,100.000,100.000,0.000
float32,fp8_e4m3,Total Occupancy,0.989,1.477,0.488,1.493,41.973,60.541,18.568,166.221,163.367,-2.854
float32,fp8_e5m2,ALU Utilization,0.496,0.850,0.354,1.714,15.229,17.047,1.818,81.699,81.798,0.099
float32,fp8_e5m2,Compute Occupancy,0.027,0.111,0.084,4.111,0.043,0.295,0.252,5.453,5.381,-0.072
float32,fp8_e5m2,F16 Utilization,0.135,0.148,0.013,1.096,3.216,3.575,0.359,25.757,25.761,0.004
float32,fp8_e5m2,F32 Utilization,0.093,0.158,0.065,1.699,3.027,3.617,0.590,25.093,23.580,-1.513
float32,fp8_e5m2,Fragment Occupancy,0.845,0.961,0.116,1.137,35.375,42.303,6.928,100.000,100.000,0.000
float32,fp8_e5m2,GPU Read Bandwidth,0.232,0.270,0.038,1.164,5.908,7.442,1.534,39.195,39.839,0.644
float32,fp8_e5m2,GPU Write Bandwidth,0.184,0.196,0.012,1.065,3.927,4.462,0.535,66.851,66.798,-0.053
float32,fp8_e5m2,LLC Utilization,0.299,0.350,0.051,1.171,7.285,8.254,0.969,33.594,37.787,4.193
float32,fp8_e5m2,Top Performance Limiter,0.898,1.250,0.352,1.392,31.994,36.400,4.406,100.000,100.000,0.000
float32,fp8_e5m2,Total Occupancy,0.989,1.317,0.328,1.332,41.973,53.260,11.287,166.221,100.058,-66.163
float32,int8,ALU Utilization,0.496,0.482,-0.014,0.972,15.229,14.079,-1.150,81.699,81.711,0.012
float32,int8,Compute Occupancy,0.027,0.024,-0.003,0.889,0.043,0.042,-0.001,5.453,5.457,0.004
float32,int8,F16 Utilization,0.135,0.133,-0.002,0.985,3.216,2.902,-0.314,25.757,25.829,0.072
float32,int8,F32 Utilization,0.093,0.085,-0.008,0.914,3.027,2.662,-0.365,25.093,23.795,-1.298
float32,int8,Fragment Occupancy,0.845,0.812,-0.033,0.961,35.375,33.336,-2.039,100.000,100.000,0.000
float32,int8,GPU Read Bandwidth,0.232,0.224,-0.008,0.966,5.908,5.818,-0.090,39.195,35.378,-3.817
float32,int8,GPU Write Bandwidth,0.184,0.174,-0.010,0.946,3.927,3.811,-0.116,66.851,30.215,-36.636
float32,int8,LLC Utilization,0.299,0.291,-0.008,0.973,7.285,6.565,-0.720,33.594,33.339,-0.255
float32,int8,Top Performance Limiter,0.898,0.867,-0.031,0.965,31.994,30.573,-1.421,100.000,100.000,0.000
float32,int8,Total Occupancy,0.989,0.941,-0.048,0.951,41.973,39.727,-2.246,166.221,157.612,-8.609
float32,mxfp4,ALU Utilization,0.496,0.813,0.317,1.639,15.229,19.849,4.620,81.699,81.653,-0.046
float32,mxfp4,Compute Occupancy,0.027,0.156,0.129,5.778,0.043,0.381,0.338,5.453,5.613,0.160
float32,mxfp4,F16 Utilization,0.135,0.181,0.046,1.341,3.216,5.829,2.613,25.757,25.731,-0.026
float32,mxfp4,F32 Utilization,0.093,0.127,0.034,1.366,3.027,4.686,1.659,25.093,25.870,0.777
float32,mxfp4,Fragment Occupancy,0.845,1.207,0.362,1.428,35.375,54.800,19.425,100.000,100.000,0.000
float32,mxfp4,GPU Read Bandwidth,0.232,0.329,0.097,1.418,5.908,14.045,8.137,39.195,38.728,-0.467
float32,mxfp4,GPU Write Bandwidth,0.184,0.239,0.055,1.299,3.927,5.694,1.767,66.851,33.265,-33.586
float32,mxfp4,LLC Utilization,0.299,0.391,0.092,1.308,7.285,12.717,5.432,33.594,34.526,0.932
float32,mxfp4,Top Performance Limiter,0.898,1.298,0.400,1.445,31.994,45.610,13.616,100.000,100.000,0.000
float32,mxfp4,Total Occupancy,0.989,1.894,0.905,1.915,41.973,69.214,27.241,166.221,100.032,-66.189
float32,mxfp6,ALU Utilization,0.496,1.216,0.720,2.452,15.229,31.275,16.046,81.699,81.228,-0.471
float32,mxfp6,Compute Occupancy,0.027,0.164,0.137,6.074,0.043,0.370,0.327,5.453,99.043,93.590
float32,mxfp6,F16 Utilization,0.135,0.245,0.110,1.815,3.216,8.709,5.493,25.757,25.666,-0.091
float32,mxfp6,F32 Utilization,0.093,0.187,0.094,2.011,3.027,5.044,2.017,25.093,39.503,14.410
float32,mxfp6,Fragment Occupancy,0.845,1.793,0.948,2.122,35.375,54.370,18.995,100.000,100.000,0.000
float32,mxfp6,GPU Read Bandwidth,0.232,0.411,0.179,1.772,5.908,11.512,5.604,39.195,48.648,9.453
float32,mxfp6,GPU Write Bandwidth,0.184,0.291,0.107,1.582,3.927,5.844,1.917,66.851,62.395,-4.456
float32,mxfp6,LLC Utilization,0.299,0.493,0.194,1.649,7.285,10.649,3.364,33.594,36.528,2.934
float32,mxfp6,Top Performance Limiter,0.898,1.875,0.977,2.088,31.994,50.524,18.530,100.000,100.000,0.000
float32,mxfp6,Total Occupancy,0.989,2.615,1.626,2.644,41.973,59.726,17.753,166.221,120.636,-45.585
float32,mxfp8,ALU Utilization,0.496,0.823,0.327,1.659,15.229,18.217,2.988,81.699,83.193,1.494
float32,mxfp8,Compute Occupancy,0.027,0.170,0.143,6.296,0.043,0.377,0.334,5.453,87.629,82.176
float32,mxfp8,F16 Utilization,0.135,0.164,0.029,1.215,3.216,4.585,1.369,25.757,25.864,0.107
float32,mxfp8,F32 Utilization,0.093,0.130,0.037,1.398,3.027,3.958,0.931,25.093,25.980,0.887
float32,mxfp8,Fragment Occupancy,0.845,1.119,0.274,1.324,35.375,51.839,16.464,100.000,100.000,0.000
float32,mxfp8,GPU Read Bandwidth,0.232,0.319,0.087,1.375,5.908,10.928,5.020,39.195,41.202,2.007
float32,mxfp8,GPU Write Bandwidth,0.184,0.212,0.028,1.152,3.927,4.959,1.032,66.851,64.678,-2.173
float32,mxfp8,LLC Utilization,0.299,0.378,0.079,1.264,7.285,10.423,3.138,33.594,38.018,4.424
float32,mxfp8,Top Performance Limiter,0.898,1.300,0.402,1.448,31.994,47.108,15.114,100.000,100.000,0.000
float32,mxfp8,Total Occupancy,0.989,1.697,0.708,1.716,41.973,79.254,37.281,166.221,100.061,-66.160
float32,mxint8,ALU Utilization,0.496,0.186,-0.310,0.375,15.229,0.233,-14.996,81.699,15.593,-66.106
float32,mxint8,Compute Occupancy,0.027,0.138,0.111,5.111,0.043,0.334,0.291,5.453,0.659,-4.794
float32,mxint8,F16 Utilization,0.135,0.003,-0.132,0.022,3.216,0.000,-3.216,25.757,2.803,-22.954
float32,mxint8,F32 Utilization,0.093,0.020,-0.073,0.215,3.027,0.018,-3.009,25.093,5.698,-19.395
float32,mxint8,Fragment Occupancy,0.845,0.069,-0.776,0.082,35.375,0.000,-35.375,100.000,91.583,-8.417
float32,mxint8,GPU Read Bandwidth,0.232,0.047,-0.185,0.203,5.908,0.022,-5.886,39.195,26.586,-12.609
float32,mxint8,GPU Write Bandwidth,0.184,0.071,-0.113,0.386,3.927,0.049,-3.878,66.851,26.263,-40.588
float32,mxint8,LLC Utilization,0.299,0.122,-0.177,0.408,7.285,0.121,-7.164,33.594,26.886,-6.708
float32,mxint8,Top Performance Limiter,0.898,0.222,-0.676,0.247,31.994,0.235,-31.759,100.000,70.031,-29.969
float32,mxint8,Total Occupancy,0.989,0.273,-0.716,0.276,41.973,0.346,-41.627,166.221,91.583,-74.638
float32,tf32,ALU Utilization,0.496,0.581,0.085,1.171,15.229,17.834,2.605,81.699,81.758,0.059
float32,tf32,Compute Occupancy,0.027,0.025,-0.002,0.926,0.043,0.039,-0.004,5.453,6.883,1.430
float32,tf32,F16 Utilization,0.135,0.157,0.022,1.163,3.216,4.739,1.523,25.757,25.720,-0.037
float32,tf32,F32 Utilization,0.093,0.111,0.018,1.194,3.027,4.059,1.032,25.093,24.174,-0.919
float32,tf32,Fragment Occupancy,0.845,1.009,0.164,1.194,35.375,45.365,9.990,100.000,100.000,0.000
float32,tf32,GPU Read Bandwidth,0.232,0.270,0.038,1.164,5.908,8.433,2.525,39.195,38.008,-1.187
float32,tf32,GPU Write Bandwidth,0.184,0.212,0.028,1.152,3.927,5.111,1.184,66.851,66.686,-0.165
float32,tf32,LLC Utilization,0.299,0.339,0.040,1.134,7.285,9.309,2.024,33.594,33.951,0.357
float32,tf32,Top Performance Limiter,0.898,1.045,0.147,1.164,31.994,36.632,4.638,100.000,100.000,0.000
float32,tf32,Total Occupancy,0.989,1.188,0.199,1.201,41.973,51.534,9.561,166.221,100.062,-66.159
float32,uint8,ALU Utilization,0.496,0.568,0.072,1.145,15.229,18.122,2.893,81.699,81.856,0.157
float32,uint8,Compute Occupancy,0.027,0.024,-0.003,0.889,0.043,0.170,0.127,5.453,5.626,0.173
float32,uint8,F16 Utilization,0.135,0.160,0.025,1.185,3.216,4.892,1.676,25.757,25.862,0.105
float32,uint8,F32 Utilization,0.093,0.102,0.009,1.097,3.027,3.909,0.882,25.093,23.729,-1.364
float32,uint8,Fragment Occupancy,0.845,1.042,0.197,1.233,35.375,48.124,12.749,100.000,100.000,0.000
float32,uint8,GPU Read Bandwidth,0.232,0.281,0.049,1.211,5.908,8.846,2.938,39.195,38.322,-0.873
float32,uint8,GPU Write Bandwidth,0.184,0.209,0.025,1.136,3.927,4.973,1.046,66.851,64.404,-2.447
float32,uint8,LLC Utilization,0.299,0.337,0.038,1.127,7.285,9.409,2.124,33.594,36.115,2.521
float32,uint8,Top Performance Limiter,0.898,1.075,0.177,1.197,31.994,39.723,7.729,100.000,100.000,0.000
float32,uint8,Total Occupancy,0.989,1.257,0.268,1.271,41.973,55.013,13.040,166.221,177.419,11.198
