counter,variant,n_samples,min_pct,p50_pct,p90_pct,p99_pct,max_pct,avg_pct
ALU Limiter,bfloat16,78845,0.000,0.060,0.062,21.741,92.908,0.700
ALU Utilization,bfloat16,78845,0.000,0.059,0.061,19.389,81.696,0.626
Buffer Load Utilization,bfloat16,78845,0.000,0.004,0.004,0.158,2.406,0.008
Buffer Read Limiter,bfloat16,78845,0.000,0.004,0.004,0.158,2.409,0.008
Buffer Store Utilization,bfloat16,78845,0.000,0.018,0.018,0.037,0.415,0.016
Buffer Write Limiter,bfloat16,78845,0.000,0.018,0.018,0.037,0.416,0.016
Compute Occupancy,bfloat16,78845,0.000,0.022,0.030,0.049,5.467,0.028
F16 Utilization,bfloat16,78845,0.000,0.000,0.000,5.486,25.719,0.163
F32 Utilization,bfloat16,78845,0.000,0.007,0.008,4.434,23.938,0.114
Fragment Interp Limiter,bfloat16,78845,0.000,0.000,0.000,4.855,26.933,0.151
Fragment Interp Utilization,bfloat16,78845,0.000,0.000,0.000,2.389,18.692,0.092
Fragment Occupancy,bfloat16,78845,0.000,0.000,0.000,48.630,100.000,1.065
GPU Read Bandwidth,bfloat16,78845,0.000,0.021,0.021,11.647,38.903,0.303
GPU Write Bandwidth,bfloat16,78845,0.000,0.049,0.049,5.384,37.545,0.232
LLC Limiter,bfloat16,78845,0.000,0.099,0.100,12.319,53.632,0.422
LLC Utilization,bfloat16,78845,0.000,0.099,0.100,11.028,38.512,0.363
MMU Limiter,bfloat16,78845,0.000,0.034,0.035,9.955,45.054,0.282
MMU Utilization,bfloat16,78845,0.000,0.034,0.035,9.001,37.364,0.266
Partial Renders,bfloat16,78845,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,bfloat16,78845,0.000,0.000,0.000,2.165,10.203,0.064
TG/IB Load Utilization,bfloat16,78845,0.000,0.000,0.000,1.641,9.439,0.055
TG/IB Store Limiter,bfloat16,78845,0.000,0.000,0.000,2.165,10.203,0.064
TG/IB Store Utilization,bfloat16,78845,0.000,0.000,0.000,6.764,18.159,0.156
Texture Cache Limiter,bfloat16,78845,0.000,0.000,0.000,10.007,96.969,0.315
Texture Filtering Limiter,bfloat16,78845,0.000,0.000,0.000,15.200,50.015,0.370
Texture Sample Limiter,bfloat16,78845,0.000,0.000,0.000,17.850,99.486,0.504
Texture Sample Utilization,bfloat16,78845,0.000,0.000,0.000,14.945,50.001,0.365
Texture Write Limiter,bfloat16,78845,0.000,0.006,0.006,25.285,100.000,0.617
Texture Write Utilization,bfloat16,78845,0.000,0.006,0.006,21.736,100.000,0.581
Top Performance Limiter,bfloat16,78842,0.000,0.099,0.100,40.291,100.000,1.075
Total Occupancy,bfloat16,67695,0.000,0.022,0.031,56.159,100.037,1.275
Vertex Occupancy,bfloat16,78845,0.000,0.000,0.000,0.026,0.705,0.001
ALU Limiter,float16,78644,0.000,0.025,0.027,18.422,92.949,0.610
ALU Utilization,float16,78644,0.000,0.025,0.026,16.963,81.625,0.543
Buffer Load Utilization,float16,78644,0.000,0.003,0.003,0.118,1.289,0.006
Buffer Read Limiter,float16,78644,0.000,0.003,0.003,0.118,1.290,0.006
Buffer Store Utilization,float16,78644,0.000,0.018,0.018,0.018,0.396,0.015
Buffer Write Limiter,float16,78644,0.000,0.018,0.018,0.018,0.399,0.015
Compute Occupancy,float16,78644,0.000,0.022,0.028,0.178,6.341,0.027
F16 Utilization,float16,78644,0.000,0.000,0.000,3.887,25.688,0.148
F32 Utilization,float16,78644,0.000,0.007,0.008,3.687,23.631,0.103
Fragment Interp Limiter,float16,78644,0.000,0.000,0.000,3.772,26.693,0.133
Fragment Interp Utilization,float16,78644,0.000,0.000,0.000,2.059,18.662,0.082
Fragment Occupancy,float16,78644,0.000,0.000,0.000,43.131,100.000,0.980
GPU Read Bandwidth,float16,78644,0.000,0.020,0.020,8.737,40.606,0.270
GPU Write Bandwidth,float16,78644,0.000,0.049,0.049,4.972,32.851,0.204
LLC Limiter,float16,78644,0.000,0.098,0.098,10.440,53.961,0.382
LLC Utilization,float16,78644,0.000,0.098,0.098,9.327,34.965,0.329
MMU Limiter,float16,78644,0.000,0.034,0.034,8.039,42.696,0.252
MMU Utilization,float16,78644,0.000,0.034,0.034,7.407,33.673,0.236
Partial Renders,float16,78644,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,float16,78644,0.000,0.000,0.000,1.752,10.298,0.056
