variant_trace,schema,baseline_rows,variant_rows,delta_rows,delta_pct
gpu_fmt_bfloat16.trace,metal-application-encoders-list,256,255,-1,-0.39%
gpu_fmt_bfloat16.trace,metal-command-buffer-completed,297,280,-17,-5.72%
gpu_fmt_bfloat16.trace,metal-driver-intervals,683,737,54,7.91%
gpu_fmt_bfloat16.trace,metal-gpu-intervals,577,646,69,11.96%
gpu_fmt_bfloat16.trace,metal-gpu-state-intervals,1118,1235,117,10.47%
gpu_fmt_float16.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_float16.trace,metal-command-buffer-completed,297,270,-27,-9.09%
gpu_fmt_float16.trace,metal-driver-intervals,683,673,-10,-1.46%
gpu_fmt_float16.trace,metal-gpu-intervals,577,538,-39,-6.76%
gpu_fmt_float16.trace,metal-gpu-state-intervals,1118,1041,-77,-6.89%
gpu_fmt_fp8_e4m3.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_fp8_e4m3.trace,metal-command-buffer-completed,297,290,-7,-2.36%
gpu_fmt_fp8_e4m3.trace,metal-driver-intervals,683,648,-35,-5.12%
gpu_fmt_fp8_e4m3.trace,metal-gpu-intervals,577,454,-123,-21.32%
gpu_fmt_fp8_e4m3.trace,metal-gpu-state-intervals,1118,891,-227,-20.30%
gpu_fmt_fp8_e5m2.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_fp8_e5m2.trace,metal-command-buffer-completed,297,384,87,29.29%
gpu_fmt_fp8_e5m2.trace,metal-driver-intervals,683,1205,522,76.43%
gpu_fmt_fp8_e5m2.trace,metal-gpu-intervals,577,1345,768,133.10%
gpu_fmt_fp8_e5m2.trace,metal-gpu-state-intervals,1118,2568,1450,129.70%
gpu_fmt_int8.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_int8.trace,metal-command-buffer-completed,297,289,-8,-2.69%
gpu_fmt_int8.trace,metal-driver-intervals,683,704,21,3.07%
gpu_fmt_int8.trace,metal-gpu-intervals,577,570,-7,-1.21%
gpu_fmt_int8.trace,metal-gpu-state-intervals,1118,1128,10,0.89%
gpu_fmt_mxfp4.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_mxfp4.trace,metal-command-buffer-completed,297,280,-17,-5.72%
gpu_fmt_mxfp4.trace,metal-driver-intervals,683,641,-42,-6.15%
gpu_fmt_mxfp4.trace,metal-gpu-intervals,577,489,-88,-15.25%
gpu_fmt_mxfp4.trace,metal-gpu-state-intervals,1118,955,-163,-14.58%
gpu_fmt_mxfp6.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_mxfp6.trace,metal-command-buffer-completed,297,360,63,21.21%
gpu_fmt_mxfp6.trace,metal-driver-intervals,683,1038,355,51.98%
gpu_fmt_mxfp6.trace,metal-gpu-intervals,577,1084,507,87.87%
gpu_fmt_mxfp6.trace,metal-gpu-state-intervals,1118,1977,859,76.83%
gpu_fmt_mxfp8.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_mxfp8.trace,metal-command-buffer-completed,297,354,57,19.19%
gpu_fmt_mxfp8.trace,metal-driver-intervals,683,1233,550,80.53%
gpu_fmt_mxfp8.trace,metal-gpu-intervals,577,1466,889,154.07%
gpu_fmt_mxfp8.trace,metal-gpu-state-intervals,1118,2847,1729,154.65%
gpu_fmt_mxint8.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_mxint8.trace,metal-command-buffer-completed,297,354,57,19.19%
gpu_fmt_mxint8.trace,metal-driver-intervals,683,1105,422,61.79%
gpu_fmt_mxint8.trace,metal-gpu-intervals,577,1213,636,110.23%
gpu_fmt_mxint8.trace,metal-gpu-state-intervals,1118,2328,1210,108.23%
gpu_fmt_tf32.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_tf32.trace,metal-command-buffer-completed,297,350,53,17.85%
gpu_fmt_tf32.trace,metal-driver-intervals,683,1297,614,89.90%
gpu_fmt_tf32.trace,metal-gpu-intervals,577,1592,1015,175.91%
gpu_fmt_tf32.trace,metal-gpu-state-intervals,1118,3071,1953,174.69%
gpu_fmt_uint8.trace,metal-application-encoders-list,256,256,0,0.00%
gpu_fmt_uint8.trace,metal-command-buffer-completed,297,326,29,9.76%
gpu_fmt_uint8.trace,metal-driver-intervals,683,661,-22,-3.22%
gpu_fmt_uint8.trace,metal-gpu-intervals,577,408,-169,-29.29%
gpu_fmt_uint8.trace,metal-gpu-state-intervals,1118,809,-309,-27.64%
