probe=avx512_bandwidth
cpu=0

working_set_KB,zmm_load_B_per_cyc,ymm_load_B_per_cyc,zmm_store_B_per_cyc
16,43.28,3276800.00,62.93
32,43.68,3276800.00,65.60
256,43.06,52428800.00,62.70
512,42.46,104857600.00,62.39
1024,42.03,104857600.00,51.44
4096,41.69,209715200.00,53.07
16384,40.77,838860800.00,45.15
32768,34.60,418759311.36,28.64
65536,22.91,837518622.72,14.25
