probe,iters,unroll,elapsed_ns,ns_per_op,approx_gops
add_dep_u64,5000,32,73208,0.457550,2.185553
fadd_dep_f64,5000,32,235083,1.469269,0.680611
fmadd_dep_f64,5000,32,294375,1.839844,0.543524
load_store_chain_u64,5000,96,329458,0.686371,1.456938
shuffle_lane_cross_u64,5000,32,296625,1.853906,0.539402
atomic_add_relaxed_u64,5000,32,488875,3.055469,0.327282
transcendental_sin_cos_f64,5000,8,1100208,27.505200,0.036357
