instruction,value,unit,benchmark,flags
YIELD(nanosleep0),2662.57,cy,microbench_latency_wave5,O3_prec_nofmad_restrict
__launch_bounds__(128_ 1)            60,2560000.0,cy,microbench_occupancy_scaling,O3_prec_nofmad_restrict
__launch_bounds__(128_ 4)           240,1137777.7,cy,microbench_occupancy_scaling,O3_prec_nofmad_restrict
__launch_bounds__(128_ 8)           480,417959.2,cy,microbench_occupancy_scaling,O3_prec_nofmad_restrict
Full grid (oversubscribed)        16384,21030.7,cy,microbench_occupancy_scaling,O3_prec_nofmad_restrict
INT64 ADD,2.54,cy,microbench_remaining_latencies,O3_prec_nofmad_restrict
INT64 MUL,17.53,cy,microbench_remaining_latencies,O3_prec_nofmad_restrict
FABS+FNEG (pair),0.00,cy,microbench_remaining_latencies,O3_prec_nofmad_restrict
FADD.SAT,4.50,cy,microbench_remaining_latencies,O3_prec_nofmad_restrict
LDGSTS (async copy/iter),363.78,cy,microbench_remaining_latencies,O3_prec_nofmad_restrict
Stride 1 (conflict-free),53.00,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
Stride 2 (2-way),55.00,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
Stride 4 (4-way),59.00,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
Stride 8 (8-way),67.00,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
Stride 16 (16-way),83.00,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
Stride 32 (32-way),115.00,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
Broadcast (all same),27.01,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
XOR 1 (neighbor swap),27.01,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
XOR 16 (half-warp swap),27.01,cy,microbench_smem_bank_conflicts,O3_prec_nofmad_restrict
FADD,187.4,cy,microbench_throughput,O3_prec_nofmad_restrict
FFMA,85.6,cy,microbench_throughput,O3_prec_nofmad_restrict
MUFU (RCP),10.1,cy,microbench_throughput,O3_prec_nofmad_restrict
IADD3,205.3,cy,microbench_throughput,O3_prec_nofmad_restrict
LOP3,209.1,cy,microbench_throughput,O3_prec_nofmad_restrict
FP32+INT32 concurrent,208.1,cy,microbench_throughput,O3_prec_nofmad_restrict
HADD2 (2xFP16),265.6,cy,microbench_throughput_expanded,O3_prec_nofmad_restrict
IDP.4A (4xINT8),210.0,cy,microbench_throughput_expanded,O3_prec_nofmad_restrict
HFMA2.BF16,283.7,cy,microbench_throughput_expanded,O3_prec_nofmad_restrict
DADD,1.7,cy,microbench_throughput_expanded,O3_prec_nofmad_restrict
DFMA,1.7,cy,microbench_throughput_expanded,O3_prec_nofmad_restrict
