backend,format,workload,status,support_tier,median_ms,p90_ms,warmup_runs,measured_runs,checksum,notes
pytorch_cpu,float16,gemm_256,measured,native,6.202416989253834,6.202416989253834,1,1,-9.40625,device=cpu
pytorch_cpu,float32,gemm_256,measured,native,0.036999990697950125,0.036999990697950125,1,1,34.54998779296875,device=cpu
pytorch_cpu,float64,gemm_256,measured,native,0.12041701120324433,0.12041701120324433,1,1,-17.129300903712114,device=cpu
pytorch_cpu,bfloat16,gemm_256,measured,native_or_proxy,6.020540997269563,6.020540997269563,1,1,-15.625,device=cpu
pytorch_cpu,int8,gemm_256,measured,native_or_proxy,0.6894160032970831,0.6894160032970831,1,1,90.0,device=cpu
pytorch_cpu,uint8,gemm_256,measured,native_or_proxy,0.6651250005234033,0.6651250005234033,1,1,24.0,device=cpu
pytorch_mps,float16,gemm_256,measured,native,0.5305410013534129,0.5305410013534129,1,1,30.4375,device=mps
pytorch_mps,float32,gemm_256,measured,native,0.4604999994626269,0.4604999994626269,1,1,-28.949499130249023,device=mps
pytorch_mps,bfloat16,gemm_256,measured,native_or_proxy,0.5638750008074567,0.5638750008074567,1,1,-14.0625,device=mps
pytorch_mps,int8,gemm_256,measured,native_or_proxy,0.7908749976195395,0.7908749976195395,1,1,-71.0,device=mps
pytorch_mps,uint8,gemm_256,measured,native_or_proxy,0.7650830084457994,0.7650830084457994,1,1,185.0,device=mps
mlx_gpu,float16,gemm_256,measured,native,0.34820901055354625,0.34820901055354625,1,1,33.625,"default_device=Device(gpu, 0)"
mlx_gpu,float32,gemm_256,measured,native,0.3222499944968149,0.3222499944968149,1,1,-24.69001579284668,"default_device=Device(gpu, 0)"
