probe_id,relative_path,lane,api,stage_or_mode,source_format,family,migration_source,runner_hint,status
probes__r600__clause_switch_alu_tex_frag,probes/r600/clause_switch_alu_tex.frag,legacy_glsl,OpenGL,fragment,GLSL,clause_switch,sass_re_local,shader_runner_or_gl_harness,seeded
probes__r600__latency_fp64_frag,probes/r600/latency_fp64.frag,legacy_glsl,OpenGL,fragment,GLSL,latency,sass_re_local,shader_runner_or_gl_harness,seeded
probes__r600__latency_kcache_frag,probes/r600/latency_kcache.frag,legacy_glsl,OpenGL,fragment,GLSL,latency,sass_re_local,shader_runner_or_gl_harness,seeded
probes__r600__latency_tex_l1_hit_frag,probes/r600/latency_tex_l1_hit.frag,legacy_glsl,OpenGL,fragment,GLSL,latency,sass_re_local,shader_runner_or_gl_harness,seeded
probes__r600__latency_tex_stride_frag,probes/r600/latency_tex_stride.frag,legacy_glsl,OpenGL,fragment,GLSL,latency,sass_re_local,shader_runner_or_gl_harness,seeded
probes__r600__legacy_glsl__alu_dot_product_frag,probes/r600/legacy_glsl/alu_dot_product.frag,legacy_glsl,OpenGL,fragment,GLSL,alu,x130e_re_toolkit,shader_runner_or_gl_harness,imported
probes__r600__legacy_glsl__alu_heavy_frag,probes/r600/legacy_glsl/alu_heavy.frag,legacy_glsl,OpenGL,fragment,GLSL,alu,x130e_re_toolkit,shader_runner_or_gl_harness,imported
probes__r600__legacy_glsl__alu_mad_chain_frag,probes/r600/legacy_glsl/alu_mad_chain.frag,legacy_glsl,OpenGL,fragment,GLSL,alu,x130e_re_toolkit,shader_runner_or_gl_harness,imported
probes__r600__legacy_glsl__alu_mul_chain_frag,probes/r600/legacy_glsl/alu_mul_chain.frag,legacy_glsl,OpenGL,fragment,GLSL,alu,x130e_re_toolkit,shader_runner_or_gl_harness,imported
probes__r600__legacy_glsl__alu_normalize_frag,probes/r600/legacy_glsl/alu_normalize.frag,legacy_glsl,OpenGL,fragment,GLSL,alu,x130e_re_toolkit,shader_runner_or_gl_harness,imported
probes__r600__legacy_glsl__alu_sin_cos_frag,probes/r600/legacy_glsl/alu_sin_cos.frag,legacy_glsl,OpenGL,fragment,GLSL,alu,x130e_re_toolkit,shader_runner_or_gl_harness,imported
