node_id,prune
0,0
10,1
589,1
590,1
592,1
593,1
595,1
596,1
597,1
610,1
618,1
619,1
620,1
621,1
628,1
630,1
636,1
639,1
640,1
641,1
642,1
648,1
653,1
662,1
663,1
664,1
665,1
669,1
672,1
681,1
682,1
685,1
689,1
698,1
699,1
700,1
704,1
707,1
710,1
711,1
713,1
715,1
893,1
895,1
896,1
897,1
900,1
902,1
908,1
909,1
910,1
911,1
916,1
919,1
921,1
923,1
925,1
928,1
929,1
932,1
933,1
935,1
937,1
938,1
940,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
965,1
966,1
968,1
969,1
971,1
978,1
982,1
983,1
984,1
986,1
997,1
998,1
1000,1
1001,1
1003,1
1004,1
1009,1
