depth,start,count,visits,useful
0,0,0,360000,185706
1,0,0,360000,181965
2,0,0,360000,180679
3,0,0,360000,180117
4,0,0,360000,180000
5,0,0,360000,180000
6,0,0,360000,180000
7,0,0,360000,180000
8,0,0,360000,180000
9,0,2,360000,180000
9,2,2,413,0
8,4,0,358143,0
9,4,2,0,0
9,6,2,0,0
7,8,0,358174,0
8,8,0,0,0
9,8,2,0,0
9,10,2,0,0
8,12,0,0,0
9,12,2,0,0
9,14,0,0,0
10,14,1,0,0
10,15,2,0,0
6,17,0,358258,0
7,17,0,0,0
8,17,0,0,0
9,17,2,0,0
9,19,2,0,0
8,21,0,0,0
9,21,2,0,0
9,23,2,0,0
7,25,0,0,0
8,25,0,0,0
9,25,2,0,0
9,27,2,0,0
8,29,0,0,0
9,29,2,0,0
9,31,0,0,0
10,31,1,0,0
10,32,2,0,0
5,34,0,358266,0
6,34,0,180000,0
7,34,0,64,0
8,34,0,0,0
9,34,2,0,0
9,36,2,0,0
8,38,0,64,0
9,38,2,64,0
9,40,2,0,0
7,42,0,0,0
8,42,0,0,0
9,42,2,0,0
9,44,2,0,0
8,46,0,0,0
9,46,2,0,0
9,48,0,0,0
10,48,1,0,0
10,49,2,0,0
6,51,0,0,0
7,51,0,0,0
8,51,0,0,0
9,51,2,0,0
9,53,2,0,0
8,55,0,0,0
9,55,2,0,0
9,57,2,0,0
7,59,0,0,0
8,59,0,0,0
9,59,2,0,0
9,61,2,0,0
8,63,0,0,0
9,63,2,0,0
9,65,0,0,0
10,65,1,0,0
10,66,2,0,0
4,68,0,358256,117
5,68,0,180000,117
6,68,0,8751,117
7,68,0,825,0
8,68,0,25,0
9,68,2,0,0
9,70,2,25,0
8,72,0,39,0
9,72,2,0,0
9,74,2,0,0
7,76,0,5589,117
8,76,0,1704,117
9,76,2,239,16
9,78,2,1636,101
8,80,0,656,0
9,80,2,0,0
9,82,0,0,0
10,82,1,0,0
10,83,2,0,0
6,85,0,180000,0
7,85,0,0,0
8,85,0,0,0
9,85,2,0,0
9,87,2,0,0
8,89,0,0,0
9,89,2,0,0
9,91,2,0,0
7,93,0,64,0
8,93,0,0,0
