depth,start,count,visits,useful
9,112,2,0,0
8,114,0,0,0
9,114,2,0,0
9,116,0,0,0
10,116,1,0,0
10,117,2,0,0
6,119,0,0,0
7,119,0,0,0
8,119,0,0,0
9,119,2,0,0
9,121,2,0,0
8,123,0,0,0
9,123,2,0,0
9,125,0,0,0
10,125,1,0,0
10,126,2,0,0
7,128,0,0,0
8,128,0,0,0
9,128,2,0,0
9,130,2,0,0
8,132,0,0,0
9,132,2,0,0
9,134,0,0,0
10,134,1,0,0
10,135,2,0,0
3,137,0,358195,1364
4,137,0,180000,826
5,137,0,7393,480
6,137,0,1623,128
7,137,0,538,43
8,137,0,339,26
9,137,2,213,16
9,139,2,133,10
8,141,0,220,17
9,141,2,107,8
9,143,2,66,9
7,145,0,1434,85
8,145,0,390,77
9,145,2,330,36
9,147,2,144,41
8,149,0,1358,8
9,149,2,1318,8
9,151,0,0,0
10,151,1,0,0
10,152,2,0,0
6,154,0,7393,352
7,154,0,830,58
8,154,0,255,14
9,154,2,78,8
9,156,2,177,6
8,158,0,830,44
9,158,2,510,19
9,160,2,287,25
7,162,0,6881,294
8,162,0,2930,111
9,162,2,253,53
9,164,2,2825,58
8,166,0,4092,183
9,166,2,362,33
9,168,0,2032,150
10,168,1,30,23
10,169,2,1258,127
5,171,0,180000,346
6,171,0,180000,346
7,171,0,0,0
8,171,0,0,0
9,171,2,0,0
9,173,2,0,0
8,175,0,0,0
9,175,2,0,0
9,177,2,0,0
7,179,0,180000,346
8,179,0,0,0
9,179,2,0,0
9,181,2,0,0
8,183,0,180000,346
9,183,2,180000,346
9,185,0,0,0
10,185,1,0,0
10,186,2,0,0
6,188,0,0,0
7,188,0,0,0
8,188,0,0,0
9,188,2,0,0
9,190,2,0,0
8,192,0,0,0
9,192,2,0,0
9,194,0,0,0
10,194,1,0,0
10,195,2,0,0
7,197,0,0,0
8,197,0,0,0
9,197,2,0,0
9,199,2,0,0
8,201,0,0,0
9,201,2,0,0
9,203,0,0,0
10,203,1,0,0
10,204,2,0,0
4,206,0,13151,538
5,206,0,12279,538
6,206,0,1536,77
7,206,0,895,49
8,206,0,451,25
9,206,2,59,5
9,208,2,440,20
8,210,0,558,24
9,210,2,103,11
9,212,2,477,13
7,214,0,926,28
8,214,0,281,24
9,214,2,86,8
9,216,2,197,16
8,218,0,792,4
9,218,2,740,0
9,220,0,376,4
10,220,1,23,4
10,221,2,313,0
6,223,0,12175,461
7,223,0,9122,436
8,223,0,1531,159
9,223,2,346,65
9,225,2,1185,94
8,227,0,9122,277
9,227,2,1412,156
9,229,2,7099,121
7,231,0,1619,25
8,231,0,785,25
9,231,2,759,25
9,233,2,26,0
8,235,0,166,0
9,235,2,0,0
9,237,0,0,0
10,237,1,0,0
10,238,2,0,0
5,240,0,872,0
6,240,0,0,0
7,240,0,0,0
8,240,0,0,0
9,240,2,0,0
9,242,2,0,0
8,244,0,0,0
9,244,2,0,0
9,246,2,0,0
7,248,0,0,0
8,248,0,0,0
9,248,2,0,0
9,250,2,0,0
8,252,0,0,0
9,252,2,0,0
9,254,0,0,0
10,254,1,0,0
10,255,2,0,0
6,257,0,0,0
7,257,0,0,0
8,257,0,0,0
9,257,2,0,0
9,259,2,0,0
8,261,0,0,0
9,261,2,0,0
9,263,0,0,0
10,263,1,0,0
10,264,2,0,0
7,266,0,0,0
8,266,0,0,0
9,266,2,0,0
9,268,2,0,0
8,270,0,0,0
9,270,2,0,0
9,272,0,0,0
10,272,1,0,0
10,273,2,0,0
2,275,0,357956,3562
3,275,0,180000,1126
4,275,0,180000,1126
5,275,0,1188,266
6,275,0,616,115
7,275,0,340,32
8,275,0,39,0
9,275,2,8,0
9,277,2,39,0
8,279,0,332,32
9,279,2,84,4
9,281,2,240,28
7,283,0,496,83
8,283,0,73,5
9,283,2,15,2
9,285,2,58,3
8,287,0,457,78
9,287,2,134,21
9,289,0,384,57
10,289,1,33,20
10,290,2,329,37
6,292,0,1057,151
7,292,0,992,151
8,292,0,310,0
9,292,2,233,0
9,294,2,77,0
8,296,0,992,151
9,296,2,548,93
9,298,2,444,58
7,300,0,31,0
8,300,0,0,0
9,300,2,0,0
9,302,2,0,0
8,304,0,0,0
9,304,2,0,0
9,306,0,0,0
10,306,1,0,0
10,307,2,0,0
5,309,0,180000,860
6,309,0,707,115
7,309,0,439,69
8,309,0,247,25
9,309,2,99,4
9,311,2,148,21
8,313,0,351,44
9,313,2,158,19
9,315,2,254,25
7,317,0,232,46
8,317,0,107,14
9,317,2,27,5
9,319,2,80,9
8,321,0,159,32
9,321,2,1,0
9,323,0,158,32
10,323,1,16,11
10,324,2,102,21
6,326,0,179800,745
7,326,0,2779,266
8,326,0,1553,215
9,326,2,370,14
9,328,2,1301,201
8,330,0,1268,51
9,330,2,472,17
9,332,2,277,34
7,334,0,10749,479
8,334,0,202,69
9,334,2,202,69
9,336,2,0,0
8,338,0,10567,410
9,338,2,2680,259
9,340,0,9074,151
10,340,1,0,0
10,341,2,7419,151
4,343,0,0,0
5,343,0,0,0
6,343,0,0,0
7,343,0,0,0
8,343,0,0,0
9,343,2,0,0
9,345,2,0,0
8,347,0,0,0
9,347,2,0,0
9,349,2,0,0
7,351,0,0,0
8,351,0,0,0
