lane,probe_group,probe_name,status,profile,mode,elements,local_size,workgroups_x,build_ns,dispatch_ns,kernel_ns,read_ns,checksum,device_name,platform_name,artifact
opencl,depchain_add,depchain_add,ok,default,scalar_f32,4096,64,64,10212647,,11702240,6645282,-712656613128133755460911550131412815314944.000000000,AMD PALM (DRM 2.51.0 / 6.18.20-x64v1-xanmod1),rusticl,/Users/eirikr/Documents/GitHub/steinmarder/src/sass_re/results/terascale_opencl_probe_suite_20260401_232421/runs/depchain_add.raw.log
opencl,depchain_mul,depchain_mul,ok,default,scalar_f32,4096,64,64,12122468,,16941408,9530793,-107684816635801689325557598304321142784.000000000,AMD PALM (DRM 2.51.0 / 6.18.20-x64v1-xanmod1),rusticl,/Users/eirikr/Documents/GitHub/steinmarder/src/sass_re/results/terascale_opencl_probe_suite_20260401_232421/runs/depchain_mul.raw.log
opencl,throughput_vec4,throughput_vec4_mad,ok,default,vec4_f32,4096,64,64,38100473,,547453813,10217306,-2916025567207011811226936199012612571136.000000000,AMD PALM (DRM 2.51.0 / 6.18.20-x64v1-xanmod1),rusticl,/Users/eirikr/Documents/GitHub/steinmarder/src/sass_re/results/terascale_opencl_probe_suite_20260401_232421/runs/throughput_vec4_mad.raw.log
