counter,variant,n_samples,min_pct,p50_pct,p90_pct,p99_pct,max_pct,avg_pct
ALU Limiter,baseline,31317,0.000,0.023,0.025,7.306,92.602,0.438
ALU Utilization,baseline,31317,0.000,0.023,0.024,6.645,81.387,0.388
Buffer Load Utilization,baseline,31317,0.000,0.003,0.003,0.042,0.941,0.004
Buffer Read Limiter,baseline,31317,0.000,0.003,0.003,0.042,0.947,0.004
Buffer Store Utilization,baseline,31317,0.000,0.018,0.018,0.018,0.387,0.015
Buffer Write Limiter,baseline,31317,0.000,0.018,0.018,0.018,0.388,0.015
Compute Occupancy,baseline,31317,0.000,0.023,0.029,0.046,5.342,0.026
F16 Utilization,baseline,31317,0.000,0.000,0.000,1.386,25.639,0.107
F32 Utilization,baseline,31317,0.000,0.000,0.000,1.363,23.593,0.070
Fragment Interp Limiter,baseline,31317,0.000,0.000,0.000,0.844,26.178,0.091
Fragment Interp Utilization,baseline,31317,0.000,0.000,0.000,0.525,18.640,0.055
Fragment Occupancy,baseline,31317,0.000,0.000,0.000,20.486,100.000,0.639
GPU Read Bandwidth,baseline,31317,0.000,0.020,0.020,2.016,33.679,0.157
GPU Write Bandwidth,baseline,31317,0.000,0.049,0.049,2.056,25.548,0.126
LLC Limiter,baseline,31317,0.000,0.096,0.098,4.642,45.169,0.238
LLC Utilization,baseline,31317,0.000,0.096,0.098,4.630,26.368,0.219
MMU Limiter,baseline,31317,0.000,0.034,0.034,2.619,27.783,0.147
MMU Utilization,baseline,31317,0.000,0.034,0.034,2.599,25.317,0.141
Partial Renders,baseline,31317,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,baseline,31317,0.000,0.000,0.000,0.735,9.979,0.035
TG/IB Load Utilization,baseline,31317,0.000,0.000,0.000,0.626,9.324,0.031
TG/IB Store Limiter,baseline,31317,0.000,0.000,0.000,0.735,9.979,0.035
TG/IB Store Utilization,baseline,31317,0.000,0.000,0.000,2.672,14.277,0.088
Texture Cache Limiter,baseline,31317,0.000,0.000,0.000,4.934,79.537,0.171
Texture Filtering Limiter,baseline,31317,0.000,0.000,0.000,5.432,50.029,0.227
Texture Sample Limiter,baseline,31317,0.000,0.000,0.000,7.288,99.896,0.293
Texture Sample Utilization,baseline,31317,0.000,0.000,0.000,5.340,50.019,0.224
Texture Write Limiter,baseline,31317,0.000,0.006,0.006,10.258,100.000,0.384
Texture Write Utilization,baseline,31317,0.000,0.006,0.006,9.380,100.000,0.369
Top Performance Limiter,baseline,31314,0.000,0.096,0.098,19.751,100.000,0.704
Total Occupancy,baseline,26064,0.000,0.026,0.029,31.631,100.009,0.799
Vertex Occupancy,baseline,31317,0.000,0.000,0.000,0.009,0.217,0.001
ALU Limiter,occupancy_heavy,32509,0.000,0.512,0.514,11.764,93.133,0.846
ALU Utilization,occupancy_heavy,32509,0.000,0.468,0.470,10.621,81.862,0.753
Buffer Load Utilization,occupancy_heavy,32509,0.000,0.006,0.006,0.099,7.194,0.009
Buffer Read Limiter,occupancy_heavy,32509,0.000,0.006,0.006,0.099,7.194,0.009
Buffer Store Utilization,occupancy_heavy,32509,0.000,0.018,0.018,0.018,0.405,0.012
Buffer Write Limiter,occupancy_heavy,32509,0.000,0.018,0.018,0.018,0.405,0.012
Compute Occupancy,occupancy_heavy,32509,0.000,0.115,0.147,0.298,97.099,0.130
F16 Utilization,occupancy_heavy,32509,0.000,0.000,0.000,3.697,25.639,0.125
F32 Utilization,occupancy_heavy,32509,0.000,0.000,0.000,2.426,38.620,0.091
Fragment Interp Limiter,occupancy_heavy,32509,0.000,0.000,0.000,1.971,27.349,0.106
Fragment Interp Utilization,occupancy_heavy,32509,0.000,0.000,0.000,0.824,18.607,0.064
Fragment Occupancy,occupancy_heavy,32509,0.000,0.000,0.000,29.207,100.000,0.805
GPU Read Bandwidth,occupancy_heavy,32509,0.000,0.032,0.032,7.558,50.191,0.235
GPU Write Bandwidth,occupancy_heavy,32509,0.000,0.049,0.049,3.025,38.466,0.148
LLC Limiter,occupancy_heavy,32509,0.000,0.141,0.145,7.342,52.845,0.321
LLC Utilization,occupancy_heavy,32509,0.000,0.141,0.145,6.791,34.607,0.279
MMU Limiter,occupancy_heavy,32509,0.000,0.025,0.040,5.367,47.583,0.209
MMU Utilization,occupancy_heavy,32509,0.000,0.025,0.040,4.815,33.293,0.175
