variant_trace,schema,baseline_density_rps,variant_density_rps,delta_density_rps
gpu_occupancy_heavy.trace,metal-application-encoders-list,782.6486787911991,547.190188653919,-235.45849013728014
gpu_occupancy_heavy.trace,metal-command-buffer-completed,804.1715174579571,589.6505036683658,-214.52101378959128
gpu_occupancy_heavy.trace,metal-driver-intervals,1639.6489820675622,1381.3299255506315,-258.3190565169307
gpu_occupancy_heavy.trace,metal-gpu-intervals,882.436385337077,1018.3627165561672,135.92633121909023
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,1754.111351340775,1982.6227736584426,228.51142231766767
gpu_register_pressure.trace,metal-application-encoders-list,782.6486787911991,551.8668621195137,-230.78181667168542
gpu_register_pressure.trace,metal-command-buffer-completed,804.1715174579571,584.2890402690351,-219.88247718892194
gpu_register_pressure.trace,metal-driver-intervals,1639.6489820675622,1275.502285073726,-364.14669699383626
gpu_register_pressure.trace,metal-gpu-intervals,882.436385337077,818.1426230921791,-64.29376224489795
gpu_register_pressure.trace,metal-gpu-state-intervals,1754.111351340775,1616.2800724325257,-137.83127890824926
gpu_threadgroup_heavy.trace,metal-application-encoders-list,782.6486787911991,839.8976584703154,57.248979679116246
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,804.1715174579571,878.7429251745674,74.57140771661034
gpu_threadgroup_heavy.trace,metal-driver-intervals,1639.6489820675622,1898.1687081429127,258.5197260753505
gpu_threadgroup_heavy.trace,metal-gpu-intervals,882.436385337077,1243.0485345360667,360.61214919898964
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,1754.111351340775,2425.2044888330356,671.0931374922607
gpu_threadgroup_minimal.trace,metal-application-encoders-list,782.6486787911991,866.6252853092932,83.97660651809406
gpu_threadgroup_minimal.trace,metal-command-buffer-completed,804.1715174579571,877.4581013756593,73.28658391770227
gpu_threadgroup_minimal.trace,metal-driver-intervals,1639.6489820675622,1765.7490188176848,126.10003675012263
gpu_threadgroup_minimal.trace,metal-gpu-intervals,882.436385337077,904.5401415415747,22.1037562044977
gpu_threadgroup_minimal.trace,metal-gpu-state-intervals,1754.111351340775,1807.9970014765129,53.88565013573793
