variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,34602000,173010.000000,168.955078125,10779883706199008131
threadgroup_heavy,200,1024,39205000,196025.000000,191.430664062,2380628211730309635
threadgroup_minimal,200,1024,36690000,183450.000000,179.150390625,1806622991180656120
occupancy_heavy,200,1024,37476000,187380.000000,182.988281250,14337981411528687150
register_pressure,200,1024,39380000,196900.000000,192.285156250,480914064531870774
