variant_trace,schema,baseline_rows,variant_rows,delta_rows,delta_pct
gpu_occupancy_heavy.trace,metal-application-encoders-list,800,799,-1,-0.12%
gpu_occupancy_heavy.trace,metal-command-buffer-completed,822,861,39,4.74%
gpu_occupancy_heavy.trace,metal-driver-intervals,1676,2017,341,20.35%
gpu_occupancy_heavy.trace,metal-gpu-intervals,902,1487,585,64.86%
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,1793,2895,1102,61.46%
gpu_register_pressure.trace,metal-application-encoders-list,800,800,0,0.00%
gpu_register_pressure.trace,metal-command-buffer-completed,822,847,25,3.04%
gpu_register_pressure.trace,metal-driver-intervals,1676,1849,173,10.32%
gpu_register_pressure.trace,metal-gpu-intervals,902,1186,284,31.49%
gpu_register_pressure.trace,metal-gpu-state-intervals,1793,2343,550,30.67%
gpu_threadgroup_heavy.trace,metal-application-encoders-list,800,800,0,0.00%
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,822,837,15,1.82%
gpu_threadgroup_heavy.trace,metal-driver-intervals,1676,1808,132,7.88%
gpu_threadgroup_heavy.trace,metal-gpu-intervals,902,1184,282,31.26%
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,1793,2310,517,28.83%
gpu_threadgroup_minimal.trace,metal-application-encoders-list,800,800,0,0.00%
gpu_threadgroup_minimal.trace,metal-command-buffer-completed,822,810,-12,-1.46%
gpu_threadgroup_minimal.trace,metal-driver-intervals,1676,1630,-46,-2.74%
gpu_threadgroup_minimal.trace,metal-gpu-intervals,902,835,-67,-7.43%
gpu_threadgroup_minimal.trace,metal-gpu-state-intervals,1793,1669,-124,-6.92%
