lane,backend,format,bit_width,support_tier,boundary_kind,probe_or_model,workload_id,artifact,status
metal,air_threadgroup,uint32,32,native,threadgroup_latency,probe_tgsm_lat,pointer_chase_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_air_opcode_inventory.md,classified
metal,air_simdgroup,float32,32,native,simdgroup_latency,probe_simd_sum_lat,dep_chain_8,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_air_opcode_inventory.md,classified
metal,air_simdgroup,uint32,32,native,simdgroup_latency,probe_simd_shuffle_lat,dep_chain_16,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_air_opcode_inventory.md,classified
metal,air_atomic_threadgroup,uint32,32,native,atomic_latency,probe_atomic_tgsm_lat,contention_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_air_opcode_inventory.md,classified
metal,air_atomic_device,uint32,32,native,atomic_latency,probe_atomic_device_lat,contention_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_air_opcode_inventory.md,classified
metal,agx_dispatch,float32,32,native,dispatch_boundary,occupancy_heavy,commandbuffer_gpu_time,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_commandbuffer_timing.md,measured
metal,agx_counters,float32,32,native,bound_regime,occupancy_heavy,metal_gpu_counters_20s,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/gpu_hardware_counters.md,measured
metal,air_fp16,float16,16,unknown,type_surface,planned_probe_f16,compile_and_air_classification,none,planned
metal,air_bfloat16,bfloat16,16,unknown,type_surface,planned_probe_bf16,compile_and_air_classification,none,planned
metal,air_int8,int8,8,unknown,type_surface,planned_probe_i8,compile_and_air_classification,none,planned
metal,air_uint8,uint8,8,unknown,type_surface,planned_probe_u8,compile_and_air_classification,none,planned
metal,air_fp8,fp8_e4m3,8,unsupported_or_proxy,type_surface,planned_probe_fp8,compile_and_air_classification,none,planned
metal,air_tf32,tf32,19,unsupported_or_proxy,type_surface,planned_probe_tf32,compile_and_air_classification,none,planned
metal,air_mx,mxfp8,8,unsupported_or_proxy,type_surface,planned_probe_mxfp8,compile_and_air_classification,none,planned
neural,pytorch_cpu,float32,32,native,placement_boundary,matmul,gemm_512,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,measured
neural,pytorch_mps,float32,32,native,placement_boundary,matmul,gemm_1024,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,measured
neural,pytorch_mps,float16,16,native_or_proxy,dtype_anomaly,matmul,gemm_512,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,measured_needs_rerun
neural,coreml_all,float16,16,placement_only,compute_unit_boundary,tiny_linear,all_compute_units,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,availability_only
neural,coreml_cpu_and_ne,float16,16,placement_only,compute_unit_boundary,tiny_linear,cpu_and_ne,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,availability_only
neural,mlx_gpu,float32,32,native,backend_boundary,matmul,gemm_512,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/neural_lane_results.md,measured
neural,jax_metal,float32,32,experimental,backend_boundary,matmul_probe,device_enumeration,../apple_re/results/blessed/2026-03-30_tranche1_r2/mlx_jax_checks.json,experimental_only
neural,coreml_proxy,int8,8,framework_proxy,typed_model_boundary,planned_quantized_linear,gemm_1024,none,planned
neural,coreml_proxy,bfloat16,16,framework_proxy,typed_model_boundary,planned_bf16_linear,gemm_1024,none,planned
neural,coreml_proxy,tf32,19,framework_proxy,typed_model_boundary,planned_tf32_proxy,gemm_1024,none,planned
neural,coreml_proxy,mxfp8,8,framework_proxy,typed_model_boundary,planned_mxfp8_proxy,gemm_1024,none,planned
neural,coreml_proxy,nf4,4,framework_proxy,typed_model_boundary,planned_nf4_proxy,gemm_1024,none,planned
neural,pytorch_cpu,float16,16,native,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float16,16,native,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float32,32,native,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float32,32,native,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float64,64,native,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,float64,64,native,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_cpu,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,float16,16,native,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,float16,16,native,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,float32,32,native,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,float32,32,native,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,float64,64,unsupported_or_proxy,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,error
neural,pytorch_mps,float64,64,unsupported_or_proxy,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,error
neural,pytorch_mps,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,bfloat16,16,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,int8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_mps,uint8,8,native_or_proxy,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,pytorch_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,pytorch_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_gpu,float16,16,native,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_gpu,float16,16,native,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_gpu,float16,16,native,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_gpu,float16,16,native,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_gpu,float32,32,native,backend_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_gpu,float32,32,native,backend_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_gpu,float32,32,native,backend_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_gpu,float32,32,native,backend_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,measured
neural,mlx_proxy,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,uint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,uint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,uint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,uint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp6,6,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxfp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,mxint8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,nf4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_256,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_1024,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,gemm_2048,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,mlx_proxy,fp4,4,framework_proxy,typed_model_boundary,neural_typed_matrix,reduce_1m,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,float16,16,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_cpu_only,float32,32,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_cpu_and_gpu,float16,16,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_cpu_and_gpu,float32,32,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_cpu_and_ne,float16,16,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_cpu_and_ne,float32,32,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_all,float16,16,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_all,float32,32,placement_only,compute_unit_boundary,neural_typed_matrix,tiny_linear,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,availability_only
neural,coreml_cpu_only,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,int8,8,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_all,bfloat16,16,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_only,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_gpu,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
neural,coreml_cpu_and_ne,tf32,19,framework_proxy,typed_model_boundary,neural_typed_matrix,typed_proxy,../apple_re/results/typed_neural_suite_20260401_203656/neural_backend_matrix.csv,planned
