lane,backend,format,bit_width,support_tier,boundary_kind,probe_or_model,workload_id,artifact,status
cpu,aarch64_scalar,int32,32,native,latency,add_dep_u64,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,measured
cpu,aarch64_scalar,float64,64,native,latency,fadd_dep_f64,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,measured
cpu,aarch64_scalar,float64,64,native,latency,fmadd_dep_f64,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,measured
cpu,aarch64_atomic,uint64,64,native,latency,atomic_add_relaxed_u64,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/llvm_mca_summary.csv,measured
cpu,aarch64_cache,uint64,64,native,cache_knee,apple_cpu_cache_pressure,working_set_stride,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/cache_pressure.csv,measured
cpu,neon_fp16,float16,16,native,latency,fadd_dep_f16_scalar,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/fp16_latency.md,measured
cpu,neon_fp16,float16,16,native,throughput_proxy,fmla_dep_f16x8_simd,simd_dep_chain,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/fp16_latency.md,measured
cpu,neon_convert,float16,16,native,conversion,fcvt_f32_f16_roundtrip,roundtrip_chain,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/fp16_latency.md,measured
cpu,aarch64_mul,uint64,64,native,latency,mul_dep_u64,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/integer_multiply_latency.md,measured
cpu,aarch64_mul,int32,32,native,latency,smull_dep_i32_to_i64,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/cpu_runs/integer_multiply_latency.md,measured
metal,air_fp32,float32,32,native,latency,probe_ffma_lat,dep_chain_32,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_air_opcode_inventory.md,classified
metal,air_fp32,float32,32,native,throughput,probe_ffma_tput,independent_accumulators_8,../apple_re/results/blessed/2026-03-30_tranche1_r7_cde_keepalive/metal_air_opcode_inventory.md,classified
