format,bit_width,kernel_name,classification_mode,support_tier,metallib
float32,32,probe_float32_surface,native_surface,native,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_float32_surface.metallib
int16,16,probe_int16_surface,native_surface,compiler_lowered,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_int16_surface.metallib
int32,32,probe_int32_surface,native_surface,native,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_int32_surface.metallib
int64,64,probe_int64_surface,native_surface,native,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_int64_surface.metallib
uint16,16,probe_uint16_surface,native_surface,compiler_lowered,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_uint16_surface.metallib
uint32,32,probe_uint32_surface,native_surface,native,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_uint32_surface.metallib
uint64,64,probe_uint64_surface,native_surface,native,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_uint64_surface.metallib
int4,4,probe_int4_proxy,frontier_proxy,host_proxy,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_int4_proxy.metallib
uint4,4,probe_uint4_proxy,frontier_proxy,host_proxy,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_uint4_proxy.metallib
fp4,4,probe_fp4_proxy,frontier_proxy,host_proxy,/Users/eirikr/Documents/GitHub/steinmarder/src/apple_re/results/typed_metal_suite_20260401_apple_sync/metal_type_surface_build/probe_fp4_proxy.metallib
