depth,start,count,visits,useful,node_id
0,0,0,14400,13575,0
1,0,0,9900,6781,1
2,0,0,322,62,2
3,0,0,77,28,3
4,0,0,6,1,4
5,0,0,6,1,5
6,0,0,0,0,6
7,0,1,0,0,7
7,1,2,0,0,8
6,0,0,6,1,9
7,3,2,1,1,10
7,5,2,5,0,11
5,0,0,2,1,12
6,0,0,2,1,13
7,7,1,0,0,14
7,8,2,2,1,15
6,0,0,0,0,16
7,10,2,0,0,17
7,12,2,0,0,18
4,0,0,75,28,19
5,0,0,6,4,20
6,0,0,0,0,21
7,14,1,0,0,22
7,15,2,0,0,23
6,0,0,6,4,24
7,17,2,4,4,25
7,19,2,6,0,26
5,0,0,35,24,27
6,0,0,5,0,28
7,21,2,1,0,29
7,23,2,4,0,30
6,0,0,31,24,31
7,25,2,9,6,32
7,27,2,30,18,33
3,0,0,322,34,34
4,0,0,34,12,35
5,0,0,0,0,36
6,0,0,0,0,37
7,29,1,0,0,38
7,30,2,0,0,39
6,0,0,0,0,40
7,32,2,0,0,41
7,34,2,0,0,42
5,0,0,34,12,43
6,0,0,2,2,44
7,36,2,2,2,45
7,38,2,0,0,46
6,0,0,32,10,47
7,40,2,9,7,48
7,42,2,27,3,49
4,0,0,296,23,50
5,0,0,6,0,51
6,0,0,0,0,52
7,44,1,0,0,53
7,45,2,0,0,54
6,0,0,2,0,55
7,47,2,0,0,56
7,49,2,0,0,57
5,0,0,220,23,58
6,0,0,34,23,59
7,51,2,10,2,60
7,53,2,31,21,61
6,0,0,84,0,62
7,55,2,0,0,63
7,57,2,84,0,64
2,0,0,9900,6720,65
3,0,0,183,32,66
4,0,0,115,0,67
5,0,0,9,0,68
6,0,0,0,0,69
7,59,1,0,0,70
7,60,2,0,0,71
6,0,0,9,0,72
7,62,2,0,0,73
7,64,2,8,0,74
5,0,0,19,0,75
6,0,0,0,0,76
7,66,2,0,0,77
7,68,2,0,0,78
6,0,0,18,0,79
7,70,2,0,0,80
7,72,2,0,0,81
4,0,0,87,32,82
5,0,0,65,32,83
6,0,0,42,32,84
7,74,1,0,0,85
7,75,2,39,32,86
6,0,0,33,0,87
7,77,2,0,0,88
7,79,2,27,0,89
5,0,0,51,0,90
6,0,0,0,0,91
7,81,2,0,0,92
7,83,2,0,0,93
6,0,0,47,0,94
7,85,2,41,0,95
7,87,2,0,0,96
3,0,0,9900,6688,97
4,0,0,5643,3353,98
5,0,0,652,196,99
6,0,0,0,0,100
7,89,1,0,0,101
7,90,2,0,0,102
6,0,0,485,196,103
7,92,2,226,138,104
7,94,2,289,58,105
5,0,0,5214,3157,106
6,0,0,2700,2209,107
7,96,2,2667,2209,108
7,98,2,1,0,109
6,0,0,3179,1179,110
7,100,2,583,323,111
7,102,2,2460,859,112
4,0,0,7991,3475,113
5,0,0,727,251,114
6,0,0,204,144,115
7,104,1,0,0,116
7,105,2,204,144,117
6,0,0,585,126,118
7,107,2,123,53,119
7,109,2,323,73,120
5,0,0,6578,3224,121
6,0,0,3345,1578,122
7,111,2,1231,80,123
7,113,2,2925,1501,124
6,0,0,3268,1755,125
7,115,2,88,38,126
7,117,2,2240,1718,127
1,0,0,14400,6865,128
2,0,0,510,109,129
3,0,0,510,109,130
4,0,0,129,21,131
5,0,0,50,14,132
6,0,0,35,14,133
7,119,1,4,0,134
7,120,2,34,14,135
6,0,0,15,0,136
7,122,2,0,0,137
7,124,2,0,0,138
5,0,0,94,7,139
6,0,0,18,5,140
7,126,2,18,5,141
7,128,2,10,0,142
6,0,0,45,3,143
7,130,2,10,1,144
7,132,2,20,2,145
4,0,0,510,88,146
5,0,0,175,58,147
6,0,0,88,32,148
7,134,1,0,0,149
7,135,2,88,32,150
6,0,0,117,33,151
7,137,2,83,33,152
7,139,2,1,0,153
5,0,0,201,30,154
6,0,0,27,4,155
7,141,2,27,4,156
7,143,2,0,0,157
6,0,0,123,26,158
7,145,2,59,25,159
7,147,2,21,1,160
3,0,0,7,0,161
4,0,0,0,0,162
5,0,0,0,0,163
6,0,0,0,0,164
7,149,1,0,0,165
7,150,2,0,0,166
6,0,0,0,0,167
7,152,2,0,0,168
7,154,2,0,0,169
5,0,0,0,0,170
6,0,0,0,0,171
7,156,2,0,0,172
7,158,2,0,0,173
6,0,0,0,0,174
7,160,2,0,0,175
7,162,2,0,0,176
4,0,0,7,0,177
5,0,0,0,0,178
6,0,0,0,0,179
7,164,1,0,0,180
7,165,2,0,0,181
6,0,0,0,0,182
7,167,2,0,0,183
7,169,2,0,0,184
5,0,0,0,0,185
6,0,0,0,0,186
7,171,2,0,0,187
7,173,2,0,0,188
6,0,0,0,0,189
7,175,2,0,0,190
7,177,2,0,0,191
2,0,0,14400,6758,192
3,0,0,13050,6370,193
4,0,0,1075,311,194
5,0,0,209,19,195
6,0,0,69,11,196
7,179,1,54,11,197
7,180,2,15,0,198
6,0,0,207,8,199
7,182,2,89,8,200
7,184,2,99,0,201
5,0,0,869,292,202
6,0,0,732,292,203
7,186,2,0,0,204
7,188,2,732,292,205
6,0,0,7,0,206
7,190,2,0,0,207
7,192,2,0,0,208
4,0,0,13050,6059,209
5,0,0,2754,1457,210
6,0,0,1770,660,211
7,194,1,125,81,212
7,195,2,1643,579,213
6,0,0,1663,1074,214
7,197,2,328,186,215
7,199,2,1391,915,216
5,0,0,13050,4602,217
6,0,0,7631,2385,218
7,201,2,5630,2246,219
7,203,2,2619,139,220
6,0,0,7262,2554,221
7,205,2,3937,2554,222
7,207,2,20,0,223
3,0,0,461,388,224
4,0,0,460,388,225
5,0,0,0,0,226
6,0,0,0,0,227
7,209,1,0,0,228
7,210,2,0,0,229
6,0,0,0,0,230
7,212,2,0,0,231
7,214,2,0,0,232
5,0,0,460,388,233
6,0,0,388,388,234
7,216,2,2,0,235
7,218,2,388,388,236
6,0,0,233,10,237
7,220,2,212,10,238
7,222,2,21,0,239
4,0,0,17,0,240
5,0,0,0,0,241
6,0,0,0,0,242
7,224,1,0,0,243
7,225,2,0,0,244
6,0,0,0,0,245
7,227,2,0,0,246
7,229,2,0,0,247
5,0,0,16,0,248
6,0,0,0,0,249
7,231,2,0,0,250
7,233,2,0,0,251
6,0,0,8,0,252
7,235,2,0,0,253
7,237,2,8,0,254
