family,size_kib,size_bytes,stride_bytes,passes,accesses,elapsed_ns,ns_per_access,accesses_per_sec,cycles_per_access_at_3p2ghz
stream,4,4096,64,50,3200,2625,0.820312,1219047619.047619,2.625
stream,8,8192,64,50,6400,4708,0.735625,1359388275.276126,2.354
stream,16,16384,64,50,12800,9416,0.735625,1359388275.276126,2.354
stream,32,32768,64,50,25600,17375,0.678711,1473381294.964029,2.172
stream,64,65536,64,50,51200,34458,0.673008,1485866852.400023,2.154
stream,128,131072,64,50,102400,67000,0.654297,1528358208.955224,2.094
stream,256,262144,64,50,204800,199083,0.972085,1028716665.913212,3.111
stream,512,524288,64,50,409600,412500,1.007080,992969696.969697,3.223
stream,1024,1048576,64,50,819200,799000,0.975342,1025281602.002503,3.121
stream,2048,2097152,64,50,1638400,1560000,0.952148,1050256410.256410,3.047
stream,4096,4194304,64,50,3276800,3110334,0.949199,1053520297.177088,3.037
stream,8192,8388608,64,50,6553600,6687791,1.020476,979934929.186633,3.265
stream,16384,16777216,64,50,13107200,15112666,1.153005,867298992.778640,3.690
stream,32768,33554432,64,50,26214400,59719083,2.278102,438961864.166601,7.290
pointer,4,4096,64,200,102400,186167,1.818037,550043777.898339,5.818
pointer,8,8192,64,200,204800,343334,1.676436,596503696.109328,5.365
pointer,16,16384,64,200,409600,689292,1.682842,594232923.057282,5.385
pointer,32,32768,64,200,819200,1266333,1.545817,646907251.094301,4.947
pointer,64,65536,64,200,1638400,2532209,1.545538,647024001.573330,4.946
pointer,128,131072,64,200,3276800,4738834,1.446177,691478114.658585,4.628
pointer,256,262144,64,200,6553600,12964791,1.978270,505492144.069272,6.330
pointer,512,524288,64,200,13107200,23651084,1.804435,554190243.457763,5.774
pointer,1024,1048576,64,200,26214400,42522750,1.622114,616479413.960762,5.191
pointer,2048,2097152,64,200,52428800,78479375,1.496875,668058327.426792,4.790
pointer,4096,4194304,64,200,104857600,154898500,1.477227,676943934.253721,4.727
pointer,8192,8388608,64,200,209715200,331579792,1.581096,632472801.599441,5.060
pointer,16384,16777216,64,200,419430400,699167167,1.666944,599900023.623392,5.334
pointer,32768,33554432,64,200,838860800,1266176375,1.509400,662514967.553395,4.830
reuse,4,4096,64,50,6400,24375,3.808594,262564102.564103,12.188
reuse,8,8192,64,50,12800,46708,3.649062,274042990.494134,11.677
reuse,16,16384,64,50,25600,94333,3.684883,271379050.809367,11.792
reuse,32,32768,64,50,51200,192125,3.752441,266493168.510085,12.008
reuse,64,65536,64,50,102400,357875,3.494873,286133426.475725,11.184
reuse,128,131072,64,50,204800,722125,3.526001,283607408.689631,11.283
reuse,256,262144,64,50,409600,1432916,3.498330,285850670.939539,11.195
reuse,512,524288,64,50,819200,2653125,3.238678,308767962.308598,10.364
reuse,1024,1048576,64,50,1638400,5325167,3.250224,307671102.145717,10.401
reuse,2048,2097152,64,50,3276800,10305708,3.145052,315959717.081058,10.064
reuse,4096,4194304,64,50,6553600,20114291,3.069197,325818096.198370,9.821
reuse,8192,8388608,64,50,13107200,40323834,3.076464,325048456.453818,9.845
reuse,16384,16777216,64,50,26214400,84152625,3.210168,311510187.590702,10.273
reuse,32768,33554432,64,50,52428800,184099166,3.511413,284785646.448827,11.237
