variant_trace,schema,baseline_rows,variant_rows,delta_rows,delta_pct
gpu_occupancy_heavy.trace,dyld-library-load,0,0,0,n/a
gpu_occupancy_heavy.trace,life-cycle-period,4,4,0,0.00%
gpu_occupancy_heavy.trace,metal-application-encoders-list,999,797,-202,-20.22%
gpu_occupancy_heavy.trace,metal-command-buffer-completed,1087,870,-217,-19.96%
gpu_occupancy_heavy.trace,metal-driver-event-per-thread-intervals,0,0,0,n/a
gpu_occupancy_heavy.trace,metal-driver-intervals,2369,1888,-481,-20.30%
gpu_occupancy_heavy.trace,metal-gpu-counter-intervals,0,0,0,n/a
gpu_occupancy_heavy.trace,metal-gpu-intervals,1545,1219,-326,-21.10%
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,2947,2327,-620,-21.04%
gpu_occupancy_heavy.trace,metal-shader-profiler-intervals,0,0,0,n/a
gpu_occupancy_heavy.trace,process-info,880,878,-2,-0.23%
gpu_occupancy_heavy.trace,thread-info,4265,4328,63,1.48%
gpu_occupancy_heavy.trace,time-profile,192,118,-74,-38.54%
gpu_occupancy_heavy.trace,time-sample,194,120,-74,-38.14%
gpu_threadgroup_heavy.trace,dyld-library-load,0,0,0,n/a
gpu_threadgroup_heavy.trace,life-cycle-period,4,4,0,0.00%
gpu_threadgroup_heavy.trace,metal-application-encoders-list,999,799,-200,-20.02%
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,1087,912,-175,-16.10%
gpu_threadgroup_heavy.trace,metal-driver-event-per-thread-intervals,0,0,0,n/a
gpu_threadgroup_heavy.trace,metal-driver-intervals,2369,2026,-343,-14.48%
gpu_threadgroup_heavy.trace,metal-gpu-counter-intervals,0,0,0,n/a
gpu_threadgroup_heavy.trace,metal-gpu-intervals,1545,1409,-136,-8.80%
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,2947,2695,-252,-8.55%
gpu_threadgroup_heavy.trace,metal-shader-profiler-intervals,0,0,0,n/a
gpu_threadgroup_heavy.trace,process-info,880,898,18,2.05%
gpu_threadgroup_heavy.trace,thread-info,4265,4293,28,0.66%
gpu_threadgroup_heavy.trace,time-profile,192,196,4,2.08%
gpu_threadgroup_heavy.trace,time-sample,194,198,4,2.06%
