variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,56617000,283085.000000,276.450195312,10779883706199008131
threadgroup_heavy,160,1024,53207000,332543.750000,324.749755859,15206855877326305950
occupancy_heavy,160,1024,35297000,220606.250000,215.435791016,14337981411528687150
