trace,schema
gpu_baseline.trace,ca-client-buffer-wait-interval
gpu_baseline.trace,ca-client-present-request
gpu_baseline.trace,ca-client-presented-handler
gpu_baseline.trace,device-display-info
gpu_baseline.trace,device-gpu-info
gpu_baseline.trace,device-thermal-state-intervals
gpu_baseline.trace,display-compositor-events-interval
gpu_baseline.trace,display-compositor-interval
gpu_baseline.trace,display-events-interval
gpu_baseline.trace,display-surface-queue
gpu_baseline.trace,display-surface-swap
gpu_baseline.trace,display-vsyncs-interval
gpu_baseline.trace,displayed-surfaces-interval
gpu_baseline.trace,displayed-surfaces-per-second
gpu_baseline.trace,dyld-library-load
gpu_baseline.trace,gpu-aps-stream
gpu_baseline.trace,gpu-counter-info
gpu_baseline.trace,gpu-counter-value
gpu_baseline.trace,gpu-performance-device-state-intervals
gpu_baseline.trace,gpu-performance-state-info
gpu_baseline.trace,gpu-performance-state-intervals
gpu_baseline.trace,gpu-shader-profiler-interval
gpu_baseline.trace,gpu-shader-profiler-sample
gpu_baseline.trace,graphics-compiler-activity-intervals
gpu_baseline.trace,hang-risks
gpu_baseline.trace,kdebug
gpu_baseline.trace,kdebug-strings
gpu_baseline.trace,life-cycle-period
gpu_baseline.trace,metal-application-command-buffer-submissions
gpu_baseline.trace,metal-application-encoders-list
gpu_baseline.trace,metal-application-event-interval
gpu_baseline.trace,metal-application-intervals
gpu_baseline.trace,metal-ar-events
gpu_baseline.trace,metal-command-buffer-completed
gpu_baseline.trace,metal-command-buffer-error
gpu_baseline.trace,metal-command-buffer-frame-assignment
gpu_baseline.trace,metal-command-buffer-to-accelerator-id
gpu_baseline.trace,metal-current-allocated-size
gpu_baseline.trace,metal-driver-event-intervals
gpu_baseline.trace,metal-driver-event-per-thread-intervals
gpu_baseline.trace,metal-driver-intervals
gpu_baseline.trace,metal-gpu-counter-intervals
gpu_baseline.trace,metal-gpu-counter-profile
gpu_baseline.trace,metal-gpu-execution-points
gpu_baseline.trace,metal-gpu-info
gpu_baseline.trace,metal-gpu-intervals
gpu_baseline.trace,metal-gpu-state-intervals
gpu_baseline.trace,metal-gpu-submission-to-command-buffer-id
gpu_baseline.trace,metal-io-surface-access
gpu_baseline.trace,metal-kernel-resource-allocations
gpu_baseline.trace,metal-known-compositor-process
gpu_baseline.trace,metal-object-dependency-chain-app
gpu_baseline.trace,metal-object-dependency-chain-display
gpu_baseline.trace,metal-object-dependency-chain-driver
gpu_baseline.trace,metal-object-dependency-chain-gpu
gpu_baseline.trace,metal-object-label
gpu_baseline.trace,metal-residency-set-interval
gpu_baseline.trace,metal-residency-set-resource-event
gpu_baseline.trace,metal-residency-set-usage-event
gpu_baseline.trace,metal-resource-allocations
gpu_baseline.trace,metal-shader-profiler-intervals
gpu_baseline.trace,metal-shader-profiler-shader-list
gpu_baseline.trace,metal-visual-highlight-chain-app
gpu_baseline.trace,metal-visual-highlight-chain-display
gpu_baseline.trace,metal-visual-highlight-chain-driver
gpu_baseline.trace,metal-visual-highlight-chain-gpu
gpu_baseline.trace,metal-wired-sysmem-level-interval
gpu_baseline.trace,mps-hw-intervals
gpu_baseline.trace,os-log
gpu_baseline.trace,os-signpost
gpu_baseline.trace,os-signpost-arg
gpu_baseline.trace,potential-hangs
gpu_baseline.trace,process-info
gpu_baseline.trace,runloop-events
gpu_baseline.trace,thread-info
gpu_baseline.trace,tick
gpu_baseline.trace,time-info
gpu_baseline.trace,time-profile
gpu_baseline.trace,time-sample
gpu_baseline.trace,visual-chain
gpu_baseline.trace,visual-connection
gpu_occupancy_heavy.trace,ca-client-buffer-wait-interval
gpu_occupancy_heavy.trace,ca-client-present-request
gpu_occupancy_heavy.trace,ca-client-presented-handler
gpu_occupancy_heavy.trace,device-display-info
gpu_occupancy_heavy.trace,device-gpu-info
gpu_occupancy_heavy.trace,device-thermal-state-intervals
gpu_occupancy_heavy.trace,display-compositor-events-interval
gpu_occupancy_heavy.trace,display-compositor-interval
gpu_occupancy_heavy.trace,display-events-interval
gpu_occupancy_heavy.trace,display-surface-queue
gpu_occupancy_heavy.trace,display-surface-swap
gpu_occupancy_heavy.trace,display-vsyncs-interval
gpu_occupancy_heavy.trace,displayed-surfaces-interval
gpu_occupancy_heavy.trace,displayed-surfaces-per-second
gpu_occupancy_heavy.trace,dyld-library-load
gpu_occupancy_heavy.trace,gpu-aps-stream
gpu_occupancy_heavy.trace,gpu-counter-info
gpu_occupancy_heavy.trace,gpu-counter-value
gpu_occupancy_heavy.trace,gpu-performance-device-state-intervals
gpu_occupancy_heavy.trace,gpu-performance-state-info
gpu_occupancy_heavy.trace,gpu-performance-state-intervals
gpu_occupancy_heavy.trace,gpu-shader-profiler-interval
gpu_occupancy_heavy.trace,gpu-shader-profiler-sample
