label,family,size_kib,size_bytes,stride_bytes,passes,accesses,elapsed_ns,ns_per_access,accesses_per_sec,approx_gaccesses_per_sec
stream_l1_hot,stream,16,16384,64,256,65536,71333,1.088455,918733265.108715,0.918733
stream_l1_hot,stream,16,16384,128,256,32768,36917,1.126617,887612752.932253,0.887613
stream_l1_hot,stream,16,16384,256,256,16384,17916,1.093506,914489841.482474,0.914490
stream_l1_hot,stream,16,16384,512,256,8192,9584,1.169922,854757929.883139,0.854758
stream_l1_hot,stream,24,24576,64,256,98304,105166,1.069804,934750774.965293,0.934751
stream_l1_hot,stream,24,24576,128,256,49152,53917,1.096944,911623421.184413,0.911623
stream_l1_hot,stream,24,24576,256,256,24576,26833,1.091838,915887153.877688,0.915887
stream_l1_hot,stream,24,24576,512,256,12288,12209,0.993571,1006470636.415759,1.006471
stream_l1_hot,stream,32,32768,64,256,131072,139291,1.062706,940994034.072553,0.940994
stream_l1_hot,stream,32,32768,128,256,65536,72333,1.103714,906031825.031452,0.906032
stream_l1_hot,stream,32,32768,256,256,32768,35375,1.079559,926303886.925795,0.926304
stream_l1_hot,stream,32,32768,512,256,16384,16542,1.009644,990448555.192843,0.990449
stream_l1_hot,stream,48,49152,64,256,196608,209292,1.064514,939395676.853391,0.939396
stream_l1_hot,stream,48,49152,128,256,98304,106000,1.078288,927396226.415094,0.927396
stream_l1_hot,stream,48,49152,256,256,49152,53417,1.086772,920156504.483591,0.920157
stream_l1_hot,stream,48,49152,512,256,24576,28250,1.149495,869946902.654867,0.869947
stream_l1_hot,stream,64,65536,64,256,262144,276459,1.054607,948220170.079469,0.948220
stream_l1_hot,stream,64,65536,128,256,131072,139834,1.066849,937339988.843915,0.937340
stream_l1_hot,stream,64,65536,256,256,65536,70917,1.082108,924122565.816377,0.924123
stream_l1_hot,stream,64,65536,512,256,32768,35083,1.070648,934013624.832540,0.934014
stream_l1_hot,stream,96,98304,64,256,393216,413708,1.052114,950467479.478279,0.950467
stream_l1_hot,stream,96,98304,128,256,196608,208708,1.061544,942024263.564406,0.942024
stream_l1_hot,stream,96,98304,256,256,98304,106416,1.082520,923770861.524583,0.923771
stream_l1_hot,stream,96,98304,512,256,49152,53584,1.090169,917288742.908331,0.917289
stream_l1_hot,stream,128,131072,64,256,524288,547708,1.044670,957239989.191321,0.957240
stream_l1_hot,stream,128,131072,128,256,262144,277417,1.058262,944945695.469275,0.944946
stream_l1_hot,stream,128,131072,256,256,131072,143500,1.094818,913393728.222997,0.913394
