trace,template_name,duration_s,end_reason,target_process_name,target_pid,target_exit_status,target_termination_reason,schema_count
cpu_time_profiler.trace,Time Profiler,0.792944,Target app exited,sm_apple_cpu_latency_O3,81622,0,exit(0),40
gpu_baseline.trace,Metal System Trace,1.025866,Target app exited,sm_apple_metal_probe_host,81794,0,exit(0),114
gpu_compare.trace,Time Profiler,4.198609,Target app exited,sm_apple_metal_probe_host,81818,0,exit(0),40
