trace,template_name,duration_s,end_reason,target_process_name,target_pid,target_exit_status,target_termination_reason,schema_count
gpu_baseline.trace,Metal System Trace,9.750304,Target app exited,sm_apple_metal_probe_host,31677,0,exit(0),114
gpu_occupancy_heavy.trace,Metal System Trace,0.989688,Target app exited,sm_apple_metal_probe_host,31842,0,exit(0),114
gpu_register_pressure.trace,Metal System Trace,0.985853,Target app exited,sm_apple_metal_probe_host,31875,0,exit(0),114
gpu_threadgroup_heavy.trace,Metal System Trace,7.420226,Target app exited,sm_apple_metal_probe_host,31773,0,exit(0),114
