variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,39131000,195655.000000,191.069335938,10779883706199008131
threadgroup_heavy,160,1024,33671000,210443.750000,205.511474609,3945983119703207619
occupancy_heavy,160,1024,32020000,200125.000000,195.434570312,14337981411528687150
register_pressure,200,1024,38456000,192280.000000,187.773437500,480914064531870774
