variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,1,1024,946000,946000.000000,923.828125000,10779883706199008131
threadgroup_heavy,1,1024,841000,841000.000000,821.289062500,2089650137214841279
occupancy_heavy,1,1024,953000,953000.000000,930.664062500,14337981411528687150
register_pressure,1,1024,937000,937000.000000,915.039062500,480914064531870774
