trace,schema,rows,export_file
gpu_baseline.trace,metal-application-encoders-list,998,xctrace_gpu_baseline_metal-application-encoders-list.xml
gpu_baseline.trace,metal-command-buffer-completed,3096,xctrace_gpu_baseline_metal-command-buffer-completed.xml
gpu_baseline.trace,metal-driver-intervals,9264,xctrace_gpu_baseline_metal-driver-intervals.xml
gpu_baseline.trace,metal-gpu-intervals,11088,xctrace_gpu_baseline_metal-gpu-intervals.xml
gpu_baseline.trace,metal-gpu-state-intervals,18864,xctrace_gpu_baseline_metal-gpu-state-intervals.xml
gpu_occupancy_heavy.trace,metal-application-encoders-list,799,xctrace_gpu_occupancy_heavy_metal-application-encoders-list.xml
gpu_occupancy_heavy.trace,metal-command-buffer-completed,898,xctrace_gpu_occupancy_heavy_metal-command-buffer-completed.xml
gpu_occupancy_heavy.trace,metal-driver-intervals,1930,xctrace_gpu_occupancy_heavy_metal-driver-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-intervals,1252,xctrace_gpu_occupancy_heavy_metal-gpu-intervals.xml
gpu_occupancy_heavy.trace,metal-gpu-state-intervals,2350,xctrace_gpu_occupancy_heavy_metal-gpu-state-intervals.xml
gpu_register_pressure.trace,metal-application-encoders-list,799,xctrace_gpu_register_pressure_metal-application-encoders-list.xml
gpu_register_pressure.trace,metal-command-buffer-completed,900,xctrace_gpu_register_pressure_metal-command-buffer-completed.xml
gpu_register_pressure.trace,metal-driver-intervals,1885,xctrace_gpu_register_pressure_metal-driver-intervals.xml
gpu_register_pressure.trace,metal-gpu-intervals,1161,xctrace_gpu_register_pressure_metal-gpu-intervals.xml
gpu_register_pressure.trace,metal-gpu-state-intervals,2187,xctrace_gpu_register_pressure_metal-gpu-state-intervals.xml
gpu_threadgroup_heavy.trace,metal-application-encoders-list,800,xctrace_gpu_threadgroup_heavy_metal-application-encoders-list.xml
gpu_threadgroup_heavy.trace,metal-command-buffer-completed,2323,xctrace_gpu_threadgroup_heavy_metal-command-buffer-completed.xml
gpu_threadgroup_heavy.trace,metal-driver-intervals,6682,xctrace_gpu_threadgroup_heavy_metal-driver-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-intervals,7802,xctrace_gpu_threadgroup_heavy_metal-gpu-intervals.xml
gpu_threadgroup_heavy.trace,metal-gpu-state-intervals,13195,xctrace_gpu_threadgroup_heavy_metal-gpu-state-intervals.xml
