xcodebuild,found,/usr/bin/xcodebuild
xcrun,found,/usr/bin/xcrun
xctrace,found,/usr/bin/xctrace
dtrace,found,/usr/sbin/dtrace
dtruss,found,/usr/bin/dtruss
sample,found,/usr/bin/sample
spindump,found,/usr/sbin/spindump
powermetrics,found,/usr/bin/powermetrics
leaks,found,/usr/bin/leaks
vmmap,found,/usr/bin/vmmap
fs_usage,found,/usr/bin/fs_usage
lldb,found,/usr/bin/lldb
ncu,missing,
nsys,missing,
nvcc,missing,
uprof,missing,
valgrind,missing,
gdb,found,/opt/homebrew/bin/gdb
hyperfine,found,/opt/homebrew/bin/hyperfine
