binary,source,mnemonic,count
sm_apple_cpu_latency_O2,otool,adrp,29
sm_apple_cpu_latency_O2,otool,b,11
sm_apple_cpu_latency_O2,otool,b.eq,3
sm_apple_cpu_latency_O2,otool,b.ge,1
sm_apple_cpu_latency_O2,otool,b.le,3
sm_apple_cpu_latency_O2,otool,b.lt,2
sm_apple_cpu_latency_O2,otool,b.ne,6
sm_apple_cpu_latency_O2,otool,bl,21
sm_apple_cpu_latency_O2,otool,cbnz,13
sm_apple_cpu_latency_O2,otool,cbz,7
sm_apple_cpu_latency_O2,otool,ccmp,1
sm_apple_cpu_latency_O2,otool,cmp,9
sm_apple_cpu_latency_O2,otool,fadd,32
sm_apple_cpu_latency_O2,otool,fcmp,3
sm_apple_cpu_latency_O2,otool,fdiv,6
sm_apple_cpu_latency_O2,otool,fmadd,32
sm_apple_cpu_latency_O2,otool,fmov,7
sm_apple_cpu_latency_O2,otool,fmul,1
sm_apple_cpu_latency_O2,otool,ldp,13
sm_apple_cpu_latency_O2,otool,ldr,11
sm_apple_cpu_latency_O2,otool,mov,35
sm_apple_cpu_latency_O2,otool,movi,6
sm_apple_cpu_latency_O2,otool,movk,3
sm_apple_cpu_latency_O2,otool,mul,6
sm_apple_cpu_latency_O2,otool,ret,1
sm_apple_cpu_latency_O2,otool,stp,22
sm_apple_cpu_latency_O2,otool,str,5
sm_apple_cpu_latency_O2,otool,sub,4
sm_apple_cpu_latency_O2,otool,subs,3
sm_apple_cpu_latency_O2,otool,sxtw,1
sm_apple_cpu_latency_O2,otool,tbz,1
sm_apple_cpu_latency_O2,otool,ucvtf,7
sm_apple_cpu_latency_O2,otool,udiv,6
sm_apple_cpu_latency_O3,objdump,add,63
sm_apple_cpu_latency_O3,objdump,adrp,29
sm_apple_cpu_latency_O3,objdump,b,8
sm_apple_cpu_latency_O3,objdump,b.eq,3
sm_apple_cpu_latency_O3,objdump,b.ge,1
sm_apple_cpu_latency_O3,objdump,b.le,3
sm_apple_cpu_latency_O3,objdump,b.lt,3
sm_apple_cpu_latency_O3,objdump,b.ne,6
sm_apple_cpu_latency_O3,objdump,bl,25
sm_apple_cpu_latency_O3,objdump,cbnz,16
sm_apple_cpu_latency_O3,objdump,cbz,9
sm_apple_cpu_latency_O3,objdump,ccmp,1
sm_apple_cpu_latency_O3,objdump,cmp,10
sm_apple_cpu_latency_O3,objdump,fadd,32
sm_apple_cpu_latency_O3,objdump,fcmp,3
sm_apple_cpu_latency_O3,objdump,fdiv,6
sm_apple_cpu_latency_O3,objdump,fmadd,32
sm_apple_cpu_latency_O3,objdump,fmov,8
sm_apple_cpu_latency_O3,objdump,fmul,1
sm_apple_cpu_latency_O3,objdump,ldp,15
sm_apple_cpu_latency_O3,objdump,ldr,14
sm_apple_cpu_latency_O3,objdump,mov,37
sm_apple_cpu_latency_O3,objdump,movi,6
sm_apple_cpu_latency_O3,objdump,movk,3
sm_apple_cpu_latency_O3,objdump,mul,6
