probe,iters,unroll,elapsed_ns,ns_per_op,approx_gops
add_dep_u64,200000000,32,4725035333,0.738287,1.354487
fadd_dep_f64,200000000,32,7867780917,1.229341,0.813444
fmadd_dep_f64,200000000,32,9845525334,1.538363,0.650041
