variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,36073000,180365.000000,176.137695312,10779883706199008131
threadgroup_heavy,160,1024,43915000,274468.750000,268.035888672,1622420486691954454
occupancy_heavy,160,1024,33257000,207856.250000,202.984619141,14337981411528687150
register_pressure,200,1024,38187000,190935.000000,186.459960938,480914064531870774
