variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,1,1024,1030000,1030000.000000,1005.859375000,10779883706199008131
threadgroup_heavy,1,1024,728000,728000.000000,710.937500000,1899053585580478715
occupancy_heavy,1,1024,742000,742000.000000,724.609375000,14337981411528687150
register_pressure,1,1024,683000,683000.000000,666.992187500,480914064531870774
