variant,iters,width,elapsed_ns,ns_per_iter,ns_per_element,checksum
baseline,200,1024,35613000,178065.000000,173.891601562,10779883706199008131
threadgroup_heavy,160,1024,31019000,193868.750000,189.324951172,13970706251769484156
threadgroup_minimal,192,1024,38135000,198619.791667,193.964640299,1806622991180656120
occupancy_heavy,160,1024,29991000,187443.750000,183.050537109,14337981411528687150
register_pressure,200,1024,38115000,190575.000000,186.108398438,480914064531870774
