backend,format,workload,status,support_tier,median_ms,p90_ms,warmup_runs,measured_runs,checksum,notes
pytorch_proxy_mps,fp8_e5m2,gemm_1024,measured,framework_proxy,2.526562486309558,2.527978888247162,1,2,0.5,proxy_backend=torch_float32_mps
pytorch_proxy_mps,fp8_e5m2,gemm_2048,measured,framework_proxy,15.175229491433129,15.284113091183826,1,2,6.25,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxfp8,gemm_1024,measured,framework_proxy,3.6699165066238493,3.7396161060314626,1,2,-31.76593017578125,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxfp8,gemm_2048,measured,framework_proxy,18.344395502936095,18.407245504204184,1,2,21.21879005432129,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxfp6,gemm_1024,measured,framework_proxy,3.5182499850634485,3.518383583286777,1,2,-29.621810913085938,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxfp6,gemm_2048,measured,framework_proxy,18.603208489366807,18.794008882832713,1,2,-0.0,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxfp4,gemm_1024,measured,framework_proxy,3.456854508840479,3.483570905518718,1,2,0.0,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxfp4,gemm_2048,measured,framework_proxy,17.46395848749671,17.513391681131907,1,2,0.0,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxint8,gemm_1024,measured,framework_proxy,3.19727101305034,3.2721878233132884,1,2,20.327211380004883,proxy_backend=torch_float32_mps
pytorch_proxy_mps,mxint8,gemm_2048,measured,framework_proxy,16.796854019048624,16.903737219399773,1,2,-61.774253845214844,proxy_backend=torch_float32_mps
