newsboat 2.43
ninja 1.13.2
nlohmann-json 3.12.0
node 25.8.2
npth 1.8
nspr 4.38.2
nss 3.122
numpy 2.4.4
ollama 0.18.3
oniguruma 6.9.10
open-mpi 5.0.9
open-simh 3.12-3
openblas 0.3.32
openexr 3.4.8
openjdk 25.0.2
openjpeg 2.5.4
openjph 0.26.3
openldap 2.6.13
openssh 10.2p1
openssl@3 3.6.1
ossp-uuid 1.6.2_2
p11-kit 0.26.2
p7zip 17.06
pandoc 3.9.0.2
pango 1.57.1
pcre 8.45
pcre2 10.47_1
perl 5.42.1_1
php 8.5.4
php@8.2 8.2.30
pillow 12.1.1
pinentry 1.3.2
pipx 1.11.0
pixman 0.46.4
pkgconf 2.5.1
pmix 5.0.10_1
pnpm 10.33.0
poppler 26.03.0
popt 1.19
postgresql@15 15.17
postgresql@16 16.13
procs 0.14.11
protobuf 34.1
psutils 3.3.14_11
pycparser 3.0
pydantic 2.12.5
python-build 1.4.2
python-matplotlib 3.10.8
python-packaging 26.0
python-yq 3.4.3_1
python@3.11 3.11.15
python@3.12 3.12.13
python@3.13 3.13.12_1
python@3.14 3.14.3_1
qemu 10.2.2
qhull 2020.2
qt 6.11.0
qt3d 6.11.0
qt5compat 6.11.0
qt@5 5.15.18
qtbase 6.11.0
qtcanvaspainter 6.11.0
qtcharts 6.11.0
qtconnectivity 6.11.0
qtdatavis3d 6.11.0
qtdeclarative 6.11.0
qtgraphs 6.11.0
qtgrpc 6.11.0
qthttpserver 6.11.0
qtimageformats 6.11.0
qtlanguageserver 6.11.0
qtlocation 6.11.0
qtlottie 6.11.0
qtmultimedia 6.11.0
qtnetworkauth 6.11.0
qtpositioning 6.11.0
qtquick3d 6.11.0
qtquick3dphysics 6.11.0
qtquickeffectmaker 6.11.0
qtquicktimeline 6.11.0
qtremoteobjects 6.11.0
qtscxml 6.11.0
qtsensors 6.11.0
qtserialbus 6.11.0
qtserialport 6.11.0
qtshadertools 6.11.0
qtspeech 6.11.0
qtsvg 6.11.0
qttasktree 6.11.0
qttools 6.11.0
qttranslations 6.11.0
qtvirtualkeyboard 6.11.0
qtwebchannel 6.11.0
qtwebengine 6.11.0
qtwebsockets 6.11.0
qtwebview 6.11.0
re2 2025-11-05
readline 8.3.3
ripgrep 15.1.0
rmlint 2.10.3
rpm 4.20.1_1
rtmpdump 2.6
rust 1.94.0
rustup 1.29.0
scc 3.7.0
screenresolution 1.6
sdl12-compat 1.2.74
sdl2 2.32.10
sevenzip 26.00
shared-mime-info 2.4_1
shellcheck 0.11.0
shfmt 3.13.0
simdjson 4.4.2
snappy 1.2.2
spdlog 1.17.0
sphinx-doc 9.1.0_2
spirv-llvm-translator 22.1.0
sqlite 3.51.3 3.52.0
sshpass 1.10
stylish-haskell 0.15.1.0
subversion 1.14.5_4
suil 0.10.26
syft 1.42.3
tcl-tk 9.0.3
telnet 306
tesseract 5.5.2
texinfo 7.3
tidy-html5 5.8.0
tiger-vnc 1.16.2
tinyxml2 11.0.0
tldr 1.6.1
tmux 3.6a
tokei 14.0.0
tre 0.9.0
tree 2.3.2
trivy 0.69.3
trufflehog 3.94.1
unbound 1.24.2
uncrustify 0.82.0
universal-ctags 6.2.1
unixodbc 2.3.14
utf8proc 2.11.3
util-linux 2.41.3_1
util-macros 1.20.2
uvwasi 0.0.23
vde 2.3.3
w3m 0.5.6
wcslib 8.6
webp 1.6.0
wget 1.25.0
x265 4.1
x86_64-elf-binutils 2.46.0
x86_64-elf-gcc 15.2.0
x86_64-elf-grub 2.12
x86_64-unknown-linux-gnu 15.2.0
xmake 3.0.8
xorgproto 2025.1
xorriso 1.5.6.pl02
xxhash 0.8.3
xz 5.8.2
yaml-cpp 0.9.0
yamllint 1.38.0
ykman 5.9.0
yq 4.52.5
yuicompressor 2.4.8_1
yyjson 0.12.0
z3 4.15.4
zig 0.15.2_1
zinit 3.14.0
zstd 1.5.7_1
