counter,variant,n_samples,min_pct,p50_pct,p90_pct,p99_pct,max_pct,avg_pct
ALU Limiter,float32,63544,0.000,0.054,0.087,28.077,90.582,0.804
ALU Utilization,float32,63544,0.000,0.050,0.083,24.576,80.015,0.722
Buffer Load Utilization,float32,63544,0.000,0.003,0.007,0.331,1.980,0.015
Buffer Read Limiter,float32,63544,0.000,0.003,0.007,0.331,1.997,0.015
Buffer Store Utilization,float32,63544,0.000,0.037,0.037,0.041,0.215,0.027
Buffer Write Limiter,float32,63544,0.000,0.037,0.037,0.041,0.215,0.027
Compute Occupancy,float32,63544,0.000,0.038,0.053,0.374,3.419,0.042
F16 Utilization,float32,63544,0.000,0.000,0.000,7.827,25.411,0.189
F32 Utilization,float32,63544,0.000,0.014,0.027,5.565,9.082,0.169
Fragment Interp Limiter,float32,63544,0.000,0.000,0.000,3.925,25.219,0.137
Fragment Interp Utilization,float32,63544,0.000,0.000,0.000,2.561,18.509,0.080
Fragment Occupancy,float32,63544,0.000,0.000,0.070,37.794,99.108,1.297
GPU Read Bandwidth,float32,63544,0.000,0.020,0.104,11.376,45.261,0.386
GPU Write Bandwidth,float32,63544,0.000,0.082,0.105,6.283,35.545,0.319
LLC Limiter,float32,63544,0.000,0.112,0.215,14.419,55.105,0.605
LLC Utilization,float32,63544,0.000,0.112,0.215,12.126,37.308,0.466
MMU Limiter,float32,63544,0.000,0.050,0.115,11.445,46.794,0.401
MMU Utilization,float32,63544,0.000,0.050,0.115,10.101,36.218,0.349
Partial Renders,float32,63544,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,float32,63544,0.000,0.000,0.000,2.149,9.851,0.070
TG/IB Load Utilization,float32,63544,0.000,0.000,0.000,1.793,9.247,0.059
TG/IB Store Limiter,float32,63544,0.000,0.000,0.000,2.149,9.851,0.070
TG/IB Store Utilization,float32,63544,0.000,0.000,0.019,5.672,18.177,0.167
Texture Cache Limiter,float32,63544,0.000,0.000,0.000,9.415,97.720,0.557
Texture Filtering Limiter,float32,63544,0.000,0.000,0.000,13.052,45.347,0.392
Texture Sample Limiter,float32,63544,0.000,0.000,0.000,15.756,97.747,0.700
Texture Sample Utilization,float32,63544,0.000,0.000,0.000,12.693,45.853,0.377
Texture Write Limiter,float32,63544,0.000,0.006,0.037,21.757,89.527,0.604
Texture Write Utilization,float32,63544,0.000,0.006,0.037,17.873,89.497,0.498
Top Performance Limiter,float32,63541,0.000,0.112,0.236,34.848,97.747,1.280
Total Occupancy,float32,51642,0.000,0.043,0.379,45.185,99.108,1.652
Vertex Occupancy,float32,63544,0.000,0.000,0.000,0.097,0.825,0.004
ALU Limiter,fp4,63491,0.000,0.300,0.301,9.972,92.609,0.588
ALU Utilization,fp4,63491,0.000,0.283,0.284,9.210,81.514,0.539
Buffer Load Utilization,fp4,63491,0.000,0.005,0.005,0.102,1.483,0.006
Buffer Read Limiter,fp4,63491,0.000,0.005,0.005,0.102,1.483,0.006
Buffer Store Utilization,fp4,63491,0.000,0.037,0.037,0.037,0.387,0.028
Buffer Write Limiter,fp4,63491,0.000,0.037,0.037,0.037,0.388,0.028
Compute Occupancy,fp4,63491,0.000,0.101,0.121,0.210,5.623,0.089
F16 Utilization,fp4,63491,0.000,0.000,0.000,2.128,25.579,0.088
F32 Utilization,fp4,63491,0.000,0.055,0.055,2.427,24.994,0.103
Fragment Interp Limiter,fp4,63491,0.000,0.000,0.000,2.285,25.434,0.080
Fragment Interp Utilization,fp4,63491,0.000,0.000,0.000,1.112,18.564,0.052
Fragment Occupancy,fp4,63491,0.000,0.000,0.000,24.400,100.000,0.742
GPU Read Bandwidth,fp4,63491,0.000,0.024,0.024,7.657,40.013,0.253
GPU Write Bandwidth,fp4,63491,0.000,0.082,0.082,3.134,59.381,0.204
LLC Limiter,fp4,63491,0.000,0.126,0.128,8.670,54.337,0.398
LLC Utilization,fp4,63491,0.000,0.126,0.128,7.390,35.201,0.309
MMU Limiter,fp4,63491,0.000,0.052,0.052,6.573,50.736,0.267
MMU Utilization,fp4,63491,0.000,0.052,0.052,5.591,34.195,0.227
Partial Renders,fp4,63491,0.000,0.000,0.000,0.000,0.000,0.000
TG/IB Load Limiter,fp4,63491,0.000,0.000,0.000,1.071,10.538,0.037
TG/IB Load Utilization,fp4,63491,0.000,0.000,0.000,0.891,9.876,0.032
TG/IB Store Limiter,fp4,63491,0.000,0.000,0.000,1.071,10.538,0.037
TG/IB Store Utilization,fp4,63491,0.000,0.000,0.000,3.449,17.309,0.095
Texture Cache Limiter,fp4,63491,0.000,0.000,0.000,8.322,98.164,0.350
Texture Filtering Limiter,fp4,63491,0.000,0.000,0.000,8.520,49.943,0.229
Texture Sample Limiter,fp4,63491,0.000,0.000,0.000,11.669,99.289,0.435
Texture Sample Utilization,fp4,63491,0.000,0.000,0.000,7.937,49.967,0.227
Texture Write Limiter,fp4,63491,0.000,0.006,0.006,12.020,100.000,0.364
Texture Write Utilization,fp4,63491,0.000,0.006,0.006,10.308,100.000,0.297
Top Performance Limiter,fp4,63488,0.000,0.300,0.301,23.475,100.000,0.887
Total Occupancy,fp4,49618,0.000,0.105,0.127,35.135,177.398,1.064
Vertex Occupancy,fp4,63491,0.000,0.000,0.000,0.025,0.314,0.001
ALU Limiter,int16,81527,0.000,0.039,21.505,97.859,100.000,6.815
ALU Utilization,int16,81527,0.000,0.037,19.214,76.317,93.677,5.708
Buffer Load Utilization,int16,81527,0.000,0.004,0.055,3.374,15.285,0.112
Buffer Read Limiter,int16,81527,0.000,0.004,0.055,3.509,31.257,0.134
Buffer Store Utilization,int16,81527,0.000,0.000,0.037,7.616,24.443,0.141
Buffer Write Limiter,int16,81527,0.000,0.000,0.037,7.646,24.516,0.141
Compute Occupancy,int16,81527,0.000,0.000,0.040,4.109,99.970,0.199
F16 Utilization,int16,81527,0.000,0.000,4.674,24.648,52.013,1.567
F32 Utilization,int16,81527,0.000,0.000,3.881,27.046,38.683,1.527
Fragment Interp Limiter,int16,81527,0.000,0.000,1.584,16.519,76.945,0.893
Fragment Interp Utilization,int16,81527,0.000,0.000,0.882,8.415,36.033,0.418
Fragment Occupancy,int16,81527,0.000,0.000,32.164,94.548,100.000,8.328
GPU Read Bandwidth,int16,81527,0.000,0.021,3.764,28.154,55.636,1.507
GPU Write Bandwidth,int16,81527,0.000,0.082,3.119,16.600,66.971,1.069
LLC Limiter,int16,81527,0.000,0.115,5.356,33.954,62.940,1.846
LLC Utilization,int16,81527,0.000,0.115,5.046,16.597,33.973,1.289
