variant_trace,schema,baseline_density_rps,variant_density_rps,delta_density_rps
gpu_fmt_fp4.trace,metal-application-encoders-list,158.61522301341662,72.10793656754954,-86.50728644586708
gpu_fmt_fp4.trace,metal-command-buffer-completed,180.92048874967833,131.0711971983062,-49.84929155137212
gpu_fmt_fp4.trace,metal-driver-intervals,361.84097749935665,496.6809693259598,134.83999182660312
gpu_fmt_fp4.trace,metal-gpu-intervals,203.22575448594006,640.3334992066249,437.1077447206848
gpu_fmt_fp4.trace,metal-gpu-state-intervals,406.03844849528264,1220.3892701888137,814.3508216935311
gpu_fmt_int16.trace,metal-application-encoders-list,158.61522301341662,409.34107812338436,250.72585510996774
gpu_fmt_int16.trace,metal-command-buffer-completed,180.92048874967833,515.9403172180157,335.0198284683374
gpu_fmt_int16.trace,metal-driver-intervals,361.84097749935665,1773.8113385346655,1411.970361035309
gpu_fmt_int16.trace,metal-gpu-intervals,203.22575448594006,2079.7511547362574,1876.5254002503173
gpu_fmt_int16.trace,metal-gpu-state-intervals,406.03844849528264,4037.9791769046356,3631.940728409353
gpu_fmt_int32.trace,metal-application-encoders-list,158.61522301341662,211.8964064471833,53.28118343376667
gpu_fmt_int32.trace,metal-command-buffer-completed,180.92048874967833,312.5886935839649,131.6682048342866
gpu_fmt_int32.trace,metal-driver-intervals,361.84097749935665,1546.3458381720034,1184.5048606726468
gpu_fmt_int32.trace,metal-gpu-intervals,203.22575448594006,2168.7569537152963,1965.5311992293562
gpu_fmt_int32.trace,metal-gpu-state-intervals,406.03844849528264,4151.067199930068,3745.0287514347856
gpu_fmt_int4.trace,metal-application-encoders-list,158.61522301341662,278.7082238625312,120.09300084911459
gpu_fmt_int4.trace,metal-command-buffer-completed,180.92048874967833,326.1323980799776,145.21190933029925
gpu_fmt_int4.trace,metal-driver-intervals,361.84097749935665,824.451028703299,462.61005120394236
gpu_fmt_int4.trace,metal-gpu-intervals,203.22575448594006,703.3369837787436,500.11122929280356
gpu_fmt_int4.trace,metal-gpu-state-intervals,406.03844849528264,1368.0050255032618,961.9665770079791
gpu_fmt_int64.trace,metal-application-encoders-list,158.61522301341662,235.891146733556,77.27592372013939
gpu_fmt_int64.trace,metal-command-buffer-completed,180.92048874967833,324.81346382683364,143.8929750771553
gpu_fmt_int64.trace,metal-driver-intervals,361.84097749935665,1301.7239196710368,939.8829421716802
gpu_fmt_int64.trace,metal-gpu-intervals,203.22575448594006,1643.2103179528601,1439.98456346692
gpu_fmt_int64.trace,metal-gpu-state-intervals,406.03844849528264,3127.101484446931,2721.063035951648
gpu_fmt_uint16.trace,metal-application-encoders-list,158.61522301341662,161.74345970945146,3.1282366960348327
gpu_fmt_uint16.trace,metal-command-buffer-completed,180.92048874967833,221.55484324784237,40.63435449816404
gpu_fmt_uint16.trace,metal-driver-intervals,361.84097749935665,488.17882761264127,126.33785011328462
gpu_fmt_uint16.trace,metal-gpu-intervals,203.22575448594006,370.6620951674929,167.43634068155285
gpu_fmt_uint16.trace,metal-gpu-state-intervals,406.03844849528264,727.8455686925315,321.8071201972489
gpu_fmt_uint32.trace,metal-application-encoders-list,158.61522301341662,373.65607877137217,215.04085575795554
gpu_fmt_uint32.trace,metal-command-buffer-completed,180.92048874967833,389.22508205351266,208.30459330383434
gpu_fmt_uint32.trace,metal-driver-intervals,361.84097749935665,844.6184280561224,482.77745055676576
gpu_fmt_uint32.trace,metal-gpu-intervals,203.22575448594006,530.319174297911,327.09341981197093
gpu_fmt_uint32.trace,metal-gpu-state-intervals,406.03844849528264,1044.0962826085477,638.057834113265
gpu_fmt_uint4.trace,metal-application-encoders-list,158.61522301341662,188.0864845166618,29.471261503245188
gpu_fmt_uint4.trace,metal-command-buffer-completed,180.92048874967833,221.88327470324947,40.96278595357114
gpu_fmt_uint4.trace,metal-driver-intervals,361.84097749935665,560.340985122555,198.50000762319837
gpu_fmt_uint4.trace,metal-gpu-intervals,203.22575448594006,480.9919994670883,277.76624498114825
gpu_fmt_uint4.trace,metal-gpu-state-intervals,406.03844849528264,936.5139541558787,530.475505660596
gpu_fmt_uint64.trace,metal-application-encoders-list,158.61522301341662,40.03649994244753,-118.57872307096909
gpu_fmt_uint64.trace,metal-command-buffer-completed,180.92048874967833,109.68332796733021,-71.23716078234811
gpu_fmt_uint64.trace,metal-driver-intervals,361.84097749935665,379.7211791416508,17.88020164229414
gpu_fmt_uint64.trace,metal-gpu-intervals,203.22575448594006,487.2150110183784,283.98925653243833
gpu_fmt_uint64.trace,metal-gpu-state-intervals,406.03844849528264,884.6606823220502,478.62223382676757
