baseline_variant,variant,counter,baseline_avg_pct,variant_avg_pct,avg_delta_pct,avg_ratio,baseline_p99_pct,variant_p99_pct,p99_delta_pct,baseline_peak_pct,variant_peak_pct,peak_delta_pct
float32,fp4,ALU Utilization,0.722,0.539,-0.183,0.747,24.576,9.210,-15.366,80.015,81.514,1.499
float32,fp4,Compute Occupancy,0.042,0.089,0.047,2.119,0.374,0.210,-0.164,3.419,5.623,2.204
float32,fp4,F16 Utilization,0.189,0.088,-0.101,0.466,7.827,2.128,-5.699,25.411,25.579,0.168
float32,fp4,F32 Utilization,0.169,0.103,-0.066,0.609,5.565,2.427,-3.138,9.082,24.994,15.912
float32,fp4,Fragment Occupancy,1.297,0.742,-0.555,0.572,37.794,24.400,-13.394,99.108,100.000,0.892
float32,fp4,GPU Read Bandwidth,0.386,0.253,-0.133,0.655,11.376,7.657,-3.719,45.261,40.013,-5.248
float32,fp4,GPU Write Bandwidth,0.319,0.204,-0.115,0.639,6.283,3.134,-3.149,35.545,59.381,23.836
float32,fp4,LLC Utilization,0.466,0.309,-0.157,0.663,12.126,7.390,-4.736,37.308,35.201,-2.107
float32,fp4,Top Performance Limiter,1.280,0.887,-0.393,0.693,34.848,23.475,-11.373,97.747,100.000,2.253
float32,fp4,Total Occupancy,1.652,1.064,-0.588,0.644,45.185,35.135,-10.050,99.108,177.398,78.290
float32,int16,ALU Utilization,0.722,5.708,4.986,7.906,24.576,76.317,51.741,80.015,93.677,13.662
float32,int16,Compute Occupancy,0.042,0.199,0.157,4.738,0.374,4.109,3.735,3.419,99.970,96.551
float32,int16,F16 Utilization,0.189,1.567,1.378,8.291,7.827,24.648,16.821,25.411,52.013,26.602
float32,int16,F32 Utilization,0.169,1.527,1.358,9.036,5.565,27.046,21.481,9.082,38.683,29.601
float32,int16,Fragment Occupancy,1.297,8.328,7.031,6.421,37.794,94.548,56.754,99.108,100.000,0.892
float32,int16,GPU Read Bandwidth,0.386,1.507,1.121,3.904,11.376,28.154,16.778,45.261,55.636,10.375
float32,int16,GPU Write Bandwidth,0.319,1.069,0.750,3.351,6.283,16.600,10.317,35.545,66.971,31.426
float32,int16,LLC Utilization,0.466,1.289,0.823,2.766,12.126,16.597,4.471,37.308,33.973,-3.335
float32,int16,Top Performance Limiter,1.280,8.604,7.324,6.722,34.848,98.733,63.885,97.747,100.000,2.253
float32,int16,Total Occupancy,1.652,12.417,10.765,7.516,45.185,96.829,51.644,99.108,117.183,18.075
float32,int32,ALU Utilization,0.722,0.719,-0.003,0.996,24.576,25.268,0.692,80.015,78.941,-1.074
float32,int32,Compute Occupancy,0.042,0.032,-0.010,0.762,0.374,0.345,-0.029,3.419,3.231,-0.188
float32,int32,F16 Utilization,0.189,0.196,0.007,1.037,7.827,7.980,0.153,25.411,25.110,-0.301
float32,int32,F32 Utilization,0.169,0.153,-0.016,0.905,5.565,5.636,0.071,9.082,9.088,0.006
float32,int32,Fragment Occupancy,1.297,1.350,0.053,1.041,37.794,40.415,2.621,99.108,100.000,0.892
float32,int32,GPU Read Bandwidth,0.386,0.363,-0.023,0.940,11.376,10.189,-1.187,45.261,39.435,-5.826
float32,int32,GPU Write Bandwidth,0.319,0.291,-0.028,0.912,6.283,5.450,-0.833,35.545,49.851,14.306
float32,int32,LLC Utilization,0.466,0.436,-0.030,0.936,12.126,11.280,-0.846,37.308,36.448,-0.860
float32,int32,Top Performance Limiter,1.280,1.305,0.025,1.020,34.848,36.470,1.622,97.747,99.796,2.049
float32,int32,Total Occupancy,1.652,1.888,0.236,1.143,45.185,58.655,13.470,99.108,100.048,0.940
float32,int4,ALU Utilization,0.722,0.357,-0.365,0.494,24.576,10.218,-14.358,80.015,81.325,1.310
float32,int4,Compute Occupancy,0.042,0.032,-0.010,0.762,0.374,0.043,-0.331,3.419,5.919,2.500
float32,int4,F16 Utilization,0.189,0.093,-0.096,0.492,7.827,1.950,-5.877,25.411,25.713,0.302
float32,int4,F32 Utilization,0.169,0.065,-0.104,0.385,5.565,2.364,-3.201,9.082,25.433,16.351
float32,int4,Fragment Occupancy,1.297,0.763,-0.534,0.588,37.794,28.408,-9.386,99.108,100.000,0.892
float32,int4,GPU Read Bandwidth,0.386,0.226,-0.160,0.585,11.376,4.938,-6.438,45.261,37.936,-7.325
float32,int4,GPU Write Bandwidth,0.319,0.209,-0.110,0.655,6.283,3.792,-2.491,35.545,65.676,30.131
float32,int4,LLC Utilization,0.466,0.291,-0.175,0.624,12.126,6.258,-5.868,37.308,34.358,-2.950
float32,int4,Top Performance Limiter,1.280,0.768,-0.512,0.600,34.848,26.902,-7.946,97.747,100.000,2.253
float32,int4,Total Occupancy,1.652,1.027,-0.625,0.622,45.185,41.487,-3.698,99.108,100.269,1.161
