trace,schema,rows,export_file
gpu_fmt_float32.trace,metal-application-encoders-list,384,xctrace_gpu_fmt_float32_metal-application-encoders-list.xml
gpu_fmt_float32.trace,metal-command-buffer-completed,438,xctrace_gpu_fmt_float32_metal-command-buffer-completed.xml
gpu_fmt_float32.trace,metal-driver-intervals,876,xctrace_gpu_fmt_float32_metal-driver-intervals.xml
gpu_fmt_float32.trace,metal-gpu-intervals,492,xctrace_gpu_fmt_float32_metal-gpu-intervals.xml
gpu_fmt_float32.trace,metal-gpu-state-intervals,983,xctrace_gpu_fmt_float32_metal-gpu-state-intervals.xml
gpu_fmt_fp4.trace,metal-application-encoders-list,384,xctrace_gpu_fmt_fp4_metal-application-encoders-list.xml
gpu_fmt_fp4.trace,metal-command-buffer-completed,698,xctrace_gpu_fmt_fp4_metal-command-buffer-completed.xml
gpu_fmt_fp4.trace,metal-driver-intervals,2645,xctrace_gpu_fmt_fp4_metal-driver-intervals.xml
gpu_fmt_fp4.trace,metal-gpu-intervals,3410,xctrace_gpu_fmt_fp4_metal-gpu-intervals.xml
gpu_fmt_fp4.trace,metal-gpu-state-intervals,6499,xctrace_gpu_fmt_fp4_metal-gpu-state-intervals.xml
gpu_fmt_int16.trace,metal-application-encoders-list,384,xctrace_gpu_fmt_int16_metal-application-encoders-list.xml
gpu_fmt_int16.trace,metal-command-buffer-completed,484,xctrace_gpu_fmt_int16_metal-command-buffer-completed.xml
gpu_fmt_int16.trace,metal-driver-intervals,1664,xctrace_gpu_fmt_int16_metal-driver-intervals.xml
gpu_fmt_int16.trace,metal-gpu-intervals,1951,xctrace_gpu_fmt_int16_metal-gpu-intervals.xml
gpu_fmt_int16.trace,metal-gpu-state-intervals,3788,xctrace_gpu_fmt_int16_metal-gpu-state-intervals.xml
gpu_fmt_int32.trace,metal-application-encoders-list,383,xctrace_gpu_fmt_int32_metal-application-encoders-list.xml
gpu_fmt_int32.trace,metal-command-buffer-completed,565,xctrace_gpu_fmt_int32_metal-command-buffer-completed.xml
gpu_fmt_int32.trace,metal-driver-intervals,2795,xctrace_gpu_fmt_int32_metal-driver-intervals.xml
gpu_fmt_int32.trace,metal-gpu-intervals,3920,xctrace_gpu_fmt_int32_metal-gpu-intervals.xml
gpu_fmt_int32.trace,metal-gpu-state-intervals,7503,xctrace_gpu_fmt_int32_metal-gpu-state-intervals.xml
gpu_fmt_int4.trace,metal-application-encoders-list,382,xctrace_gpu_fmt_int4_metal-application-encoders-list.xml
gpu_fmt_int4.trace,metal-command-buffer-completed,447,xctrace_gpu_fmt_int4_metal-command-buffer-completed.xml
gpu_fmt_int4.trace,metal-driver-intervals,1130,xctrace_gpu_fmt_int4_metal-driver-intervals.xml
gpu_fmt_int4.trace,metal-gpu-intervals,964,xctrace_gpu_fmt_int4_metal-gpu-intervals.xml
gpu_fmt_int4.trace,metal-gpu-state-intervals,1875,xctrace_gpu_fmt_int4_metal-gpu-state-intervals.xml
gpu_fmt_int64.trace,metal-application-encoders-list,382,xctrace_gpu_fmt_int64_metal-application-encoders-list.xml
gpu_fmt_int64.trace,metal-command-buffer-completed,526,xctrace_gpu_fmt_int64_metal-command-buffer-completed.xml
gpu_fmt_int64.trace,metal-driver-intervals,2108,xctrace_gpu_fmt_int64_metal-driver-intervals.xml
gpu_fmt_int64.trace,metal-gpu-intervals,2661,xctrace_gpu_fmt_int64_metal-gpu-intervals.xml
gpu_fmt_int64.trace,metal-gpu-state-intervals,5064,xctrace_gpu_fmt_int64_metal-gpu-state-intervals.xml
gpu_fmt_uint16.trace,metal-application-encoders-list,384,xctrace_gpu_fmt_uint16_metal-application-encoders-list.xml
gpu_fmt_uint16.trace,metal-command-buffer-completed,526,xctrace_gpu_fmt_uint16_metal-command-buffer-completed.xml
gpu_fmt_uint16.trace,metal-driver-intervals,1159,xctrace_gpu_fmt_uint16_metal-driver-intervals.xml
gpu_fmt_uint16.trace,metal-gpu-intervals,880,xctrace_gpu_fmt_uint16_metal-gpu-intervals.xml
gpu_fmt_uint16.trace,metal-gpu-state-intervals,1728,xctrace_gpu_fmt_uint16_metal-gpu-state-intervals.xml
gpu_fmt_uint32.trace,metal-application-encoders-list,384,xctrace_gpu_fmt_uint32_metal-application-encoders-list.xml
gpu_fmt_uint32.trace,metal-command-buffer-completed,400,xctrace_gpu_fmt_uint32_metal-command-buffer-completed.xml
gpu_fmt_uint32.trace,metal-driver-intervals,868,xctrace_gpu_fmt_uint32_metal-driver-intervals.xml
gpu_fmt_uint32.trace,metal-gpu-intervals,545,xctrace_gpu_fmt_uint32_metal-gpu-intervals.xml
gpu_fmt_uint32.trace,metal-gpu-state-intervals,1073,xctrace_gpu_fmt_uint32_metal-gpu-state-intervals.xml
gpu_fmt_uint4.trace,metal-application-encoders-list,384,xctrace_gpu_fmt_uint4_metal-application-encoders-list.xml
gpu_fmt_uint4.trace,metal-command-buffer-completed,453,xctrace_gpu_fmt_uint4_metal-command-buffer-completed.xml
gpu_fmt_uint4.trace,metal-driver-intervals,1144,xctrace_gpu_fmt_uint4_metal-driver-intervals.xml
gpu_fmt_uint4.trace,metal-gpu-intervals,982,xctrace_gpu_fmt_uint4_metal-gpu-intervals.xml
gpu_fmt_uint4.trace,metal-gpu-state-intervals,1912,xctrace_gpu_fmt_uint4_metal-gpu-state-intervals.xml
gpu_fmt_uint64.trace,metal-application-encoders-list,384,xctrace_gpu_fmt_uint64_metal-application-encoders-list.xml
gpu_fmt_uint64.trace,metal-command-buffer-completed,1052,xctrace_gpu_fmt_uint64_metal-command-buffer-completed.xml
gpu_fmt_uint64.trace,metal-driver-intervals,3642,xctrace_gpu_fmt_uint64_metal-driver-intervals.xml
gpu_fmt_uint64.trace,metal-gpu-intervals,4673,xctrace_gpu_fmt_uint64_metal-gpu-intervals.xml
gpu_fmt_uint64.trace,metal-gpu-state-intervals,8485,xctrace_gpu_fmt_uint64_metal-gpu-state-intervals.xml
