mnemonic,operands,latency_cycles,throughput_cycles,category
MOV,r64,r64,0.1208,0.1207,move
MOV,r64,imm,0.2722,0.1360,move
MOV,r32,r32,0.1210,0.0907,move
MOVZX,r64,r8,0.4929,0.1362,move
MOVZX,r64,r16,0.4894,0.1359,move
MOVSX,r64,r8,0.4823,0.1355,move
MOVSX,r64,r16,0.4824,0.1357,move
MOVSXD,r64,r32,0.4820,0.1355,move
CMOVNE,r64,r64,0.4828,0.2712,move
LEA,[r+r],0.4822,0.1356,move
LEA,[r+r*s+d],0.9627,0.2581,move
XCHG,r64,r64,0.2025,0.1817,move
PUSH/POP,r64,-1.0000,0.2425,move
ADD,r64,r64,0.4849,0.1366,arith
ADD,r64,imm,0.4853,0.1366,arith
SUB,r64,r64,0.5408,0.1368,arith
SUB,r64,imm,0.4853,0.1368,arith
ADC,r64,r64,0.4864,0.4859,arith
SBB,r64,r64,0.4869,0.5004,arith
CMP,r64,r64,1.4643,0.1369,arith
INC,r64,0.4865,0.1369,arith
DEC,r64,0.4862,0.1373,arith
NEG,r64,0.4867,0.1372,arith
IMUL,r64,r64,1.4582,0.5274,arith
IMUL,r64,r64,imm,1.4626,0.4858,arith
MUL,r64,1.5094,1.4564,arith
DIV,r64,4.8548,-1.0000,arith
IDIV,r64,4.8567,-1.0000,arith
AND,r64,r64,0.4858,0.1366,logic
AND,r64,imm,0.4856,0.1366,logic
OR,r64,r64,0.4856,0.1366,logic
OR,r64,imm,0.4855,0.1366,logic
XOR,r64,r64,0.4855,0.1366,logic
XOR,r64,imm,0.5124,0.1361,logic
NOT,r64,0.4836,0.1361,logic
TEST,r64,r64,-1.0000,0.1362,logic
SHL,r64,$1,0.4838,0.2422,shift
SHL,r64,$7,0.4838,0.2680,shift
SHL,r64,CL,0.4838,0.2419,shift
SHR,r64,$1,0.4840,0.2418,shift
SHR,r64,$7,0.4838,0.2909,shift
SHR,r64,CL,0.4855,0.2639,shift
SAR,r64,$1,0.4855,0.2428,shift
SAR,r64,$7,0.4856,0.2428,shift
SAR,r64,CL,0.4856,0.2428,shift
ROL,r64,$1,0.4856,0.2428,shift
ROL,r64,$7,0.4856,0.2428,shift
ROL,r64,CL,0.8451,0.2462,shift
ROR,r64,$1,0.4893,0.2428,shift
ROR,r64,$7,0.4856,0.2704,shift
ROR,r64,CL,0.4857,0.2430,shift
RCL,r64,$1,0.4856,0.4858,shift
RCR,r64,$1,0.4858,0.4857,shift
SHLD,r64,r64,$7,0.9715,0.7893,shift
SHRD,r64,r64,$7,0.9716,0.7894,shift
BSF,r64,r64,0.4901,0.1373,bit
BSR,r64,r64,0.4875,0.1373,bit
POPCNT,r64,r64,0.5046,0.1374,bit
LZCNT,r64,r64,0.4883,0.1374,bit
TZCNT,r64,r64,0.5412,0.1373,bit
BLSI,r64,r64,0.4879,0.1373,bit
BLSR,r64,r64,0.4881,0.1373,bit
BLSMSK,r64,r64,0.4958,0.1379,bit
ANDN,r64,r64,r64,0.4880,0.1368,bit
BEXTR,r64,r64,r64,0.4858,0.2672,bit
BZHI,r64,r64,r64,0.4938,0.2434,bit
PDEP,r64,r64,r64,1.4716,0.4860,bit
PEXT,r64,r64,r64,1.4756,0.5867,bit
SARX,r64,r64,r64,0.4942,0.2445,bit
SHLX,r64,r64,r64,0.4906,0.2726,bit
SHRX,r64,r64,r64,0.4863,0.2429,bit
RORX,r64,r64,$17,0.4857,0.2429,bit
MULX,r64,r64,r64,1.4576,0.6626,bit
BT,r64,r64,0.9712,0.2428,bit
BTS,r64,r64,0.9714,0.4858,bit
BTR,r64,r64,0.9709,0.4868,bit
BTC,r64,r64,0.9713,0.4857,bit
SETNE,r8,1.5091,0.2732,flag
LAHF,,2.0125,-1.0000,flag
SAHF,,-1.0000,0.1367,flag
CLC/STC/CMC,,-1.0000,0.0912,flag
CBW,,0.4876,-1.0000,convert
CWDE,,0.4866,-1.0000,convert
CDQE,,0.4859,-1.0000,convert
CQO,,0.2431,-1.0000,convert
CDQ,,0.2431,-1.0000,convert
CWD,,0.4858,-1.0000,convert
BSWAP,r64,0.4859,0.1367,convert
BSWAP,r32,0.4860,0.1368,convert
NOP,1-byte,-1.0000,0.0608,misc
NOP,2-byte,-1.0000,0.0608,misc
NOP,3-byte,-1.0000,0.1216,misc
LFENCE,,-1.0000,8.5171,misc
SFENCE,,-1.0000,0.4951,misc
MFENCE,,-1.0000,30.5057,misc
RDTSC,,-1.0000,17.3811,misc
RDTSCP,,-1.0000,32.1006,misc
CPUID,,-1.0000,1032.3250,misc
RDRAND,r64,-1.0000,32.9956,misc
RDSEED,r64,-1.0000,38749.3950,misc
PUSH/POP,r64,-1.0000,0.2383,misc
