mnemonic,operands,width_bits,element_type,latency_cycles,throughput_cycles,category,extension,source_file,mode_64bit,encoding
VPSUBSB,"zmm,zmm",512,int8,0.0003,0.4856,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSUBSW,"zmm,zmm",512,int16,0.0309,0.4858,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSUBUSB,"zmm,zmm",512,int8,0.0003,0.4856,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSUBUSW,"zmm,zmm",512,int16,0.0306,0.4856,arith_sat,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSUBB,"zmm,zmm",512,int8,0.0159,0.2666,arith_sub,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSUBW,"zmm,zmm",512,int16,0.0156,0.2666,arith_sub,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPBROADCASTB,zmm,512,NA,-1.0000,0.1206,broadcast,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPBROADCASTW,zmm,512,NA,-1.0000,0.1208,broadcast,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCMPEQB,"zmm,zmm->k",512,int8,0.0003,0.4811,compare,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCMPEQW,"zmm,zmm->k",512,int16,0.0003,0.4805,compare,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCMPGTB,"zmm,zmm->k",512,int8,3.7928,0.4809,compare,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCMPGTW,"zmm,zmm->k",512,int16,3.3581,0.4809,compare,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPACKSSDW,"zmm,zmm",512,int16,0.9678,0.4813,pack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPACKSSWB,"zmm,zmm",512,int8,0.9625,0.4814,pack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPACKUSDW,"zmm,zmm",512,int16,0.9628,0.4813,pack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPACKUSWB,"zmm,zmm",512,int8,0.9622,0.4814,pack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSLLW,"zmm,imm",512,int16,0.0166,0.2709,shift_imm,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSRAW,"zmm,imm",512,int16,0.0169,0.4891,shift_imm,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSRLW,"zmm,imm",512,int16,0.0163,0.4898,shift_imm,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSHUFB,"zmm,zmm",512,int8,0.0306,0.4813,shuffle,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPUNPCKHBW,"zmm,zmm",512,int16,0.0163,0.3934,unpack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPUNPCKHWD,"zmm,zmm",512,int32,0.0006,0.3667,unpack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPUNPCKLBW,"zmm,zmm",512,int16,0.1644,0.3670,unpack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPUNPCKLWD,"zmm,zmm",512,int32,0.1681,0.3936,unpack,AVX-512BW,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCONFLICTD,zmm,512,int32,3.1516,0.8550,conflict,AVX-512CD,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCONFLICTQ,zmm,512,int64,3.9600,0.7963,conflict,AVX-512CD,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPLZCNTD,zmm,512,int32,0.0003,0.4822,conflict,AVX-512CD,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPLZCNTQ,zmm,512,int64,0.0006,0.4811,conflict,AVX-512CD,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPABSQ,zmm,512,int64,0.0006,0.4897,arith_abs,AVX-512DQ,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXSQ,"zmm,zmm",512,int64,0.0006,0.4897,arith_minmax,AVX-512DQ,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXUQ,"zmm,zmm",512,int64,0.0003,0.4891,arith_minmax,AVX-512DQ,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINSQ,"zmm,zmm",512,int64,0.0003,0.4894,arith_minmax,AVX-512DQ,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINUQ,"zmm,zmm",512,int64,0.0006,0.4895,arith_minmax,AVX-512DQ,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMULLQ,"zmm,zmm",512,int64,0.0459,0.5397,arith_mul,AVX-512DQ,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSRAQ,"zmm,imm",512,int64,0.0163,0.4800,shift_imm,AVX-512DQ,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPABSD,zmm,512,fp64,0.0006,0.4900,arith_abs,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPADDD,"zmm,zmm",512,int32,0.0159,0.2698,arith_add,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPADDQ,"zmm,zmm",512,int64,0.0159,0.2672,arith_add,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXSD,"zmm,zmm",512,fp64,0.0006,0.2698,arith_minmax,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMAXUD,"zmm,zmm",512,int32,0.0006,0.2727,arith_minmax,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINSD,"zmm,zmm",512,fp64,0.0006,0.2695,arith_minmax,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMINUD,"zmm,zmm",512,int32,0.0003,0.2698,arith_minmax,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMULDQ,"zmm,zmm",512,int64,0.5138,0.9716,arith_mul,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMULLD,"zmm,zmm",512,int32,0.0459,0.5398,arith_mul,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMULUDQ,"zmm,zmm",512,int64,0.0912,0.9819,arith_mul,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSUBD,"zmm,zmm",512,int32,0.0156,0.2702,arith_sub,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSUBQ,"zmm,zmm",512,int64,0.0156,0.2672,arith_sub,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPBROADCASTD,zmm,512,int32,-1.0000,0.1205,broadcast,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPBROADCASTQ,zmm,512,int64,-1.0000,0.1205,broadcast,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCMPEQQ,"zmm,zmm->k",512,int64,0.0003,0.4808,compare,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCMPGTD,"zmm,zmm->k",512,int32,3.3569,0.4805,compare,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCMPGTQ,"zmm,zmm->k",512,int64,3.4872,0.4819,compare,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCOMPRESSD,zmm{k},512,fp64,-1.0000,0.6414,compress,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPCOMPRESSQ,zmm{k},512,int64,-1.0000,0.9211,compress,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVSXBD,xmm->zmm,512,int32,1.0972,0.4833,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVSXBQ,xmm->zmm,512,NA,0.0609,0.4833,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVSXBW,ymm->zmm,512,int16,0.9628,0.4820,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVSXDQ,ymm->zmm,512,NA,0.9669,0.4834,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVSXWD,ymm->zmm,512,int32,0.9666,0.4834,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVSXWQ,xmm->zmm,512,NA,0.0609,0.4836,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVZXBD,xmm->zmm,512,int32,0.9641,0.4828,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVZXBQ,xmm->zmm,512,NA,0.0169,0.4830,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVZXBW,ymm->zmm,512,int16,0.0459,0.4822,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVZXDQ,ymm->zmm,512,NA,0.9637,0.4822,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVZXWD,ymm->zmm,512,int32,0.0459,0.4823,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPMOVZXWQ,xmm->zmm,512,NA,0.0163,0.4822,convert,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPEXPANDD,zmm{k},512,int32,-1.0000,0.9211,expand,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPEXPANDQ,zmm{k},512,int64,-1.0000,0.8200,expand,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VADDPS,"zmm,zmm,zmm",512,fp32,1.4503,0.4834,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VDIVPS,"zmm,zmm,zmm",512,fp32,5.5819,2.8991,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFIXUPIMMPS,"zmm,zmm,zmm,imm",512,fp32,0.9669,0.4834,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VGETEXPPS,"zmm,zmm",512,fp32,1.4506,0.4836,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VGETMANTPS,"zmm,zmm,imm",512,fp32,1.4503,0.4836,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMAXPS,"zmm,zmm,zmm",512,fp32,0.9672,0.4836,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMINPS,"zmm,zmm,zmm",512,fp32,1.3188,0.4925,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMULPS,"zmm,zmm,zmm",512,fp32,1.4503,0.4834,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRANGEPS,"zmm,zmm,zmm,imm",512,fp32,0.9694,0.4838,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRCP14PS,"zmm,zmm",512,fp32,2.4159,1.5452,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VREDUCEPS,"zmm,zmm,imm",512,fp32,2.9016,0.9686,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRNDSCALEPS,"zmm,zmm,imm",512,fp32,1.4512,0.4838,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRSQRT14PS,"zmm,zmm",512,fp32,2.4481,0.4842,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSCALEFPS,"zmm,zmm,zmm",512,fp32,1.5953,0.9669,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSQRTPS,"zmm,zmm",512,fp32,7.2734,4.9238,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSUBPS,"zmm,zmm,zmm",512,fp32,1.4497,0.4836,fp32_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFMADD231PS,"zmm,zmm,zmm",512,fp32,1.9334,0.4834,fp32_fma,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFMADDSUB231PS,"zmm,zmm,zmm",512,fp32,1.9366,0.4841,fp32_fma,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFMSUB231PS,"zmm,zmm,zmm",512,fp32,1.9331,0.6108,fp32_fma,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFMSUBADD231PS,"zmm,zmm,zmm",512,fp32,1.9353,0.4839,fp32_fma,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFNMADD231PS,"zmm,zmm,zmm",512,fp32,1.9494,0.4858,fp32_fma,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFNMSUB231PS,"zmm,zmm,zmm",512,fp32,1.9484,0.4853,fp32_fma,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VADDPD,"zmm,zmm,zmm",512,fp64,1.4516,0.4842,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VDIVPD,"zmm,zmm,zmm",512,fp64,6.2941,4.4803,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VGETEXPPD,"zmm,zmm",512,fp64,1.4497,0.4834,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VGETMANTPD,"zmm,zmm,imm",512,fp64,1.4497,0.4834,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMAXPD,"zmm,zmm,zmm",512,fp64,0.9684,0.4842,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMINPD,"zmm,zmm,zmm",512,fp64,0.9681,0.4844,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMULPD,"zmm,zmm,zmm",512,fp64,1.4522,0.4859,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRANGEPD,"zmm,zmm,zmm,imm",512,fp64,0.9694,0.4834,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRCP14PD,"zmm,zmm",512,fp64,2.4156,0.4834,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VREDUCEPD,"zmm,zmm,imm",512,fp64,3.2447,0.9691,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRNDSCALEPD,"zmm,zmm,imm",512,fp64,1.4497,0.4834,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VRSQRT14PD,"zmm,zmm",512,fp64,2.4156,0.4833,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSCALEFPD,"zmm,zmm,zmm",512,fp64,1.5934,0.9664,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSQRTPD,"zmm,zmm",512,fp64,10.1650,7.8633,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSUBPD,"zmm,zmm,zmm",512,fp64,1.4522,0.4841,fp64_arith,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFMADD231PD,"zmm,zmm,zmm",512,fp64,1.9331,0.4834,fp64_fma,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VBLENDMPD,"zmm,zmm {k}",512,fp64,-1.0000,0.2656,fp_blend,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VBLENDMPS,"zmm,zmm {k}",512,fp32,-1.0000,0.2655,fp_blend,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCMPPD,"zmm,zmm,imm->k",512,fp64,-1.0000,0.4870,fp_compare,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCMPPS,"zmm,zmm,imm->k",512,fp32,-1.0000,0.5202,fp_compare,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VFPCLASSPS,"zmm,imm->k",512,fp32,-1.0000,0.5016,fp_compare,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTDQ2PS,"zmm,zmm",512,fp32,1.4447,0.4814,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPD2DQ,zmm->ymm,512,fp64,-1.0000,0.8113,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPD2PS,zmm->ymm,512,fp32,-1.0000,0.6416,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPD2UDQ,zmm->ymm,512,fp64,-1.0000,0.9287,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPH2PS,ymm->zmm,512,fp32,-1.0000,0.6448,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPS2DQ,"zmm,zmm",512,fp32,1.4441,0.4816,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPS2PD,ymm->zmm,512,fp64,-1.0000,0.6420,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPS2PH,zmm->ymm,512,fp32,-1.0000,0.9270,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTPS2UDQ,"zmm,zmm",512,fp32,1.6841,0.5653,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTQQ2PD,"zmm,zmm",512,fp64,1.4528,0.4844,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTTPD2DQ,zmm->ymm,512,fp64,-1.0000,0.6430,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTTPD2QQ,"zmm,zmm",512,fp64,1.4497,0.5014,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTTPS2DQ,"zmm,zmm",512,fp32,1.4441,0.4814,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTUDQ2PD,ymm->zmm,512,fp64,-1.0000,0.6453,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCVTUDQ2PS,"zmm,zmm",512,fp32,1.4516,0.4858,fp_convert,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VBROADCASTSD,zmm,512,fp64,0.4847,0.4839,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VBROADCASTSS,zmm,512,fp32,0.4841,0.4841,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCOMPRESSPD,zmm {k},512,fp64,-1.0000,0.8541,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VCOMPRESSPS,zmm {k},512,fp32,-1.0000,0.8519,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VEXPANDPD,zmm {k},512,fp64,-1.0000,0.7509,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VEXPANDPS,zmm {k},512,fp32,-1.0000,0.7503,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMOVAPD,"zmm,zmm",512,fp64,0.1219,0.1214,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VMOVAPS,"zmm,zmm",512,fp32,0.2428,0.1214,fp_move,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VEXTRACTF32X4,"zmm->xmm,imm",512,NA,-1.0000,0.2422,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VEXTRACTF64X2,"zmm->xmm,imm",512,NA,-1.0000,0.2425,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VINSERTF32X4,"zmm,xmm,imm",512,NA,-1.0000,0.4853,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VINSERTF64X2,"zmm,xmm,imm",512,NA,-1.0000,0.4863,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VPERMI2PD,"zmm,zmm,zmm",512,fp64,2.4222,0.4847,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VPERMI2PS,"zmm,zmm,zmm",512,fp32,2.6716,0.4850,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VPERMILPD,"zmm,zmm,imm",512,fp64,0.5866,0.3956,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VPERMILPS,"zmm,zmm,imm",512,fp32,0.5859,0.3955,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VPERMPD,"zmm,zmm,imm",512,fp64,1.9344,0.4841,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VPERMPS,"zmm,zmm,zmm",512,fp32,2.4188,0.4839,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSHUFF32X4,"zmm,zmm,zmm,imm",512,NA,1.9366,0.4845,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSHUFF64X2,"zmm,zmm,zmm,imm",512,NA,1.9359,0.4844,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSHUFPD,"zmm,zmm,zmm,imm",512,fp64,0.5503,0.3684,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VSHUFPS,"zmm,zmm,zmm,imm",512,fp32,0.5506,0.3691,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VUNPCKHPD,"zmm,zmm,zmm",512,fp64,0.5503,0.3689,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VUNPCKHPS,"zmm,zmm,zmm",512,fp32,0.5497,0.3686,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VUNPCKLPD,"zmm,zmm,zmm",512,fp64,0.5856,0.3952,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VUNPCKLPS,"zmm,zmm,zmm",512,fp32,0.5856,0.3953,fp_shuffle,AVX-512F,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,evex
VPGATHERDD,"zmm,[base+zmm*4]",512,int32,-1.0000,8.2169,gather,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPGATHERDQ,"zmm,[base+ymm*8]",512,int64,-1.0000,4.6172,gather,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPGATHERQD,"ymm,[base+zmm*4]",512,int32,-1.0000,4.5912,gather,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPGATHERQQ,"zmm,[base+zmm*8]",512,int64,-1.0000,4.8331,gather,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPANDD,"zmm,zmm",512,int32,0.0006,0.2694,logic,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPANDND,"zmm,zmm",512,int32,0.0003,0.2689,logic,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPORD,"zmm,zmm",512,int32,0.0003,0.2692,logic,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPTERNLOGD,"zmm,zmm,zmm,imm",512,int32,0.4897,0.3022,logic,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPTERNLOGQ,"zmm,zmm,zmm,imm",512,int64,0.4897,0.2786,logic,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPXORD,"zmm,zmm",512,int32,0.0006,0.2694,logic,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VMOVDQA32,"zmm,zmm",512,NA,-1.0000,0.1211,move,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VMOVDQU64,"zmm,zmm",512,NA,-1.0000,0.1211,move,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPROLVD,"zmm,zmm",512,int32,0.0163,0.4806,rotate,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPROLVQ,"zmm,zmm",512,int64,0.0309,0.4805,rotate,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPRORVD,"zmm,zmm",512,int32,0.0159,0.4803,rotate,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPRORVQ,"zmm,zmm",512,int64,0.0306,0.4806,rotate,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSCATTERDD,"[base+zmm*4],zmm",512,int32,-1.0000,11.1175,scatter,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSCATTERQD,"[base+zmm*4],ymm",512,int32,-1.0000,5.8356,scatter,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSLLD,"zmm,imm",512,int32,0.0166,0.2692,shift_imm,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSLLQ,"zmm,imm",512,int64,0.0166,0.2698,shift_imm,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSRAD,"zmm,imm",512,int32,0.0166,0.5458,shift_imm,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
VPSRLD,"zmm,imm",512,int32,0.0166,0.4889,shift_imm,AVX-512F,zen4_avx512_int_exhaustive_2026-04-04.csv,valid,evex
