mnemonic,operands,width_bits,element_type,latency_cycles,throughput_cycles,category,extension,source_file,mode_64bit,encoding
VCVTPS2PD,xmm->ymm,256,fp32,-1.0000,0.3333,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCVTSD2SI,xmm->r64,128,fp64,-1.0000,0.5038,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCVTSI2SD,r64->xmm,128,fp64,-1.0000,0.5434,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCVTSI2SS,r64->xmm,128,fp32,-1.0000,0.7269,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCVTSS2SI,xmm->r64,128,fp32,-1.0000,0.5040,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCVTTPD2DQ,xmm,128,fp64,1.5256,0.2520,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCVTTPS2DQ,xmm,128,fp32,1.5115,0.2520,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCVTTPS2DQ,ymm,256,fp32,1.6965,0.2520,convert,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VGETEXPSS,"xmm,xmm",128,fp32,1.4434,0.2411,fp32_scalar,AVX,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,vex
VGETMANTSS,"xmm,xmm,imm",128,fp32,1.4438,0.2411,fp32_scalar,AVX,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,vex
VRCP14SS,"xmm,xmm",128,fp32,2.8969,0.3031,fp32_scalar,AVX,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,vex
VRSQRT14SS,"xmm,xmm",128,fp32,2.4094,0.3013,fp32_scalar,AVX,zen4_avx512_fp_exhaustive_2026-04-04.csv,valid,vex
VADDPD,"xmm,xmm",128,fp64,1.5929,0.2479,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VADDPD,"ymm,ymm",256,fp64,1.4867,0.2478,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VADDPS,"xmm,xmm",128,fp32,1.5083,0.2516,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VADDPS,"ymm,ymm",256,fp32,1.5198,0.2603,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VADDSD,"xmm,xmm",128,fp64,1.4927,0.2490,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VADDSS,"xmm,xmm",128,fp32,1.5156,0.2527,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCMPPD,"xmm,xmm",128,fp64,0.9904,0.2478,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCMPPD,"ymm,ymm",256,fp64,0.9904,0.2477,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCMPPS,"xmm,xmm",128,fp32,1.0046,0.2507,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCMPPS,"ymm,ymm",256,fp32,0.9952,0.2490,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCMPSD,"xmm,xmm",128,fp64,0.9994,0.2505,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VCMPSS,"xmm,xmm",128,fp32,1.0067,0.2519,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VDIVPD,"xmm,xmm",128,fp64,6.8487,2.4790,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VDIVPD,"ymm,ymm",256,fp64,6.4404,2.4754,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VDIVPS,"xmm,xmm",128,fp32,5.5283,1.5707,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VDIVPS,"ymm,ymm",256,fp32,5.5677,1.5115,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
VDIVSD,"xmm,xmm",128,fp64,6.4679,2.5519,fp_arith,AVX,zen4_simd_fp_exhaustive_2026-04-04.csv,valid,vex
