probe=simd_fp_exhaustive
iterations=30000
working_set_bytes=67108864
cpu=0
avx2=1 fma=1 avx512f=1 bmi2=1 3dnow_prefetch=1

Measuring SIMD floating-point instruction forms...

Total instruction forms: 161

mnemonic,operands,precision,width_bits,latency_cycles,throughput_cycles,category
VADDSS,xmm,xmm,fp32,128,1.5156,0.2527,fp_arith
VSUBSS,xmm,xmm,fp32,128,1.5156,0.2527,fp_arith
VMULSS,xmm,xmm,fp32,128,1.5227,0.2546,fp_arith
VDIVSS,xmm,xmm,fp32,128,5.6352,1.5253,fp_arith
VMAXSS,xmm,xmm,fp32,128,1.4300,0.2550,fp_arith
VMINSS,xmm,xmm,fp32,128,1.0277,0.2539,fp_arith
VSQRTSS,xmm,xmm,fp32,128,7.6223,2.5735,fp_arith
VRSQRTSS,xmm,xmm,fp32,128,2.0140,0.2520,fp_arith
VRCPSS,xmm,xmm,fp32,128,2.1910,0.2518,fp_arith
VROUNDSS,xmm,xmm,fp32,128,1.5100,0.2517,fp_arith
VCMPSS,xmm,xmm,fp32,128,1.0067,0.2519,fp_arith
VFMADD231SS,xmm,xmm,xmm,fp32,128,2.0121,0.2697,fma
VFMSUB231SS,xmm,xmm,xmm,fp32,128,2.0131,0.2698,fma
VFNMADD231SS,xmm,xmm,xmm,fp32,128,2.0123,0.2697,fma
VFNMSUB231SS,xmm,xmm,xmm,fp32,128,2.0194,0.3769,fma
VADDPS,xmm,xmm,fp32,128,1.5083,0.2516,fp_arith
VSUBPS,xmm,xmm,fp32,128,1.5081,0.2515,fp_arith
VMULPS,xmm,xmm,fp32,128,1.5079,0.2515,fp_arith
VDIVPS,xmm,xmm,fp32,128,5.5283,1.5707,fp_arith
VMAXPS,xmm,xmm,fp32,128,1.0056,0.2515,fp_arith
VMINPS,xmm,xmm,fp32,128,1.9917,0.2556,fp_arith
VSQRTPS,xmm,fp32,128,8.2158,2.5234,fp_arith
VRSQRTPS,xmm,fp32,128,2.0098,0.2529,fp_arith
VRCPPS,xmm,fp32,128,2.0162,0.2524,fp_arith
VROUNDPS,xmm,fp32,128,1.5094,0.2507,fp_arith
