mnemonic,operands,width_bits,latency_cycles,throughput_cycles,category
VPADDB,zmm,zmm,512,0.0163,0.2669,arith_add
VPADDW,zmm,zmm,512,0.0156,0.2673,arith_add
VPADDD,zmm,zmm,512,0.0159,0.2698,arith_add
VPADDQ,zmm,zmm,512,0.0159,0.2672,arith_add
VPSUBB,zmm,zmm,512,0.0159,0.2666,arith_sub
VPSUBW,zmm,zmm,512,0.0156,0.2666,arith_sub
VPSUBD,zmm,zmm,512,0.0156,0.2702,arith_sub
VPSUBQ,zmm,zmm,512,0.0156,0.2672,arith_sub
VPADDUSB,zmm,zmm,512,0.0309,0.4858,arith_sat
VPADDUSW,zmm,zmm,512,0.0306,0.4858,arith_sat
VPADDSB,zmm,zmm,512,0.0309,0.4858,arith_sat
VPADDSW,zmm,zmm,512,0.0306,0.4858,arith_sat
VPSUBUSB,zmm,zmm,512,0.0003,0.4856,arith_sat
VPSUBUSW,zmm,zmm,512,0.0306,0.4856,arith_sat
VPSUBSB,zmm,zmm,512,0.0003,0.4856,arith_sat
VPSUBSW,zmm,zmm,512,0.0309,0.4858,arith_sat
VPMULLW,zmm,zmm,512,0.0456,0.5398,arith_mul
VPMULLD,zmm,zmm,512,0.0459,0.5398,arith_mul
VPMULLQ,zmm,zmm,512,0.0459,0.5397,arith_mul
VPMULDQ,zmm,zmm,512,0.5138,0.9716,arith_mul
VPMULUDQ,zmm,zmm,512,0.0912,0.9819,arith_mul
VPMULHW,zmm,zmm,512,1.4844,0.8686,arith_mul
VPMULHUW,zmm,zmm,512,0.0166,0.4911,arith_mul
VPMADDWD,zmm,zmm,512,1.4675,0.4869,arith_mul
VPMADDUBSW,zmm,zmm,512,1.4656,0.4925,arith_mul
VPSADBW,zmm,zmm,512,1.4688,0.4903,arith_misc
VPAVGB,zmm,zmm,512,0.9831,0.2769,arith_misc
VPAVGW,zmm,zmm,512,1.1709,0.2744,arith_misc
VPABSB,zmm,512,0.0003,0.4900,arith_abs
VPABSW,zmm,512,0.0003,0.4898,arith_abs
VPABSD,zmm,512,0.0006,0.4900,arith_abs
VPABSQ,zmm,512,0.0006,0.4897,arith_abs
VPMINSB,zmm,zmm,512,0.0006,0.2695,arith_minmax
VPMINSW,zmm,zmm,512,0.0003,0.2689,arith_minmax
VPMINSD,zmm,zmm,512,0.0006,0.2695,arith_minmax
VPMINSQ,zmm,zmm,512,0.0003,0.4894,arith_minmax
VPMAXSB,zmm,zmm,512,0.0006,0.2728,arith_minmax
VPMAXSW,zmm,zmm,512,0.0003,0.2692,arith_minmax
VPMAXSD,zmm,zmm,512,0.0006,0.2698,arith_minmax
VPMAXSQ,zmm,zmm,512,0.0006,0.4897,arith_minmax
VPMINUB,zmm,zmm,512,0.0006,0.2694,arith_minmax
VPMINUW,zmm,zmm,512,0.0006,0.2691,arith_minmax
VPMINUD,zmm,zmm,512,0.0003,0.2698,arith_minmax
VPMINUQ,zmm,zmm,512,0.0006,0.4895,arith_minmax
VPMAXUB,zmm,zmm,512,0.0006,0.2697,arith_minmax
